waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
1,9999,0,0,0,9999,1,3213
1,9999,3,0,0,9999,1,3214
1,9999,6,0,0,9999,1,3215
1,9999,9,0,0,9999,1,3216
1,9999,12,0,0,9999,1,3217
1,9999,15,0,0,9999,1,3218
1,9999,18,0,0,9999,1,3219
1,9999,21,0,0,9999,1,3220
1,1,0,3600,3,1 3 5 7,1 1 1 1,
1,2,0,3600,3,9 11 13 15,1 1 1 1,
1,3,0,3600,3,17 19 21 23,1 1 1 1,
1,4,0,3600,3,1 3 5 7,1 1 1 1,
1,5,0,3600,3,9 11 13 15,1 1 1 1,
1,6,0,3600,3,17 19 21 23,1 1 1 1,
1,7,0,3600,3,1 3 5 7,1 1 1 1,
1,8,0,3600,3,9 11 13 15,1 1 1 1,
1,9,0,3600,3,17 19 21 23,1 1 1 1,
1,10,0,3600,3,1 3 5 7,1 1 1 1,
2,9999,0,0,0,9999,1,3221
2,9999,3,0,0,9999,1,3222
2,9999,6,0,0,9999,1,3223
2,1,0,3600,3,1 3 5 7,1 1 1 1,
2,2,0,3600,3,9 11 13 15,1 1 1 1,
2,3,0,3600,3,17 19 21 23,1 1 1 1,
2,4,0,3600,3,1 3 5 7,1 1 1 1,
2,5,0,3600,3,9 11 13 15,1 1 1 1,
2,6,0,3600,3,17 19 21 23,1 1 1 1,
2,7,0,3600,3,1 3 5 7,1 1 1 1,
2,8,0,3600,3,9 11 13 15,1 1 1 1,
2,9,0,3600,3,17 19 21 23,1 1 1 1,
2,10,0,3600,3,1 3 5 7,1 1 1 1,
2,11,0,3600,3,9 11 13 15,1 1 1 1,
2,12,0,3600,3,17 19 21 23,1 1 1 1,
2,13,0,3600,3,1 3 5 7,1 1 1 1,
2,14,0,3600,3,9 11 13 15,1 1 1 1,
2,15,0,3600,3,17 19 21 23,1 1 1 1,
2,16,0,3600,3,1 3 5 7,1 1 1 1,
2,17,0,3600,3,9 11 13 15,1 1 1 1,
2,18,0,3600,3,17 19 21 23,1 1 1 1,
3,9999,0,0,0,9999,1,3224
3,9999,3,0,0,9999,1,3225
3,11,0,3600,3,1 3 5 7,1 1 1 1,
3,12,0,3600,3,9 11 13 15,1 1 1 1,
3,13,0,3600,3,17 19 21 23,1 1 1 1,
3,14,0,3600,3,1 3 5 7,1 1 1 1,
3,15,0,3600,3,9 11 13 15,1 1 1 1,
3,16,0,3600,3,17 19 21 23,1 1 1 1,
3,17,0,3600,3,1 3 5 7,1 1 1 1,
3,18,0,3600,3,9 11 13 15,1 1 1 1,
3,19,0,3600,3,17 19 21 23,1 1 1 1,
3,20,0,3600,3,1 3 5 7,1 1 1 1,
3,21,0,3600,3,9 11 13 15,1 1 1 1,
3,22,0,3600,3,17 19 21 23,1 1 1 1,
3,23,0,3600,3,1 3 5 7,1 1 1 1,
3,24,0,3600,3,9 11 13 15,1 1 1 1,
3,25,0,3600,3,17 19 21 23,1 1 1 1,
3,26,0,3600,3,1 3 5 7,1 1 1 1,
3,27,0,3600,3,9 11 13 15,1 1 1 1,
3,28,0,3600,3,17 19 21 23,1 1 1 1,
3,29,0,3600,3,1 3 5 7,1 1 1 1,
3,30,0,3600,3,9 11 13 15,1 1 1 1,
4,9999,0,0,0,9999,1,3226
4,9999,3,0,0,9999,1,3227
4,25,0,3600,3,1 3 5 7,1 1 1 1,
4,26,0,3600,3,9 11 13 15,1 1 1 1,
4,27,0,3600,3,17 19 21 23,1 1 1 1,
4,28,0,3600,3,1 3 5 7,1 1 1 1,
4,29,0,3600,3,9 11 13 15,1 1 1 1,
4,30,0,3600,3,17 19 21 23,1 1 1 1,
4,31,0,3600,3,1 3 5 7,1 1 1 1,
4,32,0,3600,3,9 11 13 15,1 1 1 1,
4,33,0,3600,3,17 19 21 23,1 1 1 1,
4,34,0,3600,3,1 3 5 7,1 1 1 1,
4,35,0,3600,3,9 11 13 15,1 1 1 1,
4,36,0,3600,3,17 19 21 23,1 1 1 1,
4,37,0,3600,3,1 3 5 7,1 1 1 1,
4,38,0,3600,3,9 11 13 15,1 1 1 1,
4,39,0,3600,3,17 19 21 23,1 1 1 1,
4,40,0,3600,3,1 3 5 7,1 1 1 1,
5,9999,0,0,0,9999,1,3228
5,9999,3,0,0,9999,1,3229
5,9999,6,0,0,9999,1,3230
5,41,0,3600,3,1 3 5 7,1 1 1 1,
5,42,0,3600,3,9 11 13 15,1 1 1 1,
5,43,0,3600,3,17 19 21 23,1 1 1 1,
