waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
50,9999,8,0,0,9999,1,650
50,9999,10,0,0,9999,1,651
50,9999,12,0,0,9999,1,652
50,9999,14,0,0,9999,1,653
50,9999,16,0,0,9999,1,654
50,9999,18,0,0,9999,1,655
50,9999,21,0,0,9999,1,656
50,9999,23,0,0,9999,1,657
50,9999,25,0,0,9999,1,658
50,9999,27,0,0,9999,1,659
50,9999,31,0,0,9999,1,660
50,9999,33,0,0,9999,1,661
50,9999,35,0,0,9999,1,662
50,9999,37,0,0,9999,1,663
50,9999,39,0,0,9999,1,664
50,9999,41,0,0,9999,1,665
51,9999,0,0,0,9999,1,668
51,9999,3,0,0,9999,1,560
52,9999,0,0,0,9999,1,671
53,9999,0,0,0,9999,1,695
53,9999,2,0,0,9999,1,696
54,9999,0,0,0,9999,1,697
55,9999,1,0,0,9999,1,699
55,9999,3,0,0,9999,1,700
55,9999,5,0,0,9999,1,701
55,9999,8,0,0,9999,1,702
55,9999,11,0,0,9999,1,703
55,9999,13,0,0,9999,1,704
55,9999,16,0,0,9999,1,705
55,9999,18,0,0,9999,1,706
55,9999,20,0,0,9999,1,707
55,9999,23,0,0,9999,1,708
55,9999,25,0,0,9999,1,709
56,9999,0,0,0,9999,1,712
56,9999,2,0,0,9999,1,713
56,9999,5,0,0,9999,1,714
56,9999,8,0,0,9999,1,715
56,9999,11,0,0,9999,1,716
57,9999,0,0,0,9999,1,717
58,9999,0,0,0,9999,1,711
59,9999,0,0,0,9999,1,690
59,9999,2,0,0,9999,1,691
60,9999,0,0,0,9999,1,732
1,9999,0,0,0,9999,1,667
1,1,0,300,3,13,1,
1,2,0,300,4,13,1,
1,3,0,300,5,23,1,
1,4,0,300,3,23,1,
1,5,0,300,4,14,1,
1,6,0,300,5,14,1,
1,7,0,300,3,24,1,
1,8,0,300,4,24,1,
1,9,0,300,5,13,1,
1,10,0,300,3,13,1,
2,9999,2,0,0,9999,1,670
2,11,0,300,3,13,1,
2,12,0,300,4,13,1,
2,13,0,300,5,23,1,
2,14,0,300,3,23,1,
2,15,0,300,4,14,1,
2,16,0,300,5,14,1,
2,17,0,300,3,24,1,
2,18,0,300,4,24,1,
2,19,0,300,5,13,1,
2,20,0,300,3,13,1,
3,9999,0,0,0,9999,1,560
3,21,0,300,3,82,1,
3,22,0,300,2,82,1,
3,23,0,300,3,30,1,
3,24,0,300,3,30,1,
3,25,0,300,2,82,1,
3,26,0,300,3,70,1,
4,9999,0,0,0,9999,1,672
4,9999,3,0,0,9999,1,673
4,9999,5,0,0,9999,1,560
4,30,0,300,3,10,1,
4,31,0,300,4,10,1,
4,32,0,300,5,20,1,
4,33,0,300,3,20,1,
4,34,0,300,4,11,1,
4,35,0,300,5,11,1,
4,36,0,300,3,21,1,
4,37,0,300,4,21,1,
4,38,0,300,5,30,1,
4,39,0,300,3,31,1,
5,40,0,300,3,15,1,
5,41,0,300,4,16,1,
5,42,0,300,5,25,1,
5,43,0,300,3,26,1,
5,44,0,300,4,33,1,
5,45,0,300,5,34,1,
5,46,0,300,3,15,1,
5,47,0,300,4,16,1,
5,48,0,300,3,25,1,
6,9999,0,0,0,9999,1,674
6,9999,2,0,0,9999,1,675
6,9999,4,0,0,9999,1,560
6,50,0,300,3,16,1,
6,51,0,300,4,25,1,
6,52,0,300,5,26,1,
6,53,0,300,3,33,1,
6,54,0,300,4,34,1,
6,55,0,300,5,15,1,
6,56,0,300,3,16,1,
6,57,0,300,4,25,1,
7,9999,0,0,0,9999,1,676
7,9999,2,0,0,9999,1,677
7,9999,4,0,0,9999,1,678
7,9999,7,0,0,9999,1,679
7,9999,10,0,0,9999,1,680
7,9999,13,0,0,9999,1,681
7,9999,15,0,0,9999,1,682
7,60,15,300,3,16,1,
7,61,15,300,4,25,1,
7,62,15,300,5,26,1,
7,63,15,300,3,33,1,
7,64,15,300,4,34,1,
7,65,15,300,5,15,1,
7,66,15,300,3,16,1,
7,67,15,300,4,25,1,
7,1000,11,300,0,31201,1,
9,70,0,300,3,40,1,
9,71,0,300,4,41,1,
9,72,0,300,4,40,1,
9,73,0,300,3,41,1,
9,74,0,300,4,40,1,
9,75,0,300,3,41,1,
10,9999,0,0,0,9999,1,692
10,9999,2,0,0,9999,1,693
10,70,0,300,3,40,1,
10,71,0,300,4,41,1,
10,72,0,300,3,40,1,
10,73,0,300,4,41,1,
10,74,0,300,3,40,1,
10,75,0,300,4,41,1,
10,78,0,300,3,40,1,
10,79,0,300,4,41,1,
11,80,0,300,3,40,1,
11,81,0,300,4,41,1,
11,82,0,300,3,40,1,
11,83,0,300,4,41,1,
11,84,0,300,3,40,1,
11,85,0,300,4,41,1,
13,9999,0,0,0,9999,1,560
13,90,0,300,3,41,1,
13,91,0,300,2,60,1,
13,92,0,300,3,71,1,
13,93,0,300,2,61,1,
13,94,0,300,3,61,1,
14,100,0,300,3,41,1,
14,101,0,300,2,60,1,
14,102,0,300,3,61,1,
14,103,0,300,2,71,1,
14,104,0,300,3,61,1,
14,105,0,300,2,40,1,
26,9999,0,0,0,9999,1,718
26,9999,2,0,0,9999,1,719
26,9999,5,0,0,9999,1,720
26,9999,7,0,0,9999,1,721
26,9999,10,0,0,9999,1,722
26,9999,24,0,0,9999,1,723
26,9999,26,0,0,9999,1,724
26,9999,29,0,0,9999,1,725
26,9999,31,0,0,9999,1,726
26,201,24,0,0,31200,1,
26,500,30,0,15,32,1,
26,501,30,0,15,72,1,
26,502,30,0,15,32,1,
26,503,30,0,15,72,1,
26,504,30,0,15,32,1,
26,505,30,0,15,72,1,
26,506,30,0,15,32,1,
26,507,30,0,15,72,1,
