id,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem,exp
10,zombi_host,10,60,3,50,40,250,300,0,0,255 255 255,0,101,0,0,1,210
11,zombi_origin,15,70,3,100,50,250,400,0,1,255 255 255,0,101,0,0,1,280
12,zombi_origin,15,70,3,5000,4000,250,3000,0,1,153 217 234,0,101,0,0,1,2100
13,zombi_host,7,60,5,35,40,250,300,0,0,255 255 255,0,101,0,0,1,210
14,zombi_origin,10,70,5,50,50,250,400,0,1,255 255 255,0,101,0,0,1,280
15,zombi_host,30,60,6,50,40,200,500,0,0,62 81 130,0,101,0,0,1,350
16,zombi_origin,35,70,6,70,50,200,600,0,1,62 81 130,0,101,0,0,1,420
20,speed_zombi_host,10,60,2,30,20,260,300,0,0,255 255 255,0,110,0,0,1,210
21,speed_zombi_origin,15,70,2,60,30,280,400,0,2,255 255 255,0,111,0,0,1,280
22,speed_zombi_origin,15,70,2,3000,2000,280,3000,0,2,153 217 234,0,111,0,0,1,2100
23,speed_zombi_host,5,60,3,25,20,260,300,0,0,255 255 255,0,110,0,0,1,210
24,speed_zombi_origin,7,70,3,40,30,280,400,0,2,255 255 255,0,111,0,0,1,280
25,speed_zombi_host,25,60,3,25,20,220,300,0,0,255 255 255,0,110,0,0,1,210
26,speed_zombi_origin,30,70,3,40,30,220,400,0,2,255 255 255,0,111,0,0,1,280
30,heavy_zombi_host,20,60,4,300,100,230,800,0,0,255 255 255,0,121,0,0,1,560
31,heavy_zombi_origin,25,70,4,400,150,230,1000,0,3,255 255 255,0,121,0,0,1,700
32,heavy_zombi_origin,100,70,4,500,200,240,10000,0,0,153 217 234,0,121,0,0,1,7000
33,heavy_zombi_host,35,60,4,300,100,180,800,0,0,255 255 255,0,121,0,0,1,560
34,heavy_zombi_origin,40,70,4,400,150,180,1000,0,3,255 255 255,0,121,0,0,1,700
40,pc_zombi_host,20,60,3,40,50,250,600,0,0,255 255 255,0,130,0,0,1,420
41,pc_zombi_host,25,70,3,80,60,250,800,0,0,255 255 255,0,130,0,0,1,560
42,pc_zombi_origin,15,70,3,4000,5000,250,4000,0,4,153 217 234,0,130,0,0,1,2800
50,heal_zombi_host,10,60,3,50,100,250,500,0,0,255 255 255,0,141,0,0,1,350
51,heal_zombi_origin,15,70,3,100,150,250,600,0,5,255 255 255,0,141,0,0,1,420
52,heal_zombi_origin,15,70,3,5000,1000,250,5000,0,5,153 217 234,0,141,0,0,1,3500
60,resident_zombi_host,25,70,2,40,40,280,700,0,0,255 255 255,0,145,0,0,1,490
61,resident_zombi_origin,30,80,2,80,50,290,900,0,10,255 255 255,0,145,0,0,1,630
62,resident_zombi_origin,20,80,2,4000,4000,290,5000,0,10,153 217 234,0,145,0,0,1,3500
70,boomer_zombi_host,20,60,4,300,100,240,450,0,11,255 255 255,0,146,0,0,1,315
71,boomer_zombi_origin,35,70,4,400,150,240,800,0,11,255 255 255,0,146,0,0,1,560
72,boomer_zombi_origin,50,70,4,500,200,240,10000,0,11,153 217 234,0,146,0,0,1,7000
80,zombiedog,30,55,2,50,20,350,400,0,12,255 255 255,0,144,0,0,1,280
81,zombiedog,30,55,2,5000,2000,350,4000,0,12,153 217 234,0,144,0,0,1,2800
82,zombiedog,15,55,2,50,20,350,400,0,12,153 217 234,0,144,0,0,1,280
100,deimos_zombi_host,150,80,3,8500,8500,250,8000,1,8,255 255 255,0,181,0,0,1,5600
101,deimos_zombi_host,150,80,3,8500,8500,250,8000,1,8,153 217 234,0,181,0,0,1,5600
110,deimos_zombi_origin,150,80,3,8500,8500,270,8000,1,8,255 255 255,0,181,0,0,1,5600
111,deimos_zombi_origin,150,80,3,8500,8500,270,8000,1,8,153 217 234,0,181,0,0,1,5600
31200,frozenterror,1,1,2,3500000,3000000,250,32000,2,1002,255 255 255,0,170,2,100,3,22400
31201,frozenterror2,1,1,2,3500000,3000000,250,32000,2,1003,255 255 255,0,170,2,100,3,22400
