waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
1,9999,0,0,0,9999,1,1112
1,9999,2,0,0,9999,1,1113
2,1,0,600,2,1,1,
2,2,0,600,3,2,1,
2,3,0,600,2,11,1,
2,4,0,600,3,12,1,
2,5,0,600,2,31,1,
2,6,0,600,3,32,1,
2,7,0,600,2,1,1,
2,8,0,600,4,2,1,
3,11,0,600,3,3,1,
3,12,0,600,4,4,1,
3,13,0,600,3,13,1,
3,14,0,600,4,14,1,
3,15,0,600,3,21,1,
3,16,0,600,4,22,1,
3,17,0,600,3,54,1,
3,18,0,600,4,55,1,
3,19,0,600,3,31,1,
3,20,0,600,4,32,1,
3,21,0,600,4,304,1,
3,22,2,600,5,304,1,
3,23,0,600,4,304,1,
3,24,2,600,5,304,1,
4,9999,0,0,0,9999,1,1125
4,31,0,600,5,304,1,
4,32,2,600,6,305,1,
4,33,0,600,5,304,1,
4,34,2,600,7,305,1,
5,31,0,600,5,304,1,
5,32,0,600,6,305,1,
5,33,0,600,5,304,1,
5,34,0,600,8,305,1,
5,51,0,600,5,304,1,
5,52,0,600,6,304,1,
5,53,3,600,5,305,1,
5,54,0,600,7,304,1,
5,55,3,600,5,305,1,
5,56,0,600,8,304,1,
5,57,3,600,5,305,1,
5,58,0,600,7,304,1,
6,9999,0,0,0,9999,1,1127
6,9999,2,0,0,9999,1,560
7,9999,0,0,0,9999,1,1132
7,9999,2,0,0,9999,1,1133
7,1000,0,0,0,500,1,
7,71,0,2400,4,53,1,
7,72,0,2400,4,62,1,
7,73,0,2400,5,53,1,
7,74,0,2400,3,63,1,
7,75,0,2400,5,62,1,
7,76,0,2400,3,63,1,
7,77,0,2400,5,54,1,
7,78,0,2400,5,55,1,
10,9999,0,0,0,9999,1,1122
10,9999,2,0,0,9999,1,1123
11,9999,0,0,0,9999,1,1126
12,9999,0,0,0,9999,1,1128
12,9999,2,0,0,9999,1,1129
12,9999,5,0,0,9999,1,1130
12,9999,8,0,0,9999,1,1131
13,9999,0,0,0,9999,1,1134
13,9999,2,0,0,9999,1,1135
13,9999,5,0,0,9999,1,1136
