아이템ID,스폰간격,x,y,z
2,300,340,2512,164
2,300,290,674,85
-2,10,370,780,550
-2,10,370,487,550
-2,10,650,780,550
-2,10,80,190,36
-2,10,-1066,190,36
-2,10,-2050,256,52
-2,10,-1856,-350,52
-2,10,-1600,1200,295
-2,10,-1600,1700,295
-2,10,-1600,2200,295
-2,10,-1720,2750,295
-2,10,-1480,2750,295
-2,10,-830,1535,412
-2,10,-1025,1220,292
-2,10,-440,1860,550
-2,10,-440,2200,550
-2,10,440,2200,550
-2,10,440,1860,550
-2,10,0,1860,550
-2,10,0,2815,372
-2,10,-575,2470,372
-2,10,-770,2670,372
-2,10,-1025,2555,372
-2,10,-434,1750,292
-2,10,575,1790,135
-2,10,-160,2527,164
-2,10,80,1200,36
-2,10,800,1850,36
-2,10,-950,1890,36
