아이템ID,스폰간격,x,y,z
2,300,-129,-1378,-455
2,300,250,-794,-674
-2,10,785,-1613,-540
-2,10,844,-346,-540
-2,10,433,-876,-540
-2,10,-129,-1784,-540
-2,10,133,-1793,-360
-2,10,-392,-1793,-360
-2,10,-948,-1544,-540
-2,10,-572,-881,-540
-2,10,-1012,-346,-540
-2,10,-835,300,-540
-2,10,317,300,-540
-2,10,44,48,-325
-2,10,-127,-724,-330
-2,10,59,-432,-620
-2,10,-339,-303,-475
-2,10,-126,-435,-475
-2,10,477,-437,-475
-2,10,-589,-131,-475
-2,10,4,51,-475
-2,10,240,-261,-475
-2,10,-780,-550,-475
-2,10,222,-489,-683
-2,10,500,-751,-707
-2,10,1255,-670,-765
-2,10,1255,-1223,-780
-2,10,1087,-1575,-780
-2,10,982,-2125,-780
-2,10,-409,-177,-340
-2,10,-212,-237,-340
-2,10,-528,-550,-340
-2,10,470,-320,-340
