아이템ID,스폰간격,x,y,z
-2,10,-640,-1676,-200
2,300,-1100,-1506,-19
-2,10,-282,-990,-115
-2,10,-333,136,-115
-2,10,-45,-448,-115
-2,10,970,-720,-115
-2,10,300,96,-123
-2,10,767,355,-123
-2,10,1003,772,-155
-2,10,886,1011,-59
-2,10,272,2106,36
-2,10,949,1974,164
-2,10,-588,1925,36
-2,10,-795,700,196
2,300,-1540,1200,170
-2,10,-1458,-16,172
-2,10,-1224,547,-123
-2,10,-1212,1274,-115
-2,10,-98,948,-123
-2,10,-1182,1857,-78
-2,10,-103,2457,-27
-2,10,-606,398,44
-2,10,-691,730,44
-2,10,246,-730,-20
-2,10,200,-80,43
-2,10,-146,357,188
-2,10,-1438,942,36
