아이템ID,스폰간격,x,y,z
-2,10,129,24,36
-2,10,688,-77,36
-2,10,427,-99,165
-2,10,-73,-674,36
-2,10,-406,-170,36
-2,10,-558,447,36
-2,10,635,1220,68
-2,10,-440,1407,68
-2,10,-1192,1450,36
-2,10,129,640,36
-2,10,129,-1530,100
2,300,456,-1820,210
-2,10,-499,-1642,100
-2,10,-728,-768,36
-2,10,-1010,363,68
-2,10,-1230,710,68
-2,10,-1080,1930,-155
-2,10,-1080,3450,36
-2,10,152,3450,36
-2,10,-340,3100,36
-2,10,637,2576,36
-2,10,-1,1515,68
-2,10,-480,2200,36
-2,10,-1860,2810,68
-2,10,-1600,2150,68
-2,10,-1685,3420,36
-2,10,742,3720,85
-2,10,1705,3600,100
-2,10,1430,3700,84
2,300,960,3262,164
-2,10,1270,3450,-91
-2,10,1568,1088,36
-2,10,2240,1088,68
-2,10,1920,650,36
