아이템ID,스폰간격,x,y,z
10,30,-1671,1648,36
1,300,-1612,2256,36
8,30,-1601,2654,36
7,30,-2071,2556,68
3,60,-2066,2937,68
9,30,-294,1735,-91
15,60,-707,2091,-91
12,180,-1240,2120,36
6,30,-930,2497,36
14,60,-310,2452,-72
11,30,-941,1325,-75
11,30,-193,1515,36
8,30,300,2700,132
7,30,1156,2374,132
13,60,1150,3030,164
6,30,1563,3022,170
12,180,610,2370,76
9,30,1745,2258,89
4,30,1745,1935,89
5,60,1750,915,100
3,60,1565,80,-147
10,30,1124,304,36
2,300,1141,974,36
8,30,722,550,36
14,60,340,-854,36
6,30,340,-480,36
9,30,165,56,36
10,30,343,418,36
15,60,727,-336,36
12,180,727,205,36
8,30,-725,381,36
7,30,-472,-567,36
9,30,-1005,-983,188
7,30,-1523,-983,188
13,60,-2190,-988,188
6,30,-1005,-403,173
4,30,-1745,-304,228
5,60,-1487,-80,132
12,180,-1448,664,68
10,30,-1911,600,68
0,60,105,2486,-92
0,60,471,2486,-92
0,60,300,2486,-92
0,60,-855,-990,190
0,60,-561,-990,190
0,60,-715,-990,190
