아이템ID,스폰간격,x,y,z
-1,10,-1248,-1072,480
-1,10,-1088,-880,480
-1,10,-1088,-1264,480
-1,10,-896,-1072,480
-1,10,-320,-288,480
-1,10,-168,-528,320
-1,10,-168,-656,320
-1,10,12,-656,480
-1,10,-168,-1264,320
-1,10,-168,-1392,320
-1,10,12,-1328,480
-1,10,64,-960,480
-1,10,356,-432,480
-1,10,404,-1488,480
-1,10,748,-592,480
-1,10,704,-960,480
-1,10,748,-1264,480
-1,10,936,-528,316
-1,10,936,-656,316
-1,10,936,-1264,316
-1,10,936,-1392,316
-1,10,1084,-1632,480
-1,10,1676,-896,492
-1,10,1868,-704,492
-1,10,1868,-1088,492
-1,10,2028,-896,492
1,50,-176,-1008,608
1,50,952,-912,608
1,50,620,-424,596
1,50,156,-1496,596
2,50,384,-960,480
