team,min x,min y,max x,max y,
0,-2816,-3136,-2560,-2816,쉘터지역2
0,-3264,-128,-2624,128,크레인1
0,-128,-3264,128,-2624,크레인2
0,-3904,-128,-3264,128,열차1
0,-128,-3904,128,-3264,열차2
0,-3128,-2360,-3016,-2248,망루1_1
0,-2360,-3128,-2248,-3016,망루1_2
0,-3296,-2336,-3232,-2272,안테나1
0,-2360,-3288,-2248,-3240,콘크리트정제소1
0,-2748,-2808,-2628,-2720,작업대1
0,-2872,-2320,-2824,-2288,발전기1
0,-2328,-2864,-2280,-2832,발전기2
0,-3320,-2704,-3272,-2672,발전기4
0,-2712,-3312,-2664,-3280,발전기3
0,-3136,-3136,-2816,-2560,쉘터지역
0,-1664,-1664,-896,-896,상점1
0,-3072,2496,-2304,2816,상점2
0,2496,-3072,2816,-2304,상점3
0,-3968,-3968,-3328,3968,
0,-3328,-3968,3328,-3328,
0,-3328,-1280,-1792,-768,
0,-3328,768,-1792,1280,
0,-3328,3328,-896,3968,
0,-1280,1280,-768,3328,
0,-1280,768,1280,1280,
0,-1792,-768,-1280,1280,
0,-1280,-3380,-768,-1792,
0,-768,-1792,768,-1280,
0,768,-3328,1280,-1792,
0,3328,-3968,3968,-928,
0,1280,-1280,3328,-768,
0,768,-1280,1280,768,
0,1280,768,3328,1280,
0,768,1280,1280,3328,
0,928,3328,3328,3968,
0,3328,928,3968,3968,
0,-3328,-3328,-3072,-3072,
0,-1536,-3328,-1280,-3072,
0,-3328,-1536,-3072,-1280,
0,-2048,-768,-1792,-512,
0,-1792,-1024,-1536,-768,
0,-1024,-1792,-768,-1536,
0,-768,-2048,-512,-1792,
0,-3328,1280,-3072,1536,
0,-2112,512,-1792,768,
0,768,-1792,1024,-1536,
0,1280,-3328,1536,-3072,
0,-3328,3072,-3072,3328,
0,-1536,3072,-1280,3328,
0,-768,1280,-521,1536,
0,1280,-768,1536,-512,
0,3072,-3328,3328,-3072,
0,3072,-1536,3328,-1280,
0,512,1280,768,1536,
0,1280,512,1536,768,
0,1280,3072,1536,3328,
0,3072,1280,3328,1536,
0,3072,3072,3328,3328,
0,1536,1536,3072,3072,
