temp,id,type,ratio,cooltime,aniTime,aniSeq,damageDelay,damage,damageDegree,damageHeight,damageDist,forceAttackTime,startDistMin,startDistMax,startHealthMin,startHealthMax,approachDist,startMsg,kickSide,kickUp,rushPower
포보스 등장,1000,0,255,360,1,zbs_walk,0.2,0,0,3,9,-1,0,1000,99,100,0,975,0,0,0
충격파임,1000,0,50,6,2.5,zbs_attack_shockwave,2,320,0,3,9,3,0,10,80,100,5,-1,250,250,0
전방 공격임,1000,1,60,3,1.2,zbs_attack_justiceSwing,0.5,65,90,3,8,5,0,15,80,100,4,-1,500,300,0
러쉬,1000,2,40,6,2.5,zbs_attack_mahadash,0.88,75,0,0,0,0,6,20,80,100,0,-1,800,400,1000
충격파임,1000,0,50,6,2.5,zbs_attack_shockwave,2,450,0,3,10,3,0,10,60,79,5,-1,250,250,0
전방 공격임,1000,1,60,3,1.2,zbs_attack_justiceSwing,0.5,100,90,3,7,5,0,15,60,79,4,-1,500,300,0
러쉬,1000,2,40,6,2.5,zbs_attack_mahadash,0.88,155,0,0,0,0,6,20,60,79,0,-1,800,400,1100
충격파임,1000,0,50,6,2.5,zbs_attack_shockwave,2,500,0,3,10,3,0,10,40,59,5,-1,250,250,0
전방 공격임,1000,1,60,3,1.2,zbs_attack_justiceSwing,0.5,115,90,3,7,5,0,15,40,59,4,-1,500,300,0
러쉬,1000,2,40,6,2.5,zbs_attack_mahadash,0.88,255,0,0,0,0,6,20,40,59,0,-1,800,400,1200
충격파임,1000,0,50,3,2.5,zbs_attack_shockwave,2,500,0,3,10,3,0,10,20,39,5,-1,250,250,0
전방 공격임,1000,1,50,3,1.2,zbs_attack_justiceSwing,0.5,115,90,3,7,5,0,15,20,39,4,-1,500,300,0
러쉬,1000,2,40,4,2.5,zbs_attack_mahadash,0.88,300,0,0,0,0,6,20,20,39,0,-1,800,400,1300
충격파임,1000,0,40,6,2.5,zbs_attack_shockwave,2,500,0,3,12,3,0,10,0,19,5,-1,250,250,0
전방 공격임,1000,1,50,3,1.2,zbs_attack_justiceSwing,0.5,150,90,3,7,5,0,15,0,19,4,-1,500,300,0
러쉬,1000,2,50,3,2.5,zbs_attack_mahadash,0.88,425,0,0,0,0,6,20,0,19,0,-1,800,400,1400
포보스 등장,1001,0,255,360,1,zbs_walk,0.2,0,0,3,9,-1,0,1000,99,100,0,977,0,0,0
충격파임,1001,0,50,6,2.5,zbs_attack_shockwave,2,500,0,3,10,3,0,10,80,100,6,-1,250,250,0
전방 공격임,1001,1,60,3,1.2,zbs_attack_justiceSwing,0.5,65,90,3,8,3,0,15,80,100,5,-1,500,300,0
러쉬,1001,2,40,6,2.5,zbs_attack_mahadash,0.88,75,0,0,0,0,6,20,80,100,0,-1,800,400,1000
충격파임,1001,0,50,6,2.5,zbs_attack_shockwave,2,450,0,3,11,3,0,10,60,79,6,-1,250,250,0
전방 공격임,1001,1,60,3,1.2,zbs_attack_justiceSwing,0.5,100,90,3,9,3,0,15,60,79,5,-1,500,300,0
러쉬,1001,2,40,6,2.5,zbs_attack_mahadash,0.88,155,0,0,0,0,6,20,60,79,0,-1,800,400,1100
충격파임,1001,0,50,6,2.5,zbs_attack_shockwave,2,500,0,3,11,3,0,10,40,59,6,-1,250,250,0
전방 공격임,1001,1,60,3,1.2,zbs_attack_justiceSwing,0.5,115,90,3,9,3,0,15,40,59,5,-1,500,300,0
러쉬,1001,2,40,6,2.5,zbs_attack_mahadash,0.88,255,0,0,0,0,6,20,40,59,0,-1,800,400,1200
충격파임,1001,0,50,3,2.5,zbs_attack_shockwave,2,500,0,3,11,3,0,10,20,39,6,-1,250,250,0
전방 공격임,1001,1,50,3,1.2,zbs_attack_justiceSwing,0.5,115,90,3,9,3,0,15,20,39,5,-1,500,300,0
러쉬,1001,2,40,4,2.5,zbs_attack_mahadash,0.88,300,0,0,0,0,6,20,20,39,0,-1,800,400,1300
충격파임,1001,0,40,6,2.5,zbs_attack_shockwave,2,500,0,3,11,3,0,10,0,19,6,-1,250,250,0
전방 공격임,1001,1,50,3,1.2,zbs_attack_justiceSwing,0.5,150,90,3,9,3,0,15,0,19,5,-1,500,300,0
러쉬,1001,2,50,3,2.5,zbs_attack_mahadash,0.88,425,0,0,0,0,6,20,0,19,0,-1,800,400,1400
휘두르기강50-25,1002,3,2,3,2.7,knife_attack1,0.66,100,120,5,11,4,0,15,25,49,5,-1,600,280,0
휘두르기강25-0,1002,3,2,3,2.7,knife_attack1,0.66,140,120,5,11,4,0,15,0,24,5,-1,700,290,0
