waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage,MovePath
1,11,20,190,3,1 5,1 1,,1
1,12,20,190,3,1 5,1 1,,1
1,13,20,190,3,1 5,1 1,,25
1,14,20,190,3,1 5,1 1,,25
1,31,20,190,3,1 5,1 1,,2
1,32,20,190,3,1 5,1 1,,2
1,33,20,190,3,1 5,1 1,,26
1,34,20,190,3,1 5,1 1,,26
1,35,20,190,3,1 5,1 1,,3
1,36,20,190,3,1 5,1 1,,3
1,37,20,190,3,1 5,1 1,,27
1,38,20,190,3,1 5,1 1,,27
1,45,20,190,3,1 5,1 1,,4
1,46,20,190,3,1 5,1 1,,4
1,47,20,190,3,1 5,1 1,,28
1,48,20,190,3,1 5,1 1,,28
1,43,20,190,3,1 5,1 1,,33
1,44,20,190,3,1 5,1 1,,34
2,11,3,190,3,1 5,1 1,,1
2,12,3,190,3,1 5,1 1,,1
2,13,3,30,3,1 5,1 1,,25
2,14,3,30,3,1 5,1 1,,25
2,31,3,190,3,1 5,1 1,,2
2,32,3,190,3,1 5,1 1,,2
2,33,3,190,3,1 5,1 1,,26
2,34,3,190,3,1 5,1 1,,26
2,35,3,190,3,1 5,1 1,,3
2,36,3,190,3,1 5,1 1,,3
2,37,3,190,3,1 5,1 1,,27
2,38,3,190,3,1 5,1 1,,27
2,45,3,190,3,1 5,1 1,,4
2,46,3,190,3,1 5,1 1,,4
2,47,3,30,3,1 5,1 1,,28
2,48,3,30,3,1 5,1 1,,28
2,43,3,190,3,1 5,1 1,,33
2,44,3,190,3,1 5,1 1,,34
2,71,30,190,3,3,1,,17
2,72,30,190,3,3,1,,17
2,73,30,190,3,3,1,,17
2,74,30,190,3,3,1,,17
2,111,30,190,3,3,1,,18
2,112,30,190,3,3,1,,18
2,113,30,190,3,3,1,,18
2,114,30,190,3,3,1,,18
3,11,3,190,3,1 5,1 1,,1
3,12,3,190,3,1 5,1 1,,1
3,13,3,30,3,1 5,1 1,,25
3,14,3,30,3,1 5,1 1,,25
3,31,3,190,3,1 5,1 1,,2
3,32,3,190,3,1 5,1 1,,2
3,33,3,190,3,1 5,1 1,,26
3,34,3,190,3,1 5,1 1,,26
3,35,3,190,3,1 5,1 1,,3
3,36,3,190,3,1 5,1 1,,3
3,37,3,190,3,1 5,1 1,,27
3,38,3,190,3,1 5,1 1,,27
3,45,3,190,3,1 5,1 1,,4
3,46,3,190,3,1 5,1 1,,4
3,47,3,30,3,1 5,1 1,,28
3,48,3,30,3,1 5,1 1,,28
3,43,3,190,3,1 5,1 1,,33
3,44,3,190,3,1 5,1 1,,34
3,81,30,190,3,4,1,,20
3,82,30,190,3,4,1,,20
3,83,30,190,3,4,1,,20
3,84,30,190,3,4,1,,20
3,91,30,190,3,4,1,,21
3,92,30,190,3,4,1,,21
3,93,30,190,3,4,1,,21
3,94,30,190,3,4,1,,21
4,11,3,190,3,1 5,1 1,,1
4,12,3,190,3,1 5,1 1,,1
4,13,3,30,3,1 5,1 1,,25
4,14,3,30,3,1 5,1 1,,25
4,31,3,190,3,1 5,1 1,,2
4,32,3,190,3,1 5,1 1,,2
4,33,3,30,3,1 5,1 1,,26
4,34,3,30,3,1 5,1 1,,26
4,35,3,190,3,1 5,1 1,,3
4,36,3,190,3,1 5,1 1,,3
4,37,3,30,3,1 5,1 1,,27
4,38,3,30,3,1 5,1 1,,27
4,45,3,190,3,1 5,1 1,,4
4,46,3,190,3,1 5,1 1,,4
4,47,3,30,3,1 5,1 1,,28
4,48,3,30,3,1 5,1 1,,28
4,43,3,30,3,1 5,1 1,,33
4,44,3,30,3,1 5,1 1,,34
4,71,30,190,3,7 8,1 1,,17
4,72,30,190,3,7 8,1 1,,17
4,73,30,190,3,7 8,1 1,,17
4,74,30,190,3,7 8,1 1,,17
4,111,30,190,3,7 8,1 1,,18
4,112,30,190,3,7 8,1 1,,18
4,113,30,190,3,7 8,1 1,,18
4,114,30,190,3,7 8,1 1,,18
4,81,30,190,3,7 8,1 1,,20
4,82,30,190,3,7 8,1 1,,20
4,83,30,190,3,7 8,1 1,,20
4,84,30,190,3,7 8,1 1,,20
4,91,30,190,3,7 8,1 1,,21
4,92,30,190,3,7 8,1 1,,21
4,93,30,190,3,7 8,1 1,,21
4,94,30,190,3,7 8,1 1,,21
5,11,3,190,3,14 15,1 1,,1
5,12,3,190,3,14 15,1 1,,1
5,13,3,30,3,14 15,1 1,,25
5,14,3,30,3,14 15,1 1,,25
5,31,3,190,3,14 15,1 1,,2
5,32,3,190,3,14 15,1 1,,2
5,33,3,190,3,14 15,1 1,,26
5,34,3,190,3,14 15,1 1,,26
5,35,3,190,3,14 15,1 1,,3
5,36,3,190,3,14 15,1 1,,3
5,37,3,190,3,14 15,1 1,,27
5,38,3,190,3,14 15,1 1,,27
5,45,3,190,3,14 15,1 1,,4
5,46,3,190,3,14 15,1 1,,4
5,47,3,30,3,14 15,1 1,,28
5,48,3,30,3,14 15,1 1,,28
5,43,3,190,3,14 15,1 1,,33
5,44,3,190,3,14 15,1 1,,34
5,81,30,190,3,9,1,,20
5,82,30,190,3,9,1,,20
5,83,30,190,3,9,1,,20
5,84,30,190,3,9,1,,20
5,91,30,190,3,9,1,,21
5,92,30,190,3,9,1,,21
5,93,30,190,3,9,1,,21
5,94,30,190,3,9,1,,21
5,11,30,190,20,2,1,,12
5,31,30,190,20,2,1,,11
5,35,30,190,20,2,1,,10
5,45,30,190,20,2,1,,9
6,11,3,190,3,14 15,1 1,,1
6,12,3,190,3,14 15,1 1,,1
6,13,3,30,3,14 15,1 1,,25
6,14,3,30,3,14 15,1 1,,25
6,31,3,190,3,14 15,1 1,,2
6,32,3,190,3,14 15,1 1,,2
6,33,3,30,3,14 15,1 1,,26
6,34,3,30,3,14 15,1 1,,26
6,35,3,190,3,14 15,1 1,,3
6,36,3,190,3,14 15,1 1,,3
6,37,3,30,3,14 15,1 1,,27
6,38,3,30,3,14 15,1 1,,27
6,45,3,190,3,14 15,1 1,,4
6,46,3,190,3,14 15,1 1,,4
6,47,3,30,3,14 15,1 1,,28
6,48,3,30,3,14 15,1 1,,28
6,43,3,190,3,14 15,1 1,,33
6,44,3,190,3,14 15,1 1,,34
6,13,30,190,3,7 9,1 1,,14
6,47,30,190,3,7 9,1 1,,15
6,91,30,190,3,7 9,1 1,,21
6,92,30,190,3,7 9,1 1,,21
6,93,30,190,3,7 9,1 1,,21
6,94,30,190,3,7 9,1 1,,21
6,71,30,190,3,7 9,1 1,,17
6,72,30,190,3,7 9,1 1,,17
6,73,30,190,3,7 9,1 1,,17
6,74,30,190,3,7 9,1 1,,17
6,111,30,190,3,7 9,1 1,,18
6,112,30,190,3,7 9,1 1,,18
6,113,30,190,3,7 9,1 1,,18
6,114,30,190,3,7 9,1 1,,18
6,11,30,190,20,2,1,,12
6,45,30,190,20,2,1,,16
6,31,30,30,0,6,1,,11
6,35,30,30,0,6,1,,10
7,11,3,190,3,14 15,1 1,,1
7,12,3,190,3,14 15,1 1,,1
