waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage,MovePath
99,9999,0,0,0,9999,1,43,
99,9999,1,1,0,9999,1,104,
99,9999,4,4,0,9999,1,105,
99,9999,8,8,0,9999,1,106,
99,9999,12,12,0,9999,1,107,
99,9999,16,16,0,9999,1,108,
99,9999,20,20,0,9999,1,109,
99,9999,60,60,0,9999,1,110,
99,9999,64,64,0,9999,1,111,
99,9999,68,68,0,9999,1,112,
99,9999,72,72,0,9999,1,113,
99,9999,76,76,0,9999,1,114,
100,11,20,190,3,1 5,1 1,,1
100,12,20,190,3,1 5,1 1,,1
100,13,20,190,3,1 5,1 1,,1
100,14,20,190,3,1 5,1 1,,1
100,31,20,190,3,1 5,1 1,,3
100,32,20,190,3,1 5,1 1,,3
100,33,20,190,3,1 5,1 1,,3
100,34,20,190,3,1 5,1 1,,3
100,35,20,190,3,1 5,1 1,,3
100,36,20,190,3,1 5,1 1,,3
100,41,20,190,3,1 5,1 1,,4
100,42,20,190,3,1 5,1 1,,4
100,43,20,190,3,1 5,1 1,,4
100,44,20,190,3,1 5,1 1,,4
101,9999,0,0,0,9999,1,43,
101,9999,1,1,0,9999,1,115,
101,9999,4,4,0,9999,1,116,
101,9999,40,40,0,9999,1,123,
102,9999,0,0,0,9999,1,43,
102,9999,1,1,0,9999,1,115,
102,9999,4,4,0,9999,1,116,
102,9999,30,30,0,9999,1,125,
103,9999,0,0,0,9999,1,43,
103,9999,1,1,0,9999,1,115,
103,9999,4,4,0,9999,1,116,
103,9999,30,30,0,9999,1,124,
104,9999,0,0,0,9999,1,43,
104,9999,1,1,0,9999,1,115,
104,9999,4,4,0,9999,1,116,
105,9999,0,0,0,9999,1,43,
105,9999,1,1,0,9999,1,126,
105,9999,4,4,0,9999,1,127,
105,9999,8,8,0,9999,1,128,
106,9999,0,0,0,9999,1,43,
106,9999,1,1,0,9999,1,117,
106,9999,4,4,0,9999,1,118,
106,9999,12,12,0,9999,1,119,
106,9999,14,14,0,9999,1,120,
106,9999,18,18,0,9999,1,121,
106,9999,22,22,0,9999,1,122,
106,100,16,16,0,30000,1,,1
107,21,30,190,15,13,1,,2
107,22,30,190,15,13,1,,2
107,23,30,190,15,13,1,,2
107,24,30,190,15,13,1,,2
107,11,30,190,15,13,1,,1
107,12,30,190,15,13,1,,1
107,13,30,190,15,13,1,,1
107,14,30,190,15,13,1,,1
107,51,30,190,15,13,1,,5
107,52,30,190,15,13,1,,5
107,53,30,190,15,13,1,,5
107,54,30,190,15,13,1,,5
107,54,30,190,15,13,1,,15
107,55,30,190,15,13,1,,15
107,56,30,190,15,13,1,,15
107,57,30,190,15,13,1,,15
107,11,30,190,30,14,1,,1
107,45,30,190,30,14,1,,4
107,131,30,190,15,15,1,,4
107,132,30,190,15,15,1,,4
107,61,30,190,15,15,1,,6
107,62,30,190,15,15,1,,6
107,63,30,190,15,15,1,,6
107,64,30,190,15,15,1,,6
107,91,30,190,15,16,1,,9
107,92,30,190,15,16,1,,9
107,81,30,190,15,16,1,,8
107,82,30,190,15,16,1,,8
1,11,3,190,3,1 5,1 1,,1
1,12,3.5,190,3,1 5,1 1,,1
1,13,4,190,3,1 5,1 1,,1
1,14,4,190,3,1 5,1 1,,1
