id,x,y,z,standAttack
1,-986.541016,-1639.504639,298.031250,1
1,-987.090515,-1693.556519,298.031250,1
2,-988.421448,-1547.068970,298.031250,1
2,-989.824829,-1482.775391,298.031250,1
3,-998.838196,-1404.504150,298.031250,1
3,-999.421631,-1326.477905,298.031250,1
4,-1000.039978,-1227.298950,298.031250,1
4,-1000.455383,-1160.651611,298.031250,1
5,-1001.331177,-1020.181274,298.031250,1
5,-1000.850952,-1097.240967,298.031250,1
6,-998.074646,-818.615479,298.031250,1
6,-997.438904,-763.364014,298.031250,1
7,-1193.553833,-1808.143188,450.031250,1
7,-1154.123901,-1746.054565,450.031250,0
8,-1211.162109,-1686.417236,450.031250,1
8,-1232.659546,-1608.805542,450.031250,0
9,-1274.324097,-1573.238647,450.031250,1
10,-1258.792480,-1151.525513,630.031250,1
11,-1267.377075,-1081.151489,630.031250,1
12,-1258.002319,-1001.312195,630.031250,1
13,-1248.181274,-863.055542,630.031250,1
13,-1256.965210,-924.045105,630.031250,1
14,-989.169983,-675.172485,266.031250,1
14,-989.656433,-605.642517,266.031250,1
14,-990.163086,-533.254517,266.031250,1
15,-998.403748,-261.530212,266.031250,1
15,-998.497253,-342.801331,266.031250,1
15,-999.253723,-408.520782,266.031250,1
16,-998.111328,-7.148789,266.031250,1
16,-998.211487,-94.113945,266.031250,1
16,-998.297302,-168.877548,266.031250,1
17,-930.838135,177.816071,266.031250,1
17,-997.941223,140.934372,266.031250,1
17,-998.016785,75.123978,266.031250,1
18,-808.603943,168.054001,266.031250,1
18,-863.910400,167.791977,266.031250,1
19,-1159.713867,-623.764832,426.031250,1
19,-1152.026489,-570.014465,426.031250,1
20,-1155.973022,-449.592651,426.031250,1
20,-1156.584229,-513.390442,426.031250,1
21,-1157.668213,-177.231598,426.031250,1
21,-1161.122803,-124.604813,426.031250,1
22,-1164.952271,-66.706917,426.031250,1
22,-1164.020508,-7.807629,426.031250,1
23,-1253.808960,-334.189178,666.031250,1
23,-1254.670776,-385.139099,666.031250,1
24,-1257.222046,-262.551575,666.031250,1
25,-1192.562012,101.443840,726.031250,1
25,-1265.500488,101.163200,726.031250,1
26,-1126.207520,104.301704,726.031250,1
26,-1096.341431,158.941055,726.031250,1
27,-1111.694458,309.813446,726.031250,1
27,-1111.326050,240.671783,726.031250,1
28,-1104.129272,371.438080,726.031250,1
28,-1103.835205,436.624512,726.031250,1
29,-1093.664917,555.694824,726.031250,1
29,-1097.086792,499.289948,726.031250,1
30,-1094.835083,614.907776,726.031250,1
30,-1093.786133,682.802124,726.031250,1
31,-614.756104,308.281342,70.126724,0
31,-543.239807,307.842529,69.980453,0
32,-315.147827,474.298798,106.031250,1
32,-240.570068,476.523956,106.031250,0
33,247.190674,483.770721,106.031250,0
33,307.283325,481.384521,106.031250,1
34,549.350159,316.550415,72.883072,1
34,625.857117,321.588898,74.562569,0
35,-667.743958,661.632141,106.031250,1
35,-664.920593,438.331909,106.031250,1
35,-555.331421,769.901001,114.031250,1
36,-390.212463,538.846558,106.031250,1
