round,startTime,triggerName,
1,0,1-9round,
2,0,1-9round,
2,60,para1_fx,
2,62,fire2_fx,
2,63,fire1_fx,
2,130,para2_fx,
2,131,fire3_fx,
2,133,fire4_fx,
3,0,1-9round,
3,53,flight1_fx,
3,55,flight2_fx,
3,70,flight2_fx,
3,72,flight1_fx,
4,0,1-9round,
4,50,para2_fx,
4,61,para1_fx,
4,63,flight2_fx,
4,63,fire1_fx,
4,64,fire4_fx,
4,65,flight1_fx,
4,67,fire2_fx,
4,68,fire3_fx,
4,80,flight1_fx,
4,83,exp_l_on,
4,83,flight2_fx,
4,83,yeah1_on,
4,86,exp_r_on,
4,88,yeah2_on,
5,21,para1_fx,
5,22,fire1_fx,
5,23,fire4_fx,
5,24,para2_fx,
5,25,fire2_fx,
5,27,fire3_fx,
5,30,fire2_fx,
5,32,fire1_fx,
5,33,fire4_fx,
5,36,fire3_fx,
5,41,fire2_fx,
5,44,fire1_fx,
5,46,fire4_fx,
5,47,fire3_fx,
5,61,fire4_fx,
5,67,fire3_fx,
5,68,fire2_fx,
5,74,fire1_fx,
5,81,para2_fx,
5,82,fire3_fx,
5,84,fire4_fx,
5,125,para1_fx,
5,127,fire1_fx,
5,128,fire2_fx,
6,0,1-9round,
6,30,para1_fx,
6,33,para2_fx,
6,34,fire1_fx,
6,36,fire2_fx,
6,37,fire4_fx,
6,39,fire3_fx,
6,42,fire2_fx,
6,43,fire3_fx,
6,45,fire1_fx,
6,50,fire4_fx,
6,71,para1_fx,
6,73,fire1_fx,
6,73,fire4_fx,
6,74,fire2_fx,
6,75,fire3_fx,
6,78,fire2_fx,
6,79,para2_fx,
6,80,fire3_fx,
6,81,fire1_fx,
6,83,fire4_fx,
6,120,para2_fx,
6,122,fire1_fx,
6,124,fire4_fx,
6,125,para1_fx,
6,127,fire3_fx,
6,128,fire2_fx,
7,0,1-9round,
7,35,para2_fx,
7,40,para1_fx,
7,43,fire1_fx,
7,45,fire2_fx,
7,45,fire4_fx,
7,46,fire3_fx,
7,53,fire1_fx,
7,54,fire2_fx,
7,54,fire4_fx,
7,55,fire3_fx,
7,55,flight1_fx,
7,58,fire2_fx,
7,58,flight2_fx,
7,70,flight1_fx,
7,73,exp_l_on,
7,73,flight2_fx,
7,73,yeah1_on,
7,76,exp_r_on,
7,78,yeah2_on,
7,80,fire3_fx,
7,81,fire1_fx,
7,83,fire4_fx,
7,95,para2_fx,
7,98,para1_fx,
7,101,fire4_fx,
7,102,fire3_fx,
7,105,fire2_fx,
7,108,fire3_fx,
7,115,fire1_fx,
7,120,para2_fx,
7,122,fire3_fx,
7,124,fire4_fx,
7,125,para1_fx,
7,127,fire1_fx,
7,128,fire2_fx,
7,133,flight1_fx,
7,135,flight2_fx,
7,150,flight2_fx,
7,153,exp_r_on,
7,153,flight1_fx,
7,153,yeah2_on,
7,156,exp_l_on,
7,158,yeah1_on,
7,167,fire4_fx,
8,0,1-9round,
9,0,1-9round,
9,50,para2_fx,
9,60,para1_fx,
9,63,fire1_fx,
9,65,fire2_fx,
9,61,fire4_fx,
9,66,fire3_fx,
9,120,para1_fx,
9,121,fire3_fx,
9,124,fire4_fx,
9,125,para2_fx,
9,127,fire1_fx,
9,128,fire2_fx,
10,0,10round,
