;id,name,Value
1,value1,0.1
2,value2,80
3,value3,11
4,value4,1
5,value5,0.005
6,value6,200
7,value7,0.08
8,value8,1
9,value9,600
10,value10,400
11,value11,1800
12,value12,7
13,value13,0.01
14,value14,200
15,value15,200
16,value16,1200
17,value17,8
18,value18,0.7
19,value19,2.5
20,value20,100
21,value21,1200
22,value22,0.15
23,value23,1
24,value24,1
25,value25,1
26,value26,0.1
27,value27,170
28,value28,600
29,value29,100
30,value30,9
31,value31,0.8
32,value32,120
33,value33,9
34,value34,0.3
35,value35,200
36,value36,200
37,value37,1600
38,value38,8
39,value39,0.7
40,value40,2.8
41,value41,100
42,value42,1
43,value43,0.01
44,value44,0.07
45,value45,0.5
46,value46,0.08
