waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
1,300,85,0,0,32600,1,
1,301,30,9999,5,32700,1,
1,302,30,9999,10,32700,1,
1,303,30,9999,15,32700,1,
1,304,30,9999,20,32700,1,
1,305,30,9999,5,32701,1,
1,306,30,9999,10,32701,1,
1,307,30,9999,15,32701,1,
1,308,30,9999,20,32701,1,
2,5,0,21600,2,1 2,1 1,
2,6,0,21600,3,11 12,1 1,
2,7,0,21600,2,1 2,1 1,
2,8,0,21600,2,31 32,1 1,
2,9,0,21600,2,1 2 ,1 1,
2,10,0,21600,3,41 42,1 1,
2,11,0,21600,2,1 2,1 1,
2,12,0,21600,4,51 52,1 1,
2,13,0,21600,2,1 2,1 1,
2,14,0,21600,4,21 22,1 1,
2,15,0,21600,2,1 2,1 1,
2,16,0,21600,4,21 22,1 1,
2,17,0,21600,2,1 2,1 1,
2,18,0,21600,3,11 12,1 1,
2,19,0,21600,2,3 4,1 1,
2,20,0,21600,2,31 32,1 1,
2,21,0,21600,2,1 2 ,1 1,
2,22,0,21600,2,41 42,1 1,
2,23,0,21600,2,3 4,1 1,
2,24,0,21600,4,51 52,1 1,
2,25,0,21600,2,1 2,1 1,
2,26,0,21600,4,21 22,1 1,
2,27,0,21600,2,3 4,1 1,
2,28,0,21600,3,61 62,1 1,
2,29,0,21600,2,3 4,1 1,
2,30,0,21600,4,21 22,1 1,
2,31,0,21600,5,3 4,1 1,
2,32,0,21600,6,11 12,1 1,
2,33,0,21600,5,3 4,1 1,
2,34,0,21600,3,31 32,1 1,
2,35,0,21600,5,3 4,1 1,
2,36,0,21600,5,41 42,1 1,
2,37,0,21600,5,3 4,1 1,
2,38,0,21600,7,51 52,1 1,
2,39,0,21600,5,3 4,1 1,
2,40,0,21600,7,21 22,1 1,
2,41,0,21600,5,3 4,1 1,
2,42,0,21600,6,61 62,1 1,
2,43,0,21600,5,3 4,1 1,
2,44,0,21600,7,21 22,1 1,
2,45,0,21600,4,3 4,1 1,
2,46,0,21600,5,23 24,1 1,
2,47,0,21600,4,33 34,1 1,
2,48,0,21600,6,300 301,1 1,
2,49,0,21600,4,300 301,1 1,
2,50,0,21600,5,23 24,1 1,
3,1,0,21600,4,13 14,1 1,
3,2,0,21600,6,5 6,1 1,
3,3,0,21600,9,43 44,1 1,
3,4,0,21600,8,63 64,1 1,
4,60,0,21600,4,3 4,1 1,
4,61,0,21600,4,33 34,1 1,
4,62,0,21600,5,5 6,1 1,
4,63,0,21600,5,23 24,1 1,
4,64,0,21600,4,400 401,1 1,
4,65,0,21600,5,400 401,1 1,
4,66,0,21600,6,15 16,1 1,
4,67,0,21600,5,3 4,1 1,
4,68,0,21600,5,33 34,1 1,
4,69,0,21600,6,5 6,1 1,
4,70,0,21600,6,23 24,1 1,
4,71,0,21600,5,3 4,1 1,
4,72,0,21600,6,13 14,1 1,
4,73,0,21600,3,25 26,1 1,
4,74,0,21600,5,47 48,1 1,
4,75,0,21600,3,47 48,1 1,
4,76,0,21600,4,5 6,1 1,
4,77,0,21600,7,7 8,1 1,
4,78,0,21600,6,7 8,1 1,
4,79,0,21600,4,5 6,1 1,
4,80,0,21600,4,400 401,1 1,
4,81,0,21600,6,400 401,1 1,
4,82,0,21600,5,23 24,1 1,
4,83,0,21600,7,25 26,1 1,
5,90,0,21600,6,305 306,1 1,
5,91,0,21600,5,55 56,1 1,
5,92,0,21600,6,400 401,1 1,
5,93,0,21600,7,47 48,1 1,
5,94,0,21600,6,400 401,1 1,
5,95,0,21600,7,17 18,1 1,
5,96,0,21600,6,400 401,1 1,
5,97,0,21600,6,5 6,1 1,
5,98,0,21600,6,33 34,1 1,
