waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
0,0,0,170,5,20,1,
0,1,0,170,5,20,1,
0,2,0,170,5,20,1,
0,3,0,170,5,20,1,
0,4,0,170,5,20,1,
0,5,0,170,5,20,1,
0,6,0,170,5,20,1,
0,7,0,170,5,20,1,
0,8,0,170,5,20,1,
0,9,0,170,5,20,1,
0,10,0,170,5,20,1,
0,11,0,170,5,20,1,
0,12,0,170,5,20,1,
0,13,0,170,5,20,1,
0,14,0,170,5,20,1,
0,15,0,170,5,20,1,
1,0,0,170,5,1 2,5 1,
1,1,0,170,5,1 2,5 1,
1,2,0,170,5,1 2,5 1,
1,3,0,170,5,1 2,5 1,
1,4,0,170,5,1 2,5 1,
1,5,0,170,5,1 2,5 1,
1,6,0,170,5,1 2,5 1,
1,7,0,170,5,1 2,5 1,
1,8,0,170,5,1 2,5 1,
1,9,0,170,5,1 2,5 1,
1,10,0,170,5,1 2,5 1,
1,11,0,170,5,1 2,5 1,
1,12,0,170,5,1 2,5 1,
1,13,0,170,5,1 2,5 1,
1,14,0,170,5,1 2,5 1,
1,15,0,170,5,1 2,5 1,
2,0,0,170,5,1 2,4 1,
2,1,0,170,5,1 2,4 1,
2,2,0,170,5,1 2,4 1,
2,3,0,170,5,1 2,4 1,
2,4,0,170,5,1 2,4 1,
2,5,0,170,5,1 2,4 1,
2,6,0,170,5,1 2,4 1,
2,7,0,170,5,1 2,4 1,
2,8,0,170,5,1 2,4 1,
2,9,0,170,5,1 2,4 1,
2,10,0,170,5,1 2,4 1,
2,11,0,170,5,1 2,4 1,
2,12,0,170,5,1 2,4 1,
2,13,0,170,5,1 2,4 1,
2,14,0,170,5,1 2,4 1,
2,15,0,170,5,1 2,4 1,
3,0,0,170,5,1003 1004,3 1,
3,1,0,170,5,1003 1004,3 1,
3,2,0,170,5,1003 1004,3 1,
3,3,0,170,5,1003 1004,3 1,
3,4,0,170,5,1003 1004,3 1,
3,5,0,170,5,1003 1004,3 1,
3,6,0,170,5,1003 1004,3 1,
3,7,0,170,5,1003 1004,3 1,
