gametype,0,0:¶ó¿îµåÁ¦ 1:¼¶¸ê,,,,,,,,,
roundTime,180,,,,,,,,,,
wall,0,,,,,,,,,,
wall,0,,,,,,,,,,
RewardRound,0,,,,,,,,,,
round,waveTypes,GoalKillCount,damageAdd,attackRangeAdd,healthAdd,armorAdd,speedAdd,IntervalAdd,moneyAdd,BGM,PlayerSpawn
1,0 1,0,0,0,0,0,30,0,5,2,0
2,0 2,0,4,5,30,10,45,0,10,2,0
3,4 3 6,0,8,10,60,20,60,0,15,2,0
4,4 5 6 100,0,12,10,90,30,75,0,20,2,0
5,0 2,0,12,10,120,40,90,0,25,2,0
6,3 4 6,0,15,10,150,50,105,0,30,2,0
7,4 5 6 10,0,18,10,180,60,120,0,35,2,0
8,5 7 8 101,0,22,10,210,70,135,0,40,2,0
9,4 8 15,0,24,10,240,80,150,0,45,2,0
10,4 7 15 10 11,0,27,10,270,90,165,0,50,2,0
11,4 9 16 107,0,31,10,300,100,180,0,55,2,0
12,5 7 104 16 100 101 10,0,35,10,330,110,195,0,60,2,0
13,5 9 4 10 11 12,0,36,10,360,120,200,0,65,2,0
14,9 16 101 102 104 105,0,41,10,390,130,200,0,70,2,0
15,4 9 16 101 102 10 105,0,45,10,420,140,200,0,75,2,0
16,13 14 17 104 105 106,0,10,10,450,150,200,0,80,2,0
17,7 16 102 103 104 105,0,55,10,480,160,200,0,85,2,0
18,18 102 103 104 105 106,0,61,10,510,300,200,0,90,2,0
19,19,0,65,10,540,300,200,0,95,2,0
20,20,0,80,10,570,300,200,0,100,3,0
