id,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem
1,zombi_origin,20,40,2,80,20,150,70,0,1,255 255 255,0,101,0,0,4
2,speed_zombi_host,35,50,6,35,25,200,55,0,0,255 255 255,0,110,0,0,4
3,speed_zombi_origin,50,50,6,40,20,210,75,0,2,255 255 255,0,111,0,0,4
4,pc_zombi_host,20,50,2.5,55,30,140,50,0,0,255 255 255,0,130,0,0,4
5,pc_zombi_origin,25,50,2.5,85,30,160,70,0,4,255 255 255,0,131,0,0,4
6,heavy_zombi_host,8,45,4,200,120,110,55,0,0,255 255 255,0,121,0,0,4
7,heavy_zombi_origin,20,45,3,250,150,140,75,0,3,255 255 255,0,121,0,0,4
8,heal_zombi_host,30,40,5,120,30,160,100,0,0,255 255 255,0,140,0,0,4
9,heal_zombi_origin,40,40,5,150,80,170,100,0,5,255 255 255,0,141,0,0,4
10,zombi_host,8,1500,6,50,10,140,120,0,6,80 228 91,0,102,0,0,4
11,zombi_host,10,1500,1,5000,3000,150,1000,0,6,80 228 91,0,102,0,0,4
12,heal_zombi_origin,15,40,5,1000,800,120,500,0,5,255 255 255,0,141,0,0,4
13,pc_zombi_origin,5,50,3,10000,10,80,2500,0,4,2 2 2,0,133,0,0,4
20,zombi_host,15,50,3,50,10,130,50,0,0,255 255 255,0,100,0,0,4
100,zbs_bossS_jun00,150,90,2,20000,5000,180,5000,1,3,255 255 255,0,150,0,0,5
101,zbs_bossS_jun00,300,90,3,40000,10000,220,8000,1,3,255 255 255,0,150,0,0,5
102,speed_zombi_origin,500,50,5,5000,2000,280,1000,0,1,2 2 2,0,113,0,0,4
103,speed_zombi_host,100,60,1,5000,5000,330,1000,0,7,210 0 240,0,114,0,0,4
104,heavy_zombi_origin,200,55,1.5,5000,2000,60,1000,0,0,60 120 230,0,120,0,0,4
105,zbs_bossS_jun00,150,90,2,5000,5000,180,1000,0,3,255 255 255,0,150,0,0,5
106,zbs_bossS_jun00,300,90,3,10000,10000,220,1000,0,3,255 255 255,0,150,0,0,5
107,speed_zombi_origin,500,50,5,2500,1000,280,1000,0,1,2 2 2,0,113,0,0,4
108,speed_zombi_host,100,60,1,2500,2500,300,1000,0,7,210 0 240,0,114,0,0,4
109,heavy_zombi_origin,200,55,1.5,5000,2000,60,1000,0,0,60 120 230,0,120,0,0,4
110,speed_zombi_host,100,60,1,60000,10000,340,10000,0,7,210 0 240,0,114,0,0,4
