waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
1,1,0,30,7,1 2,1 1,
1,2,0,30,9,11 12,1 1,
1,3,0,30,7,1 2,1 1,
1,4,0,30,9,21 22,1 1,
1,5,0,30,7,1 2 ,1 1,
1,6,0,30,9,31 32,1 1,
1,7,60,120,7,1 2,1 1,
1,8,60,120,9,11 12,1 1,
1,9,60,120,7,1 2,1 1,
1,10,60,120,9,11 12,1 1,
1,11,60,120,7,1 2,1 1,
1,12,60,120,9,21 22,1 1,
1,13,0,60,7,1 2 ,1 1,
1,14,0,60,9,31 32,1 1,
1,15,0,60,7,1 2,1 1,
1,16,0,60,9,11 12,1 1,
1,17,0,60,7,1 2,1 1,
1,18,0,60,9,11 12,1 1,
1,19,30,90,7,1 2,1 1,
1,20,30,90,9,21 22,1 1,
1,21,30,90,7,1 2 ,1 1,
1,22,30,90,9,31 32,1 1,
1,23,30,21600,7,1 2,1 1,
1,24,30,21600,9,11 12,1 1,
1,25,30,21600,7,1 2,1 1,
1,26,60,21600,9,11 12,1 1,
1,27,30,21600,7,1 2,1 1,
1,28,60,21600,9,21 22,1 1,
1,29,30,21600,7,1 2 ,1 1,
1,30,60,21600,9,31 32,1 1,
1,31,30,21600,7,1 2,1 1,
1,32,60,21600,9,11 12,1 1,
1,33,30,21600,7,1 2,1 1,
2,51,0,21600,3,3 4,1 1,
2,52,0,21600,4,5 6,1 1,
2,53,0,21600,3,13 14,1 1,
2,54,0,21600,4,3 4,1 1,
2,55,0,21600,3,5 6,1 1,
2,56,0,21600,4,23 24,1 1,
2,57,0,21600,3,3 4,1 1,
2,58,0,21600,4,5 6,1 1,
2,59,0,21600,3,13 14,1 1,
2,60,0,21600,4,3 4,1 1,
2,61,0,21600,3,5 6,1 1,
2,62,0,21600,4,25 26,1 1,
2,63,0,21600,3,3 4,1 1,
2,64,0,21600,4,35 36,1 1,
2,65,0,21600,3,3 4,1 1,
2,66,0,21600,4,5 6,1 1,
2,67,0,21600,3,13 14,1 1,
2,68,0,21600,4,3 4,1 1,
2,69,0,21600,3,5 6,1 1,
2,70,0,21600,4,23 24,1 1,
2,71,0,21600,3,3 4,1 1,
2,72,0,21600,4,5 6,1 1,
2,73,0,21600,3,13 14,1 1,
2,74,0,21600,4,3 4,1 1,
2,75,0,21600,3,5 6,1 1,
2,76,0,21600,4,25 26,1 1,
2,77,0,21600,3,3 4,1 1,
2,78,0,21600,4,35 36,1 1,
2,79,0,21600,3,7 8,1 1,
2,80,0,21600,4,25 26,1 1,
2,81,0,21600,3,5 6,1 1,
2,82,0,21600,4,7 8,1 1,
2,83,0,21600,3,17 18,1 1,
2,84,0,21600,4,5 6,1 1,
2,85,0,21600,3,7 8,1 1,
2,86,0,21600,4,27 28,1 1,
2,87,0,21600,3,5 6,1 1,
2,88,0,21600,4,47 48,1 1,
2,89,0,21600,3,7 8,1 1,
2,90,0,21600,4,37 38,1 1,
3,91,0,21600,3,5 6,1 1,
3,92,0,21600,3,23 24,1 1,
3,93,0,21600,4,3 4,1 1,
3,94,0,21600,3,5 6,1 1,
3,95,0,21600,4,13 14,1 1,
3,96,0,21600,3,3 4,1 1,
3,97,0,21600,4,5 6,1 1,
