waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
1,9999,0,0,0,9999,1,1400
1,9999,3,0,0,9999,1,1358
1,9999,6,0,0,9999,1,1359
1,9999,9,0,0,9999,1,1360
1,9999,12,0,0,9999,1,1361
1,9999,15,0,0,9999,1,1362
1,9999,18,0,0,9999,1,1363
1,9999,21,0,0,9999,1,1364
2,9999,0,0,0,9999,1,1365
2,9999,4,0,0,9999,1,1366
2,9999,7,0,0,9999,1,1367
2,9999,10,0,0,9999,1,1368
2,9999,13,0,0,9999,1,1369
2,9999,16,0,0,9999,1,1370
2,9999,19,0,0,9999,1,1371
2,9999,22,0,0,9999,1,1372
2,9999,25,0,0,9999,1,1373
2,9999,28,0,0,9999,1,1374
5,9999,1,0,0,9999,1,1377
5,9999,4,0,0,9999,1,1378
5,1,0,21600,7,1 2,1 1,
5,2,0,21600,8,11 12,1 1,
5,3,0,21600,9,21 22,1 1,
5,4,0,21600,7,1 2,1 1,
5,5,0,21600,8,31 32,1 1,
5,6,0,21600,9,1 2,1 1,
5,7,0,21600,7,11 12,1 1,
5,8,0,21600,8,31 32,1 1,
5,9,0,21600,4,3 4,1 1,
5,10,0,21600,11,13 14,1 1,
5,11,0,21600,10,41 42,1 1,
5,12,0,21600,7,23 24,1 1,
5,13,0,21600,10,31 32,1 1,
5,14,0,21600,11,39 40,1 1,
6,1,0,21600,7,1 2,1 1,
6,2,0,21600,8,11 12,1 1,
6,3,0,21600,9,21 22,1 1,
6,4,0,21600,7,1 2,1 1,
6,5,0,21600,8,31 32,1 1,
6,6,0,21600,9,1 2,1 1,
6,7,0,21600,7,11 12,1 1,
6,8,0,21600,8,31 32,1 1,
6,9,0,21600,4,3 4,1 1,
6,10,0,21600,11,13 14,1 1,
6,11,0,21600,10,41 42,1 1,
6,12,0,21600,7,23 24,1 1,
6,13,0,21600,10,31 32,1 1,
6,14,0,21600,11,39 40,1 1,
6,21,0,21600,7,5 6,1 1,
6,22,0,21600,10,15 16,1 1,
6,23,0,21600,11,23 24,1 1,
7,9999,0,0,0,9999,1,1379
7,9999,3,0,0,9999,1,1380
7,9999,6,0,0,9999,1,1390
8,9999,0,0,0,9999,1,1461
8,9999,3,0,0,9999,1,1462
9,9999,0,0,0,9999,1,1381
9,9999,3,0,0,9999,1,1382
9,31,0,21600,20,1 2,1 1,
9,32,0,21600,22,11 12,1 1,
9,33,0,21600,24,31 32,1 1,
9,34,0,21600,26,3 4,1 1,
9,35,0,21600,28,13 14,1 1,
9,36,0,21600,30,41 42,1 1,
9,37,0,21600,20,23 24,1 1,
9,38,0,21600,22,31 32,1 1,
9,39,0,21600,24,39 40,1 1,
9,40,0,21600,26,5 6,1 1,
9,41,0,21600,28,15 16,1 1,
9,42,0,21600,30,23 24,1 1,
10,9999,0,0,0,9999,1,1383
10,43,0,21600,10,7 8,1 1,
10,44,0,21600,12,17 18,1 1,
10,45,0,21600,10,27 28,1 1,
10,51,0,21600,12,37 38,1 1,
10,52,0,21600,13,47 48,1 1,
10,53,0,21600,14,3 4,1 1,
10,54,0,21600,10,13 14,1 1,
10,55,0,21600,12,17 18,1 1,
10,56,0,21600,13,7 8,1 1,
10,57,0,21600,14,17 18,1 1,
10,58,0,21600,10,27 28,1 1,
10,59,0,21600,10,37 38,1 1,
10,60,0,21600,10,47 48,1 1,
10,61,0,21600,10,23 24,1 1,
10,62,0,21600,10,31 32,1 1,
10,63,0,21600,12,39 40,1 1,
10,64,0,21600,4,3 4,1 1,
11,9999,0,0,0,9999,1,1384
11,9999,3,0,0,9999,1,1385
11,9999,6,0,0,9999,1,1386
11,71,0,21600,3,7 8,1 1,
11,72,0,21600,4,17 18,1 1,
11,73,0,21600,2,27 28,1 1,
11,74,0,21600,3,37 38,1 1,
11,75,0,21600,4,23 24,1 1,
11,76,0,21600,2,31 32,1 1,
11,77,0,21600,3,39 40,1 1,
11,78,0,21600,4,5 6,1 1,
12,81,0,21600,3,7 8,1 1,
12,82,0,21600,4,17 18,1 1,
12,83,0,21600,5,27 28,1 1,
12,84,0,21600,6,7 8,1 1,
12,85,0,21600,3,37 38,1 1,
12,86,0,21600,4,23 24,1 1,
12,87,0,21600,3,31 32,1 1,
12,88,0,21600,4,39 40,1 1,
12,89,0,21600,5,5 6,1 1,
12,90,0,21600,6,400 401,1 1,
12,91,0,21600,3,7 8,1 1,
12,92,0,21600,4,17 18,1 1,
12,93,0,21600,3,27 28,1 1,
12,94,0,21600,4,37 38,1 1,
13,9999,0,0,0,9999,1,1387
13,9999,3,0,0,9999,1,1388
13,9999,6,0,0,9999,1,1389
