id,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem,exp
1,zombi_host,4,60,3,200,50,110,250,0,0,255 255 255,0,101,0,0,1,205
2,zombi_origin,10,60,3,225,70,110,300,0,1,255 255 255,0,101,0,0,1,240
3,zombi_host,15,70,2,300,90,120,350,0,0,255 255 255,0,101,0,0,1,275
4,zombi_origin,25,70,2,325,110,120,450,0,1,255 255 255,0,101,0,0,1,345
5,zombi_host,30,75,2,400,130,120,650,0,0,255 255 255,0,101,0,0,1,485
6,zombi_origin,35,75,2,425,150,120,800,0,1,255 255 255,0,101,0,0,1,590
7,zombi_host,35,75,2,550,170,120,1000,0,0,255 255 255,0,101,0,0,1,730
8,zombi_origin,40,75,2,600,190,120,1200,0,1,255 255 255,0,101,0,0,1,870
11,speed_zombi_host,5,60,2,30,15,200,250,0,0,255 255 255,0,110,0,0,1,205
12,speed_zombi_origin,13,70,2,40,20,200,325,0,2,255 255 255,0,111,0,0,1,258
13,speed_zombi_host,16,80,2,50,50,200,425,0,0,255 255 255,0,110,0,0,1,328
14,speed_zombi_origin,22,80,2,80,60,200,500,0,2,255 255 255,0,111,0,0,1,380
15,speed_zombi_host,26,85,2,125,100,200,650,0,0,255 255 255,0,110,0,0,1,485
16,speed_zombi_origin,30,85,2,150,125,220,800,0,2,255 255 255,0,111,0,0,1,590
17,speed_zombi_origin,35,85,2,170,125,220,1100,0,2,255 255 255,0,111,0,0,1,800
18,speed_zombi_origin,40,85,2,200,125,220,1300,0,2,255 255 255,0,111,0,0,1,940
21,heavy_zombi_host,10,40,4,1000,500,85,1000,0,0,255 255 255,0,121,0,0,1,415
22,heavy_zombi_origin,15,50,4,1000,550,85,1100,0,3,255 255 255,0,121,0,0,1,485
23,heavy_zombi_host,20,50,4,1250,600,90,1200,0,0,255 255 255,0,121,0,0,1,555
24,heavy_zombi_origin,25,60,4,1450,700,90,1300,0,3,255 255 255,0,121,0,0,1,625
25,heavy_zombi_host,30,60,3,1600,800,95,1500,0,0,255 255 255,0,121,0,0,1,765
26,heavy_zombi_origin,35,70,3,2000,950,95,1800,0,3,255 255 255,0,121,0,0,1,870
27,heavy_zombi_origin,40,70,3,2550,1200,100,2000,0,3,255 255 255,0,121,0,0,1,1080
28,heavy_zombi_origin,42,70,3,3200,1300,100,2500,0,3,255 255 255,0,121,0,0,1,1185
31,pc_zombi_host,8,60,3,150,80,245,300,0,0,255 255 255,0,130,0,0,1,240
