id,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem,specialty,searchInterval,attackSpread,bombDamage,bombCoolTime,flinchAvoidRatio
11,bot_light,100,8000,1.5,70,40,220,200,0,0,255 255 255,0,1,0,0,10,L,0.05,3,0,200,25
21,bot_light,100,8000,1.5,70,35,220,200,0,0,255 255 255,0,1,0,0,10,L,0.05,3,0,200,25
22,bot_sniper,250,8000,5,60,25,160,300,0,0,255 255 255,0,3,0,0,10,S,0.05,0.75,0,0,10
31,bot_light,100,8000,1.5,70,35,220,200,0,0,255 255 255,0,1,0,0,10,L,0.05,3,0,200,25
32,bot_sniper,250,8000,5,60,20,170,300,0,0,255 255 255,0,3,0,0,10,S,0.05,0.75,0,0,10
41,bot_light,100,8000,1.5,70,40,220,200,0,0,255 255 255,0,1,0,0,10,L,0.05,3,0,200,25
42,bot_sniper,250,8000,5,60,40,180,300,0,0,255 255 255,0,3,0,0,10,S,0.05,0.75,0,0,10
43,bot_rocket,300,8000,8,200,70,160,300,0,0,255 255 255,0,4,0,0,15,R,0.05,4,0,0,10
44,bot_heavy,200,8000,1,1200,600,150,9000,1,0,255 255 255,0,2,0,0,10,H,0.05,3,0,200,5
52,bot_sniper,250,8000,5,60,50,190,300,0,0,255 255 255,0,3,0,0,10,S,0.05,0.75,0,0,10
61,bot_light,100,8000,1.5,70,50,220,200,0,0,255 255 255,0,1,0,0,10,L,0.05,3,0,200,25
62,bot_sniper,250,8000,5,60,50,200,300,0,0,255 255 255,0,3,0,0,10,S,0.05,0.75,0,0,10
63,bot_rocket,300,8000,8,200,70,175,300,0,0,255 255 255,0,4,0,0,15,R,0.05,4,0,0,10
64,bot_heavy,200,8000,1,1200,1000,150,9000,1,0,255 255 255,0,2,0,0,10,H,0.05,3,0,200,5
71,bot_light,100,8000,1.5,70,70,220,200,0,0,255 255 255,0,1,0,0,10,L,0.05,3,0,200,25
72,bot_sniper,250,8000,5,60,70,200,300,0,0,255 255 255,0,3,0,0,10,S,0.05,0.75,0,0,10
73,bot_rocket,300,8000,8,200,90,175,300,0,0,255 255 255,0,4,0,0,15,R,0.05,4,0,0,10
74,bot_heavy,200,8000,1,1200,1200,150,9000,1,0,255 255 255,0,2,0,0,10,H,0.05,3,0,200,5
83,bot_rocket,300,8000,8,200,110,200,300,0,0,255 255 255,0,4,0,0,15,R,0.05,4,0,0,10
92,bot_sniper,250,8000,5,60,95,210,300,0,0,255 255 255,0,3,0,0,10,S,0.05,0.75,0,0,10
93,bot_rocket,300,8000,8,200,95,200,300,0,0,255 255 255,0,4,0,0,15,R,0.05,4,0,0,10
101,bot_light,100,8000,1.5,70,85,240,200,0,0,255 255 255,0,1,0,0,10,L,0.05,3,0,200,25
102,bot_sniper,250,8000,5,60,120,220,300,0,0,255 255 255,0,3,0,0,10,S,0.05,0.75,0,0,10
103,bot_rocket,300,8000,8,200,150,180,300,0,0,255 255 255,0,4,0,0,15,R,0.05,4,0,0,10
104,bot_heavy,200,8000,1,1200,1500,175,9000,1,0,255 255 255,0,2,0,0,10,H,0.05,3,0,200,5
111,bot_light,200,8000,1,450,120,200,1500,0,0,255 255 255,0,1,0,0,10,L,0.05,3,0,200,25
112,bot_sniper,300,8000,4,400,100,220,1500,0,0,255 255 255,0,3,0,0,10,S,0.05,0.75,0,0,10
113,bot_rocket,400,8000,7,500,120,180,1500,0,0,255 255 255,0,4,0,0,15,R,0.05,4,0,0,10
