x,y,z,pitch,yaw,roll,type,useCount,difficulty,model
-2156,-2241,64,0,45,0,1,1,3,models/bg_medibox_group.mdl
-2191,-2196,64,0,135,0,3,-1,3,models/bg_ammobox_group.mdl
-2230,-2154,76,0,-45,0,2,-1,3,models/bg_armorbox_group.mdl
-2100,-2015,64,0,-135,0,1,1,3,models/bg_medibox_group.mdl
-2065,-2060,64,0,-45,0,3,-1,3,models/bg_ammobox_group.mdl
-2026,-2102,76,0,135,0,2,-1,3,models/bg_armorbox_group.mdl
-2492,-480,64,0,-90,0,1,1,3,models/bg_medibox_group.mdl
-2436,-487,64,0,0,0,3,-1,3,models/bg_ammobox_group.mdl
-2378,-490,76,0,180,0,2,-1,3,models/bg_armorbox_group.mdl
-2497,3050,64,0,60,0,1,1,3,models/bg_medibox_group.mdl
-2542,3084,64,0,150,0,3,-1,3,models/bg_ammobox_group.mdl
-2591,3115,76,0,-30,0,2,-1,3,models/bg_armorbox_group.mdl
-3110,2601,64,0,-150,0,1,1,3,models/bg_medibox_group.mdl
-3088,2549,64,0,-60,0,3,-1,3,models/bg_ammobox_group.mdl
-3062,2498,76,0,120,0,2,-1,3,models/bg_armorbox_group.mdl
688,2116,64,0,0,0,1,1,3,models/bg_medibox_group.mdl
695,2172,64,0,90,0,3,-1,3,models/bg_ammobox_group.mdl
698,2230,76,0,-90,0,2,-1,3,models/bg_armorbox_group.mdl
688,1860,64,0,0,0,1,1,3,models/bg_medibox_group.mdl
695,1916,64,0,90,0,3,-1,3,models/bg_ammobox_group.mdl
698,1974,76,0,-90,0,2,-1,3,models/bg_armorbox_group.mdl
612,526,64,0,45,0,1,1,3,models/bg_medibox_group.mdl
577,571,64,0,135,0,3,-1,3,models/bg_ammobox_group.mdl
538,613,76,0,-45,0,2,-1,3,models/bg_armorbox_group.mdl
1212,-416,64,0,90,0,1,1,3,models/bg_medibox_group.mdl
1156,-409,64,0,180,0,3,-1,3,models/bg_ammobox_group.mdl
1098,-406,76,0,0,0,2,-1,3,models/bg_armorbox_group.mdl
3110,-2601,64,0,30,0,1,1,3,models/bg_medibox_group.mdl
3088,-2549,64,0,120,0,3,-1,3,models/bg_ammobox_group.mdl
3062,-2498,76,0,-60,0,2,-1,3,models/bg_armorbox_group.mdl
2499,-3052,64,0,-120,0,1,1,3,models/bg_medibox_group.mdl
2544,-3086,64,0,-30,0,3,-1,3,models/bg_ammobox_group.mdl
2593,-3117,76,0,150,0,2,-1,3,models/bg_armorbox_group.mdl
2052,-1376,64,0,-90,0,1,1,3,models/bg_medibox_group.mdl
2108,-1383,64,0,0,0,3,-1,3,models/bg_ammobox_group.mdl
2166,-1386,76,0,180,0,2,-1,3,models/bg_armorbox_group.mdl
1980,688,64,0,90,0,1,1,3,models/bg_medibox_group.mdl
1924,695,64,0,180,0,3,-1,3,models/bg_ammobox_group.mdl
1866,698,76,0,0,0,2,-1,3,models/bg_armorbox_group.mdl
2236,688,64,0,90,0,1,1,3,models/bg_medibox_group.mdl
2180,695,64,0,180,0,3,-1,3,models/bg_ammobox_group.mdl
2122,698,76,0,0,0,2,-1,3,models/bg_armorbox_group.mdl
605,689,64,0,-135,0,1,1,3,models/bg_medibox_group.mdl
640,644,64,0,-45,0,3,-1,3,models/bg_ammobox_group.mdl
679,602,76,0,135,0,2,-1,3,models/bg_armorbox_group.mdl
3327,3023,64,0,45,0,1,1,3,models/bg_medibox_group.mdl
3292,3068,64,0,135,0,3,-1,3,models/bg_ammobox_group.mdl
3253,3110,76,0,-45,0,2,-1,3,models/bg_armorbox_group.mdl
-1376,2172,64,0,180,0,1,1,3,models/bg_medibox_group.mdl
-1383,2116,64,0,-90,0,3,-1,3,models/bg_ammobox_group.mdl
-1386,2058,76,0,90,0,2,-1,3,models/bg_armorbox_group.mdl
-2592,-716,64,0,0,0,1,1,3,models/bg_medibox_group.mdl
-2585,-660,64,0,90,0,3,-1,3,models/bg_ammobox_group.mdl
-2582,-602,76,0,-90,0,2,-1,3,models/bg_armorbox_group.mdl
-3056,-596,64,0,180,0,1,1,3,models/bg_medibox_group.mdl
-3063,-652,64,0,-90,0,3,-1,3,models/bg_ammobox_group.mdl
-3066,-710,76,0,90,0,2,-1,3,models/bg_armorbox_group.mdl
3124,3227,64,0,45,0,1,1,3,models/bg_medibox_group.mdl
3089,3272,64,0,135,0,3,-1,3,models/bg_ammobox_group.mdl
3050,3314,76,0,-45,0,2,-1,3,models/bg_armorbox_group.mdl
-480,-2372,64,0,180,0,1,1,3,models/bg_medibox_group.mdl
-487,-2428,64,0,-90,0,3,-1,3,models/bg_ammobox_group.mdl
-490,-2486,76,0,90,0,2,-1,3,models/bg_armorbox_group.mdl
