waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
1,9999,0,0,0,9999,1,2939
1,9999,3,0,0,9999,1,2940
1,9999,6,0,0,9999,1,2941
1,9999,9,0,0,9999,1,2942
1,9999,12,0,0,9999,1,2943
1,9999,15,0,0,9999,1,2944
1,9999,18,0,0,9999,1,2945
1,9999,21,0,0,9999,1,2946
1,1,0,3600,3,1 3 5,1 1 1,
1,2,0,3600,3,2 4 6,1 1 1,
1,3,0,3600,3,7 9 11,1 1 1,
1,4,0,3600,3,8 10 12,1 1 1,
1,5,0,3600,3,13 15 17,1 1 1,
1,6,0,3600,3,14 16 18,1 1 1,
1,7,0,3600,3,19 21 23,1 1 1,
1,8,0,3600,3,20 22 24,1 1 1,
2,9999,9,0,0,9999,1,2947
2,9999,12,0,0,9999,1,2948
2,9999,15,0,0,9999,1,2949
2,9999,18,0,0,9999,1,2950
2,1004,0,0,0,1004,1,
2,1005,3,0,0,1012 1011 1013 1014 1016 1015,1 1 1 1 1 1,
2,9,0,3600,5,1 3 5,1 1 1,
2,10,0,3600,5,2 4 6,1 1 1,
2,11,0,3600,5,7 9 11,1 1 1,
2,12,0,3600,5,8 10 12,1 1 1,
2,13,0,3600,5,13 15 17,1 1 1,
2,14,0,3600,5,14 16 18,1 1 1,
2,15,0,3600,5,19 21 23,1 1 1,
2,16,0,3600,5,20 22 24,1 1 1,
3,17,0,3600,5,1 3 5,1 1 1,
3,18,0,3600,5,2 4 6,1 1 1,
3,19,0,3600,5,7 9 11,1 1 1,
3,20,0,3600,5,8 10 12,1 1 1,
3,21,0,3600,5,13 15 17,1 1 1,
3,22,0,3600,5,14 16 18,1 1 1,
3,23,0,3600,5,19 21 23,1 1 1,
3,24,0,3600,5,20 22 24,1 1 1,
4,9999,9,0,0,9999,1,2951
4,9999,12,0,0,9999,1,2952
4,10001,3,0,0,11005 11001 11013 11003 11007 11015 11009 ,1 1 1 1 1 1 1,
4,10002,6,0,0,12006 12012 12008 12004 12014 12002,1 1 1 1 1 1,
4,1006,0,0,0,1006,1,
4,25,0,3600,15,1 3 5,1 1 1,
4,26,0,3600,15,2 4 6,1 1 1,
4,27,0,3600,15,7 9 11,1 1 1,
4,28,0,3600,15,8 10 12,1 1 1,
4,29,0,3600,15,13 15 17,1 1 1,
4,30,0,3600,15,14 16 18,1 1 1,
4,31,0,3600,15,19 21 23,1 1 1,
4,32,0,3600,15,20 22 24,1 1 1,
4,33,0,3600,15,1 3 5,1 1 1,
4,34,0,3600,15,2 4 6,1 1 1,
4,35,0,3600,15,7 9 11,1 1 1,
4,36,0,3600,15,8 10 12,1 1 1,
4,37,0,3600,15,13 15 17,1 1 1,
4,38,0,3600,15,14 16 18,1 1 1,
5,39,0,3600,3,19 21 23,1 1 1,
5,40,0,3600,3,20 22 24,1 1 1,
5,41,0,3600,3,1 3 5,1 1 1,
5,42,0,3600,3,2 4 6,1 1 1,
5,43,0,3600,3,7 9 11,1 1 1,
5,44,0,3600,3,8 10 12,1 1 1,
5,45,0,3600,3,13 15 17,1 1 1,
5,46,0,3600,3,14 16 18,1 1 1,
6,47,0,3600,4,19 21 23,1 1 1,
6,48,0,3600,4,20 22 24,1 1 1,
6,49,0,3600,4,1 3 5,1 1 1,
6,50,0,3600,4,2 4 6,1 1 1,
6,51,0,3600,4,7 9 11,1 1 1,
6,52,0,3600,4,8 10 12,1 1 1,
6,53,0,3600,4,13 15 17,1 1 1,
6,54,0,3600,4,14 16 18,1 1 1,
6,55,0,3600,4,19 21 23,1 1 1,
6,56,0,3600,4,20 22 24,1 1 1,
6,57,0,3600,4,1 3 5,1 1 1,
6,58,0,3600,4,2 4 6,1 1 1,
6,59,0,3600,4,7 9 11,1 1 1,
6,60,0,3600,4,8 10 12,1 1 1,
6,61,0,3600,4,13 15 17,1 1 1,
