id,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem,exp,isShowHPInfo,mmNum,waveType,"render[mode, fx, alpha]",spawnMessageNum,name
1,akshazombi_host,75,65,3,400,300,240,750,0,0,255 255 255,0,101,0,0,1,750,0,-1,-1,2 0 200,,
2,akshazombi_origin,75,65,3,400,300,240,750,0,0,255 255 255,0,101,0,0,1,750,0,-1,-1,2 0 200,,
3,devilskinlight_host,20,60,4,40,75,260,250,0,0,255 255 255,0,101,0,0,1,250,0,-1,-1,2 0 200,,
4,devilskinlight_origin,20,60,4,40,75,260,250,0,0,255 255 255,0,101,0,0,1,250,0,-1,-1,2 0 200,,
5,resident_zombi_host,20,80,4,45,80,255,250,0,0,255 255 255,0,101,0,0,1,250,0,-1,-1,2 0 200,,
6,resident_zombi_origin,20,80,4,45,80,255,250,0,0,255 255 255,0,101,0,0,1,250,0,-1,-1,2 0 200,,
7,stonedeimos2_host,75,60,4,300,300,245,1000,0,0,255 255 255,0,101,0,0,1,750,0,-1,-1,2 0 200,,
8,stonedeimos2_origin,100,70,3,350,400,250,1500,0,0,255 255 255,0,101,0,0,1,1000,0,-1,-1,2 0 200,,
9,mummystamper_host,35,55,4,115,115,245,400,0,0,255 255 255,0,101,0,0,1,400,0,-1,-1,2 0 200,,
10,mummystamper_origin,35,55,4,115,115,245,400,0,0,255 255 255,0,101,0,0,1,400,0,-1,-1,2 0 200,,
11,teleport_zombi_host,45,65,3,200,125,270,500,0,0,255 255 255,0,101,0,0,1,350,0,-1,-1,2 0 200,,
12,revival_zombi_host,75,40,5,400,300,235,1000,0,0,255 255 255,0,101,0,0,1,1000,0,-1,-1,2 0 200,,
13,booster_zombi_host,30,65,4,75,100,280,350,0,0,255 255 255,0,101,0,0,1,350,0,-1,-1,2 0 200,,
14,booster_zombi_origin,30,65,4,75,100,280,350,0,0,255 255 255,0,101,0,0,1,350,0,-1,-1,2 0 200,,
15,flyingzombi_host,25,60,4,75,95,265,400,0,0,255 255 255,0,101,0,0,1,350,0,-1,-1,2 0 200,,
16,flyingzombi_origin,25,60,4,75,95,265,400,0,0,255 255 255,0,101,0,0,1,350,0,-1,-1,2 0 200,,
17,y19s4rustywing_host,25,60,4,75,95,265,400,0,0,255 255 255,0,101,0,0,1,350,0,-1,-1,2 0 200,,
18,y19s4rustywing_origin,25,60,4,75,95,265,400,0,0,255 255 255,0,101,0,0,1,350,0,-1,-1,2 0 200,,
19,y19s2bloterskin_host,35,65,4,125,110,255,400,0,0,255 255 255,0,101,0,0,1,350,0,-1,-1,2 0 200,,
20,y19s2bloterskin_origin,35,65,4,125,110,255,400,0,0,255 255 255,0,101,0,0,1,350,0,-1,-1,2 0 200,,
21,teleport_zombi_host,45,65,3,200,125,270,500,0,0,255 255 255,0,101,0,0,1,350,0,-1,-1,2 0 200,,
22,teleport_zombi_origin,45,65,3,200,125,270,500,0,0,255 255 255,0,101,0,0,1,350,0,-1,-1,2 0 200,,
23,revival_zombi_host,75,40,5,400,300,235,1000,0,0,255 255 255,0,101,0,0,1,1000,0,-1,-1,2 0 200,,
24,revival_zombi_origin,75,40,5,400,300,235,1000,0,0,255 255 255,0,101,0,0,1,1000,0,-1,-1,2 0 200,,
31901,zbsgoliath,1,300,8,100000,75000,200,5000,1,1010,255 200 200,0,172,2,0,2,5000,1,1004,1004,,2963,
1000,zbs_bossL_big00,1,300,2,100000,75000,400,5000,1,1000,255 255 255,0,171,2,0,3,5000,0,1005,1011,2 0 200,2964,Prototype_Phobos
1001,zbs_bossL_big01,1,300,2,100000,75000,400,5000,1,1000,255 255 255,0,171,2,0,3,5000,0,1005,1012,2 0 200,2965,Siegetype_Phobos
31002,zbs_bossL_big09,501,310,2,100000,75000,205,5000,1,31002,255 255 255,0,172,2,0,2,5000,0,1005,1013,2 0 200,2971,Mad_Mechanic_Mid_Boss
31201,frozenterror2,1,1,2,100000,75000,250,5000,1,31201,255 255 255,0,170,2,0,3,5000,1,1005,1014,2 0 200,2972,Frozen_Wrath_Mid_Boss
32000,envy_zavist,0,0,2,100000,75000,325,5000,1,32000,255 255 255,0,172,2,0,3,5000,1,1005,1015,2 0 200,2973,Envy_Zavist
32001,envy_neid,0,0,2,100000,75000,325,5000,1,32001,255 255 255,0,172,2,0,3,5000,1,1005,1016,2 0 200,2974,Envy_Neid
31901,zbsgoliath,1,300,8,125000,100000,200,7500,1,1010,255 200 200,0,172,2,0,2,7500,1,2001,2001,,2963,
1000,zbs_bossL_big00,1,300,2,125000,100000,400,7500,1,1000,255 255 255,0,171,2,0,3,7500,0,2002,2011,2 0 200,2964,Prototype_Phobos
1001,zbs_bossL_big01,1,300,2,125000,100000,400,7500,1,1000,255 255 255,0,171,2,0,3,7500,0,2002,2012,2 0 200,2965,Siegetype_Phobos
31002,zbs_bossL_big09,501,310,2,125000,100000,205,7500,1,31002,255 255 255,0,172,2,0,2,7500,0,2002,2013,2 0 200,2971,Mad_Mechanic_Mid_Boss
31201,frozenterror2,1,1,2,125000,100000,250,7500,1,31201,255 255 255,0,170,2,0,3,7500,1,2002,2014,2 0 200,2972,Frozen_Wrath_Mid_Boss
32000,envy_zavist,0,0,2,125000,100000,325,7500,1,32000,255 255 255,0,172,2,0,3,7500,1,2002,2015,2 0 200,2973,Envy_Zavist
32001,envy_neid,0,0,2,125000,100000,325,7500,1,32001,255 255 255,0,172,2,0,3,7500,1,2002,2016,2 0 200,2974,Envy_Neid
31901,zbsgoliath,1,300,8,150000,125000,200,10000,1,1010,255 200 200,0,172,2,0,2,10000,1,3001,3001,,2963,
1000,zbs_bossL_big00,1,300,2,150000,125000,400,10000,1,1000,255 255 255,0,171,2,0,3,10000,0,3002,3011,2 0 200,2964,Prototype_Phobos
1001,zbs_bossL_big01,1,300,2,150000,125000,400,10000,1,1000,255 255 255,0,171,2,0,3,10000,0,3002,3012,2 0 200,2965,Siegetype_Phobos
31002,zbs_bossL_big09,501,310,2,150000,125000,205,10000,1,31002,255 255 255,0,172,2,0,2,10000,0,3002,3013,2 0 200,2971,Mad_Mechanic_Mid_Boss
