waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
1,1,0,0,8,1,1,
1,2,4,0,8,2,1,
1,3,8,0,9,3,1,
1,4,10,0,10,4,1,
1,5,0,0,8,1,1,
1,6,4,0,8,2,1,
1,7,8,0,9,3,1,
1,8,10,0,10,4,1,
1,9,0,0,8,1,1,
1,10,4,0,8,2,1,
1,11,8,0,9,3,1,
1,12,10,0,10,4,1,
1,20,0,0,8,1,1,
1,21,4,0,8,2,1,
1,22,8,0,9,3,1,
1,23,10,0,10,4,1,
1,24,0,0,8,1,1,
1,25,4,0,8,2,1,
1,26,8,0,9,3,1,
1,27,10,0,10,4,1,
1,28,0,0,8,1,1,
1,29,4,0,8,2,1,
1,40,8,0,9,3,1,
1,41,10,0,10,4,1,
1,42,0,0,8,1,1,
1,43,4,0,8,2,1,
1,44,8,0,9,3,1,
1,50,10,0,10,4,1,
1,51,0,0,8,1,1,
1,52,4,0,8,2,1,
1,53,8,0,9,3,1,
1,54,10,0,10,4,1,
1,55,0,0,8,1,1,
1,56,4,0,8,2,1,
1,57,8,0,9,3,1,
1,58,10,0,10,4,1,
1,60,0,0,8,1,1,
1,61,4,0,10,2,1,
1,62,8,0,12,3,1,
1,63,10,0,14,4,1,
1,500,100,0,0,101,1,
2,3,0,0,8,1,1,
2,4,4,0,8,2,1,
2,5,6,0,9,3,1,
2,6,8,0,10,4,1,
2,7,0,0,8,1,1,
2,8,4,0,8,2,1,
2,9,6,0,9,3,1,
2,10,8,0,10,4,1,
2,11,0,0,8,1,1,
2,12,4,0,8,2,1,
2,20,6,0,9,3,1,
2,21,8,0,10,4,1,
2,22,0,0,8,1,1,
2,23,4,0,8,2,1,
2,24,6,0,9,3,1,
2,25,8,0,10,4,1,
2,26,0,0,8,1,1,
2,27,4,0,8,2,1,
2,28,6,0,9,3,1,
2,30,8,0,10,4,1,
2,31,0,0,8,1,1,
2,32,4,0,8,2,1,
2,33,6,0,9,3,1,
2,34,8,0,10,4,1,
2,35,0,0,8,1,1,
2,36,4,0,8,2,1,
2,37,6,0,9,3,1,
2,50,8,0,10,4,1,
2,51,0,0,8,1,1,
2,52,4,0,8,2,1,
2,53,6,0,9,3,1,
2,54,8,0,10,4,1,
2,55,0,0,8,1,1,
2,56,4,0,8,2,1,
2,57,6,0,9,3,1,
2,58,8,0,10,4,1,
2,60,0,0,8,1,1,
2,61,4,0,8,2,1,
2,62,6,0,9,3,1,
2,63,8,0,10,4,1,
2,500,100,0,0,100,1,
3,1,0,0,15,111,1,
3,2,4,0,15,111,1,
3,3,6,0,30,112,1,
3,4,6,0,20,42,1,
3,5,0,0,9,1,1,
3,6,4,0,9,2,1,
3,7,6,0,12,3,1,
3,8,6,0,12,4,1,
3,9,0,0,9,1,1,
3,10,4,0,9,2,1,
3,20,6,0,12,3,1,
3,21,6,0,12,4,1,
3,23,0,0,9,1,1,
3,24,4,0,9,2,1,
3,30,6,0,12,3,1,
3,31,6,0,12,4,1,
3,32,0,0,9,1,1,
3,33,4,0,9,2,1,
3,34,6,0,12,3,1,
3,35,6,0,12,4,1,
3,36,0,0,9,1,1,
3,37,4,0,9,2,1,
3,40,6,0,12,6,1,
3,41,6,0,12,6,1,
3,42,0,0,9,6,1,
3,43,4,0,9,6,1,
3,44,6,0,12,6,1,
3,50,6,0,12,4,1,
3,51,0,0,9,1,1,
3,52,4,0,9,2,1,
3,53,6,0,12,3,1,
3,54,6,0,12,4,1,
3,55,0,0,9,1,1,
3,56,4,0,9,2,1,
3,57,6,0,12,3,1,
3,58,6,0,12,4,1,
3,60,0,0,50,5,1,
3,61,4,0,10,1,1,
3,62,6,0,10,1,1,
3,63,6,0,50,5,1,
3,200,100,0,0,30300,1,
4,1,0,0,15,111,1,
4,2,4,0,15,111,1,
4,3,5,0,30,112,1,
4,4,6,0,20,42,1,
4,5,0,0,15,111,1,
4,6,4,0,15,111,1,
4,7,5,0,30,112,1,
4,8,6,0,20,42,1,
4,9,0,0,10,1,1,
4,10,4,0,10,2,1,
4,20,5,0,12,3,1,
4,21,6,0,12,4,1,
4,22,0,0,10,1,1,
4,23,4,0,10,2,1,
4,24,5,0,12,3,1,
4,25,6,0,12,4,1,
4,26,0,0,10,1,1,
4,27,4,0,10,2,1,
4,28,5,0,12,3,1,
4,30,6,0,40,4,1,
4,31,0,0,40,1,1,
4,32,4,0,40,2,1,
4,33,5,0,40,3,1,
4,34,6,0,0,4,1,
4,40,0,0,10,6,1,
4,41,4,0,10,6,1,
4,42,5,0,12,6,1,
4,43,6,0,12,6,1,
4,44,0,0,10,6,1,
4,50,4,0,40,2,1,
4,51,5,0,40,3,1,
4,52,6,0,40,4,1,
4,53,0,0,40,1,1,
4,54,4,0,40,2,1,
4,55,5,0,40,3,1,
4,56,6,0,40,4,1,
4,60,0,0,50,5,1,
4,61,4,0,10,1,1,
4,62,5,0,10,1,1,
4,63,6,0,50,5,1,
4,500,100,0,0,30600,1,
5,6,0,0,15,111,1,
5,7,3,0,15,111,1,
5,8,4,0,30,112,1,
5,9,5,0,20,42,1,
5,10,0,0,15,111,1,
5,11,3,0,15,111,1,
5,12,4,0,30,112,1,
5,20,5,0,20,42,1,
5,21,0,0,12,1,1,
5,22,3,0,12,2,1,
5,23,4,0,14,3,1,
5,24,5,0,14,4,1,
5,25,0,0,12,1,1,
5,26,3,0,12,2,1,
5,27,4,0,14,3,1,
5,28,5,0,14,4,1,
5,29,0,0,12,1,1,
