temp,id,type,ratio,cooltime,aniTime,aniSeq,damageDelay,damage (날아가는 속도에 쓰임 20 = 2배),damageDegree,damageHeight,damageDist,forceAttackTime,startDistMin,startDistMax,startHealthMin,startHealthMax,approachDist,startMsg,kickSide,kickUp,rushPower
Flying,1000,293,40,0,99999,zbs_fly_f,0,2,0,0,0,0,0,1000,80,100,0,-1,0,0,0
FastFlying,1000,294,60,0,99999,zbs_fly_f2,0,3,0,0,0,0,0,1000,80,100,0,-1,1,1,0
Gun,1000,295,65,9,4,zbs_attack_gun_start,1,1,0,0,0,0,0,1000,80,100,0,-1,0,0,0
Rocket,1000,298,55,12,2,zbs_attack_gun_shoot,0.5,1,0,0,0,0,0,1000,80,100,0,-1,0,0,0
MissileFast,1000,303,255,99999,6.3,zbs_attack_special2,2.4,1,0,0,0,0,0,1000,0,95,0,1666,0,0,0
MissileFast,1000,303,20,19,6.3,zbs_attack_special2,2.4,1,0,0,0,0,0,1000,80,95,0,-1,0,0,0
Bombing,1000,301,255,99999,99999,zbs_fly_f,0,1.6,0,0,0,0,0,1000,0,90,0,1674,0,0,0
Bombing,1000,301,10,27,99999,zbs_fly_f,0,1.6,0,0,0,0,0,1000,80,90,0,-1,0,0,0
Gun,1000,295,255,99999,3,zbs_attack_gun_start,1,1,0,0,0,0,0,1000,50,80,0,1671,0,0,0
Flying,1000,293,60,0,99999,zbs_fly_f,0,2.5,0,0,0,0,0,1000,50,80,0,-1,0,0,0
FastFlying,1000,294,140,0,99999,zbs_fly_f2,0,3.5,0,0,0,0,0,1000,50,80,0,-1,0.8,1,0
Gun,1000,295,50,12,4,zbs_attack_gun_start,1,1,0,0,0,0,0,1000,50,80,0,-1,0,0,0
Rocket,1000,298,25,15,2,zbs_attack_gun_shoot,0.5,1,0,0,0,0,0,1000,50,80,0,-1,0,0,0
MissileFast,1000,303,30,17,6.3,zbs_attack_special2,2.4,1,0,0,0,0,0,1000,50,80,0,-1,0,0,0
ScratchGun,1000,300,255,99999,99999,zbs_fly_f2,0,1.4,0,0,0,0,0,1000,0,75,0,1675,0,0,0
ScratchGun,1000,300,30,13,99999,zbs_fly_f2,0,1.4,0,0,0,0,0,1000,50,75,0,-1,0,0,0
Bombing,1000,301,25,21,99999,zbs_fly_f,0,1.6,0,0,0,0,0,1000,50,80,0,-1,0,0,0
Missile,1000,299,255,99999,15,zbs_fly_f2,0,3,0,0,0,0,0,1000,1,70,0,1676,0,0,0
Missile,1000,299,10,99999,15,zbs_fly_f2,0,3,0,0,0,0,0,1000,50,70,0,-1,0,0,0
Gun,1000,295,255,99999,3,zbs_attack_gun_start,1,1,0,0,0,0,0,1000,30,50,0,1672,0,0,0
Flying,1000,293,40,0,99999,zbs_fly_f,0,3,0,0,0,0,0,1000,30,50,0,-1,0,0,0
FastFlying,1000,294,160,0,99999,zbs_fly_f2,0,4,0,0,0,0,0,1000,30,50,0,-1,0.5,1,0
Gun,1000,295,50,9,3,zbs_attack_gun_start,1,1,0,0,0,0,0,1000,30,50,0,-1,0,0,0
Rocket,1000,298,25,13,2,zbs_attack_gun_shoot,0.5,1,0,0,0,0,0,1000,30,50,0,-1,0,0,0
MissileFast,1000,303,45,11,6.3,zbs_attack_special2,2.4,1,0,0,0,0,0,1000,30,50,0,-1,0,0,0
ScratchGun,1000,300,45,13,99999,zbs_fly_f2,0,1.4,0,0,0,0,0,1000,30,50,0,-1,0,0,0
Bombing,1000,301,35,19,99999,zbs_fly_f,0,1.6,0,0,0,0,0,1000,30,50,0,-1,0,0,0
Missile,1000,299,30,23,15,zbs_fly_f2,0,3,0,0,0,0,0,1000,30,50,0,-1,0,0,0
Rocket,1000,298,255,99999,2,zbs_attack_gun_shoot,0.5,1,0,0,0,0,0,1000,0,30,0,1673,0,0,0
Flying,1000,293,0,0,99999,zbs_fly_f,0,2.5,0,0,0,0,0,1000,0,30,0,-1,0,0,0
FastFlying,1000,294,150,0,99999,zbs_fly_f2,0,4.5,0,0,0,0,0,1000,0,30,0,-1,0.3,1,0
Gun,1000,295,70,9,1,zbs_attack_gun_loop,0.1,1,0,0,0,0,0,1000,0,30,0,-1,2,0,0
Rocket,1000,298,30,32,2,zbs_attack_gun_shoot,0.5,1,0,0,0,0,0,1000,0,30,0,-1,0,0,0
MissileFast,1000,303,80,11,5.8,zbs_attack_special2,2.4,1,0,0,0,0,0,1000,0,30,0,-1,0,0,0
ScratchGun,1000,300,50,21,99999,zbs_fly_f2,0,1.4,0,0,0,0,0,1000,0,30,0,-1,0,0,0
Bombing,1000,301,30,27,99999,zbs_fly_f,0,1.6,0,0,0,0,0,1000,0,30,0,-1,0,0,0
Missile,1000,299,50,17,15,zbs_fly_f2,0,3,0,0,0,0,0,1000,5,30,0,-1,0,0,0
Missile,1000,299,255,99999,15,zbs_fly_f2,0,3,0,0,0,0,0,1000,0,0.001,0,-1,0,0,0
Die,1000,304,255,99999,99999,zbs_fly_f2,0,3,0,0,0,0,0,1000,0,0,0,-1,0,0,0
