id,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem,exp,nextmapid
1,zombi_host,4,60,3,200,50,110,250,0,0,255 255 255,0,101,0,0,1,205,-1
2,zombi_origin,10,60,3,225,70,110,300,0,1,255 255 255,0,101,0,0,1,240,-1
3,zombi_host,15,70,2,300,90,120,350,0,0,255 255 255,0,101,0,0,1,275,-1
4,zombi_origin,25,70,2,325,110,120,450,0,1,255 255 255,0,101,0,0,1,345,-1
5,zombi_host,30,75,2,400,130,120,650,0,0,255 255 255,0,101,0,0,1,485,-1
6,zombi_origin,35,75,2,425,150,120,800,0,1,255 255 255,0,101,0,0,1,590,-1
7,zombi_host,35,75,2,550,170,120,1000,0,0,255 255 255,0,101,0,0,1,730,-1
8,zombi_origin,40,75,2,600,190,120,1200,0,1,255 255 255,0,101,0,0,1,870,-1
9,speed_zombi_host,5,60,2,30,15,200,250,0,0,255 255 255,0,110,0,0,1,205,-1
10,speed_zombi_origin,13,70,2,40,20,200,325,0,2,255 255 255,0,111,0,0,1,258,-1
11,speed_zombi_host,16,80,2,50,50,200,425,0,0,255 255 255,0,110,0,0,1,328,-1
12,speed_zombi_origin,22,80,2,80,60,200,500,0,2,255 255 255,0,111,0,0,1,380,-1
13,speed_zombi_host,26,85,2,125,100,200,650,0,0,255 255 255,0,110,0,0,1,485,-1
14,speed_zombi_origin,30,85,2,150,125,220,800,0,2,255 255 255,0,111,0,0,1,590,-1
15,speed_zombi_origin,35,85,2,170,125,220,1100,0,2,255 255 255,0,111,0,0,1,800,-1
16,speed_zombi_origin,40,85,2,200,125,220,1300,0,2,255 255 255,0,111,0,0,1,940,-1
17,heavy_zombi_host,10,40,4,1000,500,85,550,0,0,255 255 255,0,121,0,0,1,415,-1
18,heavy_zombi_origin,15,50,4,1000,550,85,650,0,3,255 255 255,0,121,0,0,1,485,-1
19,heavy_zombi_host,20,50,4,1250,600,90,750,0,0,255 255 255,0,121,0,0,1,555,-1
20,heavy_zombi_origin,25,60,4,1450,700,90,850,0,3,255 255 255,0,121,0,0,1,625,-1
21,heavy_zombi_host,30,60,3,1600,800,95,1050,0,0,255 255 255,0,121,0,0,1,765,-1
22,heavy_zombi_origin,35,70,3,2000,950,95,1200,0,3,255 255 255,0,121,0,0,1,870,-1
23,heavy_zombi_origin,40,70,3,2550,1200,100,1500,0,3,255 255 255,0,121,0,0,1,1080,-1
24,heavy_zombi_origin,42,70,3,3200,1300,100,1650,0,3,255 255 255,0,121,0,0,1,1185,-1
25,pc_zombi_host,8,60,3,150,80,245,300,0,0,255 255 255,0,130,0,0,1,240,-1
26,pc_zombi_origin,12,65,3,165,90,245,350,0,0,255 255 255,0,130,0,0,1,275,-1
27,pc_zombi_host,20,70,3,225,100,245,375,0,0,255 255 255,0,130,0,0,1,293,-1
28,pc_zombi_origin,30,75,3,235,110,245,450,0,0,255 255 255,0,130,0,0,1,345,-1
29,pc_zombi_host,35,75,2,320,120,250,650,0,0,255 255 255,0,130,0,0,1,485,-1
30,pc_zombi_origin,40,80,2,325,130,250,900,0,0,255 255 255,0,130,0,0,1,660,-1
31,pc_zombi_origin,40,80,2,375,140,250,1000,0,0,255 255 255,0,130,0,0,1,730,-1
32,pc_zombi_origin,40,80,2,395,150,250,1200,0,0,255 255 255,0,130,0,0,1,870,-1
33,heal_zombi_origin,10,60,3,200,80,160,475,0,0,255 255 255,0,141,0,0,1,363,-1
34,heal_zombi_host,15,70,3,250,100,160,550,0,0,255 255 255,0,141,0,0,1,415,-1
35,heal_zombi_origin,20,70,3,300,100,160,625,0,0,255 255 255,0,141,0,0,1,468,-1
36,heal_zombi_host,25,70,3,350,100,160,700,0,0,255 255 255,0,141,0,0,1,520,-1
37,heal_zombi_origin,30,80,3,400,150,160,800,0,0,255 255 255,0,141,0,0,1,590,-1
38,heal_zombi_host,30,80,3,450,200,160,1000,0,0,255 255 255,0,141,0,0,1,730,-1
39,heal_zombi_host,35,80,3,500,200,160,1200,0,0,255 255 255,0,141,0,0,1,870,-1
40,heal_zombi_host,35,80,3,550,200,160,1400,0,0,255 255 255,0,141,0,0,1,1010,-1
41,zombi_origin,10,80,2,300,55,270,450,0,1,255 255 255,0,101,0,0,1,345,-1
42,speed_zombi_origin,15,90,1,450,55,270,500,0,0,255 255 255,0,111,0,0,1,380,-1
43,heavy_zombi_origin,10,70,3,550,65,280,800,0,0,255 255 255,0,121,0,0,1,590,-1
44,pc_zombi_origin,10,75,2,600,65,280,450,0,0,255 255 255,0,130,0,0,1,345,-1
45,heal_zombi_host,10,70,3,625,70,290,550,0,0,255 255 255,0,141,0,0,1,415,-1
46,zombiedog,45,75,2,1000,100,90,350,0,12,255 255 255,0,101,0,0,1,275,-1
47,zombiedog,15,55,2,1250,150,90,375,0,12,255 255 255,0,144,0,0,1,293,-1
48,zombiedog,20,55,2,1500,150,90,400,0,12,255 255 255,0,144,0,0,1,310,-1
49,zombiedog,25,55,2,2000,200,90,425,0,12,255 255 255,0,144,0,0,1,328,-1
50,zombiedog,30,55,2,2250,200,90,550,0,12,255 255 255,0,144,0,0,1,415,-1
51,resident_zombi_origin,15,45,3,250,50,150,550,0,10,255 255 255,0,145,0,0,1,415,-1
52,resident_zombi_host,20,45,3,180,80,220,650,0,10,255 255 255,0,145,0,0,1,485,-1
53,resident_zombi_origin,33,45,3,600,100,110,800,0,10,255 255 255,0,145,0,0,1,590,-1
54,resident_zombi_host,38,50,3,200,100,250,1050,0,10,255 255 255,0,145,0,0,1,765,-1
55,resident_zombi_origin,43,50,2,220,100,170,1250,0,10,255 255 255,0,145,0,0,1,905,-1
56,boomer_zombi_host,35,50,4,80,80,160,500,0,11,255 255 255,0,146,0,0,1,380,-1
57,boomer_zombi_origin,40,60,4,95,80,160,600,0,11,255 255 255,0,146,0,0,1,450,-1
58,boomer_zombi_host,45,60,4,105,80,160,750,0,11,255 255 255,0,146,0,0,1,555,-1
59,boomer_zombi_origin,50,70,3,115,80,160,850,0,11,255 255 255,0,146,0,0,1,625,-1
60,boomer_zombi_host,55,70,3,125,80,170,1000,0,11,255 255 255,0,146,0,0,1,730,-1
61,zombiedog,75,60,1,300,150,375,1500,0,12,200 0 0,0,144,0,0,1,1250,-1
62,zombiedog,100,75,2,325,250,375,2000,0,12,255 0 0,0,144,0,0,1,1500,-1
63,zombieclimber,125,100,2,1000,250,200,1500,0,0,255 255 255,0,101,0,0,1,1750,-1
64,zombieclimber,150,100,2,1250,300,225,2000,0,1,200 0 0,0,101,0,0,1,2000,-1
32300,grasshopper,1,300,2,1250000,1000000,500,32000,2,1005,255 255 255,0,172,2,0,9,22400,-1
