x,y,z,pitch,yaw,roll,type,useCount,difficulty,model
264.000000,-2764.000000,-320.000000,0.000000,-15.000000,0.000000,1,1,3,models/bg_medibox_group.mdl
-252.000000,-2649.000000,-320.000000,0.000000,-76.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
-286.000000,-2489.000000,-308.000000,0.000000,94.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
-166.000000,1904.000000,-320.000000,0.000000,-90.000000,0.000000,1,1,3,models/bg_medibox_group.mdl
-213.000000,1871.000000,-308.000000,0.000000,49.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
184.000000,1885.000000,-320.000000,0.000000,-45.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
-1952.000000,-1956.000000,-320.000000,0.000000,-90.000000,0.000000,1,1,3,models/bg_medibox_group.mdl
-1867.000000,-1966.000000,-308.000000,0.000000,180.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
-2045.000000,-1965.000000,-320.000000,0.000000,0.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
-2037.000000,-1546.000000,-308.000000,0.000000,0.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
-1952.000000,-1564.000000,-320.000000,0.000000,90.000000,0.000000,1,1,3,models/bg_medibox_group.mdl
-1859.000000,-1555.000000,-320.000000,0.000000,180.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
-3050.000000,1083.000000,-308.000000,0.000000,90.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
-3056.000000,1168.000000,-320.000000,0.000000,180.000000,0.000000,1,1,3,models/bg_medibox_group.mdl
-3053.000000,1261.000000,-320.000000,0.000000,-90.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
-2774.000000,1253.000000,-308.000000,0.000000,-90.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
-2768.000000,1168.000000,-320.000000,0.000000,0.000000,0.000000,1,1,3,models/bg_medibox_group.mdl
-2771.000000,1075.000000,-320.000000,0.000000,90.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
2821.000000,1630.000000,286.000000,0.000000,-90.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
2783.000000,1630.000000,286.000000,0.000000,-90.000000,0.000000,3,-1,3,models/bg_ammobox_group.mdl
2783.000000,1690.000000,286.000000,0.000000,-90.000000,0.000000,3,-1,3,models/bg_ammobox_group.mdl
3766.000000,1669.000000,286.000000,0.000000,-90.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
3766.000000,1622.000000,286.000000,0.000000,180.000000,0.000000,2,-1,3,models/bg_armorbox_group.mdl
2777.000000,436.000000,286.000000,0.000000,0.000000,0.000000,1,1,2,models/bg_medibox_group.mdl
2785.000000,685.000000,286.000000,0.000000,90.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
2783.000000,738.000000,286.000000,0.000000,-90.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
2656.000000,-883.000000,558.000000,0.000000,90.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
2654.000000,-831.000000,558.000000,0.000000,-90.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
2650.000000,-922.000000,558.000000,0.000000,0.000000,0.000000,1,1,2,models/bg_medibox_group.mdl
3898.000000,-926.000000,558.000000,0.000000,180.000000,0.000000,1,1,3,models/bg_medibox_group.mdl
3892.000000,-882.000000,558.000000,0.000000,-90.000000,0.000000,2,-1,3,models/bg_armorbox_group.mdl
3896.000000,-830.000000,558.000000,0.000000,90.000000,0.000000,3,-1,3,models/bg_ammobox_group.mdl
670.000000,-905.000000,558.000000,0.000000,90.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
1006.000000,-844.000000,558.000000,0.000000,90.000000,0.000000,1,1,2,models/bg_medibox_group.mdl
927.000000,-1069.000000,558.000000,0.000000,0.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
869.000000,-1055.000000,558.000000,0.000000,-75.000000,0.000000,3,-1,3,models/bg_ammobox_group.mdl
678.000000,-857.000000,558.000000,0.000000,30.000000,0.000000,2,-1,3,models/bg_armorbox_group.mdl
972.000000,-844.000000,558.000000,0.000000,90.000000,0.000000,1,1,3,models/bg_medibox_group.mdl
974.000000,1077.000000,558.000000,0.000000,90.000000,0.000000,1,1,3,models/bg_medibox_group.mdl
1008.000000,1077.000000,558.000000,0.000000,90.000000,0.000000,1,1,2,models/bg_medibox_group.mdl
871.000000,866.000000,558.000000,0.000000,-75.000000,0.000000,3,-1,3,models/bg_ammobox_group.mdl
929.000000,852.000000,558.000000,0.000000,0.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
672.000000,1016.000000,558.000000,0.000000,90.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
696.000000,1064.000000,558.000000,0.000000,30.000000,0.000000,2,-1,3,models/bg_armorbox_group.mdl
-1650.000000,1058.000000,558.000000,0.000000,30.000000,0.000000,2,-1,3,models/bg_armorbox_group.mdl
-1674.000000,1010.000000,558.000000,0.000000,90.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
-1372.000000,1071.000000,558.000000,0.000000,90.000000,0.000000,1,1,3,models/bg_medibox_group.mdl
-1336.000000,1071.000000,558.000000,0.000000,75.000000,0.000000,1,1,2,models/bg_medibox_group.mdl
-1516.000000,1053.000000,558.000000,0.000000,-75.000000,0.000000,3,-1,3,models/bg_ammobox_group.mdl
-1573.000000,1067.000000,558.000000,0.000000,0.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
