id,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem,exp
70,boomer_zombi_host,25,60,4,100,100,240,450,0,13,255 0 0,0,146,0,0,1,315
71,boomer_zombi_origin,35,70,4,150,150,240,800,0,11,255 255 255,0,146,0,0,1,560
500,zbs_bossS_jun00,145,90,3,25000,20000,225,20000,1,0,255 255 255,0,150,0,0,2,16000
32200,drrex,1,300,2,1300000,1300000,250,32000,2,1000,255 255 255,0,170,2,50,3,22400
32201,infectedrex,1,300,2,3000000,3000000,300,32000,2,1001,255 255 255,0,170,2,100,3,22400
1,zombi_host,4,60,3,30,20,240,250,0,0,255 255 255,0,101,0,0,1,205
2,zombi_origin,10,60,3,60,40,240,300,0,1,255 255 255,0,101,0,0,1,240
3,zombi_host,15,70,2,90,70,245,350,0,0,255 255 255,0,101,0,0,1,275
4,zombi_origin,25,70,2,100,80,245,450,0,1,255 255 255,0,101,0,0,1,345
5,zombi_host,30,75,2,250,200,250,650,0,0,255 255 255,0,101,0,0,1,485
6,zombi_origin,35,75,2,300,250,250,800,0,1,255 255 255,0,101,0,0,1,590
7,zombi_host,35,75,2,350,250,250,1000,0,0,255 255 255,0,101,0,0,1,730
8,zombi_origin,40,75,2,400,250,255,1200,0,1,255 255 255,0,101,0,0,1,870
9,speed_zombi_host,5,60,2,30,15,260,250,0,0,255 255 255,0,110,0,0,1,205
10,speed_zombi_origin,13,70,2,40,20,280,325,0,2,255 255 255,0,111,0,0,1,258
11,speed_zombi_host,16,80,2,50,50,260,425,0,0,255 255 255,0,110,0,0,1,328
12,speed_zombi_origin,22,80,2,80,60,280,500,0,2,255 255 255,0,111,0,0,1,380
13,speed_zombi_host,26,85,2,125,100,280,650,0,0,255 255 255,0,110,0,0,1,485
14,speed_zombi_origin,30,85,2,150,125,280,800,0,2,255 255 255,0,111,0,0,1,590
15,speed_zombi_origin,35,85,2,170,125,280,1100,0,2,255 255 255,0,111,0,0,1,800
16,speed_zombi_origin,40,85,2,200,125,280,1300,0,2,255 255 255,0,111,0,0,1,940
17,heavy_zombi_host,10,40,4,150,100,220,550,0,0,255 255 255,0,121,0,0,1,415
18,heavy_zombi_origin,15,50,4,200,100,230,650,0,3,255 255 255,0,121,0,0,1,485
19,heavy_zombi_host,20,50,4,500,150,240,750,0,0,255 255 255,0,121,0,0,1,555
20,heavy_zombi_origin,25,60,4,600,300,250,850,0,3,255 255 255,0,121,0,0,1,625
21,heavy_zombi_host,30,60,3,800,800,260,1050,0,0,255 255 255,0,121,0,0,1,765
22,heavy_zombi_origin,35,70,3,1000,900,260,1200,0,3,255 255 255,0,121,0,0,1,870
23,heavy_zombi_origin,40,70,3,1200,900,260,1500,0,3,255 255 255,0,121,0,0,1,1080
24,heavy_zombi_origin,42,70,3,1350,950,260,1650,0,3,255 255 255,0,121,0,0,1,1185
25,pc_zombi_host,8,60,3,50,30,250,300,0,0,255 255 255,0,130,0,0,1,240
26,pc_zombi_origin,12,65,3,85,65,250,350,0,0,255 255 255,0,130,0,0,1,275
27,pc_zombi_host,20,70,3,110,90,250,375,0,0,255 255 255,0,130,0,0,1,293
28,pc_zombi_origin,30,75,3,125,100,260,450,0,0,255 255 255,0,130,0,0,1,345
29,pc_zombi_host,35,75,2,160,150,270,650,0,0,255 255 255,0,130,0,0,1,485
30,pc_zombi_origin,40,80,2,200,200,270,900,0,0,255 255 255,0,130,0,0,1,660
31,pc_zombi_origin,40,80,2,220,200,270,1000,0,0,255 255 255,0,130,0,0,1,730
32,pc_zombi_origin,40,80,2,250,200,270,1200,0,4,255 255 255,0,130,0,0,1,870
33,heal_zombi_origin,10,60,3,100,80,230,475,0,0,255 255 255,0,141,0,0,1,363
34,heal_zombi_host,15,70,3,120,100,250,550,0,0,255 255 255,0,141,0,0,1,415
35,heal_zombi_origin,20,70,3,175,100,240,625,0,0,255 255 255,0,141,0,0,1,468
36,heal_zombi_host,25,70,3,200,100,260,700,0,5,255 255 255,0,141,0,0,1,520
37,heal_zombi_origin,30,80,3,400,150,270,800,0,0,255 255 255,0,141,0,0,1,590
38,heal_zombi_host,30,80,3,500,200,270,1000,0,5,255 255 255,0,141,0,0,1,730
39,heal_zombi_host,35,80,3,500,200,270,1200,0,5,255 255 255,0,141,0,0,1,870
40,heal_zombi_host,35,80,3,500,200,270,1400,0,5,255 255 255,0,141,0,0,1,1010
