 ,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem,exp
1,zombi_host,4,60,3,400,100,340,250,0,1,255 255 255,0,101,0,0,1,205
2,zombi_origin,10,60,3,450,140,340,300,0,1,255 255 255,0,101,0,0,1,240
3,speed_zombi_host,5,60,2,60,30,400,250,0,2,255 255 255,0,110,0,0,1,205
4,speed_zombi_origin,13,70,2,80,40,400,325,0,2,255 255 255,0,111,0,0,1,258
5,heavy_zombi_host,10,40,4,2000,1000,200,1000,0,0,255 255 255,0,121,0,0,1,415
6,heavy_zombi_origin,15,50,4,2000,1100,220,1100,0,0,255 255 255,0,121,0,0,1,485
7,pc_zombi_host,8,60,3,300,160,360,300,0,0,255 255 255,0,130,0,0,1,240
8,pc_zombi_origin,12,65,3,330,180,360,350,0,0,255 255 255,0,130,0,0,1,275
9,heal_zombi_origin,10,60,3,400,160,320,475,0,0,255 255 255,0,141,0,0,1,363
10,heal_zombi_host,15,70,3,500,200,320,550,0,0,255 255 255,0,141,0,0,1,415
11,resident_zombi_origin,15,45,3,600,110,520,550,0,10,255 255 255,0,145,0,0,1,415
12,resident_zombi_host,20,45,3,900,110,520,650,0,10,255 255 255,0,145,0,0,1,485
13,zombiedog,25,55,2,230,160,640,425,0,12,255 255 255,0,144,0,0,1,328
14,zombiedog,25,55,2,230,160,640,425,0,12,255 255 255,0,144,0,0,1,328
15,zombiedog,25,55,2,230,160,640,425,0,12,255 255 255,0,144,0,0,1,328
16,zombieclimber,25,50,3,2000,500,360,1500,0,1,255 255 255,0,147,0,0,1,1750
17,zombi_host,15,70,2,600,180,360,350,0,1,255 255 255,0,101,0,0,1,275
18,zombi_origin,25,70,2,650,220,360,450,0,1,255 255 255,0,101,0,0,1,345
19,speed_zombi_host,16,80,2,100,100,500,425,0,2,255 255 255,0,110,0,0,1,328
20,speed_zombi_origin,22,80,2,160,120,500,500,0,2,255 255 255,0,111,0,0,1,380
21,heavy_zombi_host,20,50,4,2500,1200,220,1200,0,0,255 255 255,0,121,0,0,1,555
22,heavy_zombi_origin,25,60,4,2900,1400,250,1300,0,0,255 255 255,0,121,0,0,1,625
23,pc_zombi_host,20,70,3,450,200,360,375,0,0,255 255 255,0,130,0,0,1,293
24,pc_zombi_origin,30,75,3,470,220,360,450,0,0,255 255 255,0,130,0,0,1,345
25,heal_zombi_origin,20,70,3,600,200,320,625,0,0,255 255 255,0,141,0,0,1,468
26,heal_zombi_host,25,70,3,700,200,320,700,0,0,255 255 255,0,141,0,0,1,520
27,resident_zombi_origin,33,45,3,1100,130,540,800,0,10,255 255 255,0,145,0,0,1,590
28,resident_zombi_host,38,50,3,1200,130,540,1050,0,10,255 255 255,0,145,0,0,1,765
29,zombiedog,50,75,1,600,300,660,1500,0,12,200 0 0,0,144,0,0,1,1250
30,zombiedog,50,75,1,600,300,660,1500,0,12,200 0 0,0,144,0,0,1,1250
31,zombiedog,50,75,1,600,300,660,1500,0,12,200 0 0,0,144,0,0,1,1250
32,zombieclimber,50,75,3,2500,600,380,2000,0,1,225 50 25,0,147,0,0,1,2000
33,zombi_host,30,75,2,800,260,380,650,0,1,255 255 255,0,101,0,0,1,485
34,zombi_origin,35,75,2,850,300,380,800,0,1,255 255 255,0,101,0,0,1,590
35,speed_zombi_host,26,85,2,250,200,600,650,0,2,255 255 255,0,110,0,0,1,485
36,speed_zombi_origin,30,85,2,300,250,600,800,0,2,255 255 255,0,111,0,0,1,590
37,heavy_zombi_host,30,60,3,3200,1600,250,1500,0,0,255 255 255,0,121,0,0,1,765
38,heavy_zombi_origin,35,70,3,4000,1900,260,1800,0,0,255 255 255,0,121,0,0,1,870
39,pc_zombi_host,35,75,2,640,240,380,650,0,0,255 255 255,0,130,0,0,1,485
40,pc_zombi_origin,40,80,2,650,260,380,900,0,0,255 255 255,0,130,0,0,1,660
41,heal_zombi_origin,30,80,3,800,300,320,800,0,0,255 255 255,0,141,0,0,1,590
42,heal_zombi_host,30,80,3,900,400,320,1000,0,0,255 255 255,0,141,0,0,1,730
43,resident_zombi_origin,43,50,2,1250,140,540,1250,0,10,255 255 255,0,145,0,0,1,700
44,resident_zombi_host,45,50,2,1500,150,540,1500,0,10,255 255 255,0,145,0,0,1,750
45,zombiedog,75,75,2,650,500,660,2000,0,12,255 0 0,0,144,0,0,1,1500
46,zombiedog,75,75,2,650,500,660,2000,0,12,255 0 0,0,144,0,0,1,1500
47,zombiedog,75,75,2,650,500,660,2000,0,12,255 0 0,0,144,0,0,1,1500
48,zombieclimber,75,100,3,3000,700,400,2500,0,1,225 50 25,0,147,0,0,1,2250
100,zombi_host,5,1500,10,200,20,-25,200,0,6,80 228 91,0,102,0,0,1,170
500,deimos_zombi_host,75,70,3,10000,10000,650,8000,0,8,255 255 255,0,181,0,0,1,5600
501,deimos_zombi_origin,100,80,3,12500,12500,650,10000,0,8,255 255 255,0,182,0,0,1,10000
502,zbs_bossS_jun01,125,70,3,15000,15000,675,15000,0,9,255 255 255,0,182,0,0,2,12500
503,zbs_bossS_jun01,150,80,3,17500,17500,675,20000,0,9,255 255 255,0,182,0,0,2,15000
31901,zbsgoliath,1,300,8,200000,200000,200,16000,1,1010,255 200 200,0,172,2,5,2,20000
