waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage,MovePath
1,129,6,180,3,1,1,,16
1,31,6,180,3,1,1,,17
1,218,6,180,3,1,1,,35
1,221,6,180,3,1,1,,36
1,21,6,180,3,1,1,,38
1,222,6,180,3,1,1,,39
1,422,6,180,3,1,1,,40
1,123,6,180,3,1,1,,42
1,223,6,180,3,1,1,,80
1,134,6,180,3,1,1,,59
1,35,6,180,3,1,1,,60
1,36,6,180,3,1,1,,61
2,129,6,190,3,1,1,,16
2,32,6,190,3,1,1,,21
2,118,6,190,3,1,1,,31
2,122,6,190,3,1,1,,34
2,42,6,190,3,1,1,,85
2,21,6,190,3,1,1,,38
2,33,6,190,3,1,1,,86
2,422,6,190,3,1,1,,40
2,23,6,190,3,1,1,,41
2,223,6,190,3,1,1,,80
2,25,6,190,3,1,1,,81
2,139,20,190,3,3,1,,19
2,144,20,190,3,3,1,,23
2,150,20,190,3,3,1,,50
2,54,20,190,3,3,1,,55
2,255,20,190,3,3,1,,65
3,29,6,190,3,1,1,,15
3,129,6,190,3,1,1,,16
3,18,6,190,3,1,1,,32
3,122,6,190,3,1,1,,34
3,221,6,190,3,1,1,,36
3,21,6,190,3,1,1,,38
3,222,6,190,3,1,1,,39
3,422,6,190,3,1,1,,40
3,23,6,190,3,1,1,,41
3,134,6,190,3,1,1,,59
3,25,6,190,3,1,1,,81
3,144,12,190,3,4,1,,23
3,48,12,190,3,4,1,,46
3,51,12,190,3,4,1,,51
3,57,12,190,3,4,1,,69
4,29,6,190,3,5,1,,15
4,118,6,190,3,5,1,,31
4,223,6,190,3,5,1,,33
4,42,6,190,3,5,1,,85
4,222,6,190,3,5,1,,39
4,23,6,190,3,5,1,,41
4,18,6,190,3,5,1,,90
4,122,6,190,3,5,1,,91
4,21,6,190,3,5,1,,92
4,146,12,190,3,7,1,,27
4,57,12,190,3,7,1,,69
4,258,12,190,3,7,1,,71
4,44,15,190,3,8,1,,24
4,51,15,190,3,8,1,,51
4,53,15,190,3,8,1,,53
4,55,15,190,3,8,1,,66
4,255,15,190,3,8,1,,65
5,15,6,190,3,5,1,,78
5,29,6,190,3,5,1,,14
5,129,6,190,3,5,1,,15
5,118,6,190,3,5,1,,31
5,122,6,190,3,5,1,,34
5,221,6,190,3,5,1,,36
5,422,6,190,3,5,1,,40
5,23,6,190,3,5,1,,41
5,123,6,190,3,5,1,,42
5,25,6,190,3,5,1,,81
5,18,9,190,12,2,1,,90
5,222,9,190,12,2,1,,91
5,223,9,190,12,2,1,,92
5,20,9,190,12,2,1,,93
5,45,12,190,3,7,1,,28
5,49,12,190,3,7,1,,47
5,53,12,190,3,7,1,,53
5,255,12,190,3,7,1,,65
5,358,12,190,3,7,1,,73
6,29,6,190,3,5,1,,3
6,229,6,190,3,5,1,,6
6,329,6,190,3,5,1,,15
6,132,6,190,3,5,1,,18
6,118,6,190,3,5,1,,31
6,42,6,190,3,5,1,,85
6,222,6,190,3,5,1,,39
6,23,6,190,3,5,1,,41
6,15,6,190,3,5,1,,79
6,26,6,190,3,5,1,,81
6,500,9,190,0,14,1,,93
6,45,15,190,3,8,1,,28
6,150,15,190,3,8,1,,49
6,53,15,190,3,8,1,,54
6,255,15,190,3,8,1,,65
6,158,15,190,3,8,1,,70
7,129,6,190,3,9,1,,5
7,29,6,190,3,9,1,,14
7,118,6,190,3,9,1,,31
7,223,6,190,3,9,1,,33
7,422,6,190,3,9,1,,40
7,36,6,190,3,9,1,,62
7,137,6,190,3,9,1,,63
7,43,12,190,3,11,1,,11
7,32,12,190,3,11,1,,21
7,146,12,190,3,11,1,,27
7,147,12,190,3,11,1,,29
7,33,12,190,3,11,1,,86
7,155,12,190,3,11,1,,67
7,150,15,190,3,12,1,,49
7,152,15,190,3,12,1,,57
7,255,15,190,3,12,1,,65
7,158,15,190,3,12,1,,70
7,59,15,190,3,12,1,,74
8,128,6,190,3,9,1,,84
8,28,6,190,3,9,1,,76
8,229,6,190,3,9,1,,6
8,129,6,190,3,9,1,,16
8,222,6,190,3,9,1,,39
8,422,6,190,3,9,1,,40
8,36,6,190,3,9,1,,61
8,60,12,190,3,11,1,,9
8,343,12,190,3,11,1,,12
8,42,12,190,3,11,1,,85
8,57,12,190,3,11,1,,69
8,44,12,190,3,12,1,,23
8,49,12,190,3,12,1,,47
8,54,12,190,3,12,1,,55
8,255,12,190,3,12,1,,65
8,158,12,190,3,12,1,,70
8,18,9,190,12,6,1,,90
8,122,9,190,12,6,1,,91
8,322,9,190,12,6,1,,92
8,20,9,190,12,6,1,,93
9,222,6,190,3,9,1,,39
9,27,6,190,3,9,1,,83
