gametype,0,0:¶ó¿îµåÁ¦ 1:¼¶¸ê,,,,,,,,,
roundTime,120,,,,,,,,,,
wall,0,,,,,,,,,,
wall,0,,,,,,,,,,
RewardRound,0,,,,,,,,,,
round,waveTypes,GoalKillCount,damageAdd,attackRangeAdd,healthAdd,armorAdd,speedAdd,IntervalAdd,moneyAdd,BGM,PlayerSpawn
1,0,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,10,5,10,-1,0,2,0
3,0 1,0,0,0,10,5,10,-0.5,5,2,0
4,0 1 2,0,5,0,15,5,15,-0.5,10,2,0
5,0 1 2 3,0,5,0,15,10,15,-0.5,10,2,0
6,22 4,0,5,0,50,30,25,-0.5,15,2,0
7,0 1 2 3 4,0,10,0,25,25,20,-0.5,15,2,0
8,0 1 2 3 4 5,0,10,0,30,30,25,-0.5,15,2,0
9,0 1 2 3 4 5,0,10,0,35,35,25,-0.5,15,2,0
10,0 1 2 3 4 6,0,15,0,40,40,25,-0.5,20,3,0
11,7,0,0,0,0,0,0,0,10,2,0
12,8,0,15,0,45,30,30,10,20,2,0
13,8 22,0,15,0,60,40,30,-1.5,20,2,0
14,5 8,0,15,0,65,50,30,-1.7,20,2,0
15,9,0,15,0,80,60,30,-1.7,20,2,0
16,10,0,20,0,70,65,30,-2,20,2,0
17,9 26,0,20,0,100,65,35,-2,30,2,0
18,10 11 25,0,20,0,30,30,35,2,25,2,0
19,12 22,0,20,0,40,20,35,2,25,2,0
20,13,0,20,0,70,65,35,-2,25,3,0
21,7,0,0,0,50,20,10,0,30,2,0
22,29,0,20,0,130,70,45,-2,30,2,0
23,17,0,20,0,110,60,45,-2,30,2,0
24,0 1 2 3 4 5,0,20,0,90,60,45,-2,30,2,0
25,14,0,0,10,0,0,0,0,0,3,0
26,24,0,30,0,120,70,40,-2.5,35,2,0
27,18,0,20,0,100,65,60,-2,30,2,0
28,0 1 2 3 4 28,0,20,0,110,65,40,-2,30,2,0
29,10 26 ,0,20,0,150,80,40,-2,30,2,0
30,30,0,20,0,120,65,40,-2,30,3,0
31,7,0,0,0,50,20,10,0,50,2,0
32,10 26 ,0,25,0,190,100,50,-2,40,2,0
33,19,0,25,0,130,80,40,-3,40,2,0
34,5 29,0,25,0,180,100,40,-2,40,2,0
35,15,0,25,10,100,50,20,0,40,3,0
36,27,0,25,0,200,100,40,-2.5,45,2,0
37,24 26,0,25,0,140,80,40,-2.5,45,2,0
38,18,0,25,0,200,80,60,-3,45,2,0
39,24 26,0,25,0,200,100,50,-2.5,45,2,0
40,5 20,0,25,0,170,70,50,-2.5,45,3,0
41,7,0,0,0,100,30,10,0,70,2,0
42,0 1 2 3 4 5 11,0,20,0,250,60,50,-2.5,50,2,0
43,5 26 27,0,20,0,220,65,50,-2.5,50,2,0
44,5 26 27,0,20,0,270,100,50,-2.5,50,2,0
45,16,0,50,10,200,200,50,0,50,3,0
46,10 26 ,0,20,0,220,100,50,-3,50,2,0
47,5 27 31,0,25,0,220,100,50,-3,70,2,0
48,12 31,0,30,0,250,100,50,-4,60,2,0
49,32,0,10,0,220,100,50,-3.5,70,2,0
50,21,0,40,0,300,150,0,-4,70,3,0
