,id,type,ratio,cooltime,aniTime,aniSeq,damageDelay,damage,damageDegree,damageHeight,damageDist,forceAttackTime,startDistMin,startDistMax,startHealthMin,startHealthMax,approachDist,startMsg,kickSide,kickUp,rushPower
최종보스_시작,1000,331,255,10,6,zbs_appear,1.53,0,0,5,0,0,0,9999,0,100,10000,-1,0,0,0
체인톱_평타1,1000,332,100,2,3.33,chainsaw_attack01,1.2,90,120,5,5,0,0,5,0,100,10000,-1,20,20,0
체인톱_평타2,1000,333,100,2,3.33,chainsaw_attack02,1.36,100,120,5,7,0,0,8,0,100,10000,-1,20,20,0
체인톱_띄우기,1000,334,50,4,3.33,chainsaw_attack03,1.5,80,120,5,5,0,0,5,0,100,10000,-1,0,500,0
체인톱_넉백,1000,335,50,10,3.33,chainsaw_attack04,1,75,120,5,5,0,0,5,0,100,10000,-1,500,0,0
훨윈드_절명,1000,336,20,4,0,chainsaw_idle,0.5,105,0,5,0,0,0,1000,0,100,10000,-1,50,50,0
훨윈드_통상,1000,337,50,4,5,chainsaw_idle,0.2,25,0,5,0,0,0,1000,0,100,10000,-1,100,100,0
스텔스,1000,338,100,10,1,zbs_idle,0,0,0,5,0,0,0,1000,0,100,10000,-1,0,0,0
슬라이딩태클,1000,339,100,10,4,zbs_idle,0,50,0,5,0,0,0,1000,0,100,10000,-1,10,10,0
블레이드 3콤보_근접,1000,340,50,15,0,zbs_idle,0,90,0,5,0,0,0,5,0,100,10000,-1,0,0,0
블레이드 5콤보_근접,1000,341,50,20,0,zbs_idle,0,150,0,5,0,0,0,5,0,100,10000,-1,0,0,0
블레이드 7콤보_근접,1000,342,50,20,0,zbs_idle,0,250,0,5,0,0,0,5,0,100,10000,-1,0,0,0
블레이드 3콤보_태클,1000,343,50,15,0,zbs_idle,0,50,0,5,0,0,5,1000,0,100,10000,-1,0,0,0
블레이드 5콤보_태클,1000,344,50,20,0,zbs_idle,0,100,0,5,0,0,5,1000,0,100,10000,-1,0,0,0
블레이드 7콤보_태클,1000,345,20,20,0,zbs_idle,0,150,0,5,0,0,5,1000,0,100,10000,-1,0,0,0
블레이드콤보_태클_시작,1000,346,0,0,1.33,zbs_sliding_tackle_ready,0,0,0,5,0,0,0,1000,0,100,10000,-1,0,0,0
블레이드콤보_태클_진행,1000,347,0,0,2,zbs_sliding_tackle_slide,0,0,0,5,0,0,0,1000,0,100,10000,-1,0,0,0
블레이드콤보_공격1,1000,348,0,0,0.7,zbs_attack_blade_slash1,0.33,100,120,5,7,0,0,1000,0,100,10000,-1,0,0,0
블레이드콤보_공격2,1000,349,0,0,0.8,zbs_attack_blade_slash2,0.63,100,120,5,7,0,0,1000,0,100,10000,-1,0,0,0
블레이드콤보_종료기,1000,350,0,0,2.17,zbs_attack_blade_stab,0.6,100,120,5,5,0,0,1000,0,100,10000,-1,0,0,0
캐논_곡사,1000,351,100,15,0,zbs_idle,0,100,0,5,7,0,0,1000,0,100,10000,-1,0,0,0
캐논_방사,1000,352,50,23,3.67,zbs_cannon_multiple02,1.13,200,0,5,5,0,0,1000,0,100,10000,-1,0,0,0
캐논_직사,1000,353,50,50,3.17,zbs_cannon_single,1.2,300,0,5,3,0,0,1000,0,100,10000,-1,0,0,0
점프_이동,1000,354,100,10,0,zbs_idle,0,0,0,5,0,0,0,1000,0,100,10000,-1,0,0,0
점프_공격,1000,355,100,10,0,zbs_idle,0.1,100,120,10,100,0,0,1000,0,100,10000,2209,0,0,0
광역스턴,1000,356,50,50,4,zbs_spark_stun,2.87,0,0,10,1000,0,0,1000,0,100,10000,-1,0,0,0
자폭,1000,357,100,0,4.33,zbs_suicide,2.8,750,0,5,30,0,0,5,0,100,10000,2210,0,0,0
