x,y,z,pitch,yaw,roll,type,useCount,difficulty,model
1778,-976,76,0,-90,0,2,-1,,models/bg_armorbox_group.mdl
1776,-1033,64,0,90,0,3,-1,,models/bg_ammobox_group.mdl
1773,-1089,64,0,0,0,1,1,,models/bg_medibox_group.mdl
1342,-742,76,0,0,0,2,-1,,models/bg_armorbox_group.mdl
1399,-744,64,0,180,0,3,-1,,models/bg_ammobox_group.mdl
1455,-747,64,0,90,0,1,1,,models/bg_medibox_group.mdl
-2305,146,76,0,90,0,2,-1,,models/bg_armorbox_group.mdl
-2303,203,64,0,-90,0,3,-1,,models/bg_ammobox_group.mdl
-2300,259,64,0,180,0,1,1,,models/bg_medibox_group.mdl
-1761,-262,76,0,180,0,2,-1,,models/bg_armorbox_group.mdl
-1818,-260,64,0,0,0,3,-1,,models/bg_ammobox_group.mdl
-1874,-257,64,0,-90,0,1,1,,models/bg_medibox_group.mdl
-463,-1226,100,0,180,0,2,-1,,models/bg_armorbox_group.mdl
-520,-1224,88,0,0,0,3,-1,,models/bg_ammobox_group.mdl
-576,-1221,88,0,-90,0,1,1,,models/bg_medibox_group.mdl
-286,-754,100,0,-90,0,2,-1,,models/bg_armorbox_group.mdl
-288,-807,88,0,90,0,3,-1,,models/bg_ammobox_group.mdl
-291,-856,88,0,0,0,1,1,,models/bg_medibox_group.mdl
206,1150,76,0,-90,0,2,-1,,models/bg_armorbox_group.mdl
203,1093,64,0,90,0,3,-1,,models/bg_ammobox_group.mdl
200,1037,64,0,0,0,1,1,,models/bg_medibox_group.mdl
-794,1043,76,0,90,0,2,-1,,models/bg_armorbox_group.mdl
-792,1100,64,0,-90,0,3,-1,,models/bg_ammobox_group.mdl
-789,1157,64,0,180,0,1,1,,models/bg_medibox_group.mdl
699,730,76,0,0,0,2,-1,,models/bg_armorbox_group.mdl
640,728,64,0,180,0,3,-1,,models/bg_ammobox_group.mdl
586,725,64,0,90,0,1,1,,models/bg_medibox_group.mdl
826,135,76,0,-90,0,2,-1,,models/bg_armorbox_group.mdl
823,189,64,0,90,0,3,-1,,models/bg_ammobox_group.mdl
820,238,64,0,0,0,1,1,,models/bg_medibox_group.mdl
1251,114,64,0,180,0,1,1,,models/bg_medibox_group.mdl
1248,164,64,0,-90,0,3,-1,,models/bg_ammobox_group.mdl
1246,219,76,0,90,0,2,-1,,models/bg_armorbox_group.mdl
