waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
1,9999,0,0,0,9999,1,3281
1,9999,3,0,0,9999,1,3282
1,9999,6,0,0,9999,1,3283
1,9999,9,0,0,9999,1,3284
1,9999,12,0,0,9999,1,3285
1,9999,15,0,0,9999,1,3286
1,9999,18,0,0,9999,1,3287
1,9999,21,0,0,9999,1,3288
1,1,0,3600,3,1 3 5 7,1 1 1 1,
1,2,0,3600,3,9 11 13 15,1 1 1 1,
1,3,0,3600,3,17 19 21 23,1 1 1 1,
1,4,0,3600,3,1 3 5 7,1 1 1 1,
1,5,0,3600,3,9 11 13 15,1 1 1 1,
1,6,0,3600,3,17 19 21 23,1 1 1 1,
1,7,0,3600,3,1 3 5 7,1 1 1 1,
1,8,0,3600,3,9 11 13 15,1 1 1 1,
1,9,0,3600,3,17 19 21 23,1 1 1 1,
1,10,0,3600,3,1 3 5 7,1 1 1 1,
2,9999,0,0,0,9999,1,3289
2,9999,3,0,0,9999,1,3290
2,9999,6,0,0,9999,1,3291
2,1,0,3600,3,1 3 5 7,1 1 1 1,
2,2,0,3600,3,9 11 13 15,1 1 1 1,
2,3,0,3600,3,17 19 21 23,1 1 1 1,
2,4,0,3600,3,1 3 5 7,1 1 1 1,
2,5,0,3600,3,9 11 13 15,1 1 1 1,
2,6,0,3600,3,17 19 21 23,1 1 1 1,
2,7,0,3600,3,1 3 5 7,1 1 1 1,
2,8,0,3600,3,9 11 13 15,1 1 1 1,
2,9,0,3600,3,17 19 21 23,1 1 1 1,
2,10,0,3600,3,1 3 5 7,1 1 1 1,
2,11,0,3600,3,9 11 13 15,1 1 1 1,
2,12,0,3600,3,17 19 21 23,1 1 1 1,
2,13,0,3600,3,1 3 5 7,1 1 1 1,
2,14,0,3600,3,9 11 13 15,1 1 1 1,
2,15,0,3600,3,17 19 21 23,1 1 1 1,
2,16,0,3600,3,1 3 5 7,1 1 1 1,
2,17,0,3600,3,9 11 13 15,1 1 1 1,
2,18,0,3600,3,17 19 21 23,1 1 1 1,
3,9999,0,0,0,9999,1,3292
3,9999,3,0,0,9999,1,3293
3,11,0,3600,3,1 3 5 7,1 1 1 1,
3,12,0,3600,3,9 11 13 15,1 1 1 1,
3,13,0,3600,3,17 19 21 23,1 1 1 1,
3,14,0,3600,3,1 3 5 7,1 1 1 1,
3,15,0,3600,3,9 11 13 15,1 1 1 1,
3,16,0,3600,3,17 19 21 23,1 1 1 1,
3,17,0,3600,3,1 3 5 7,1 1 1 1,
3,18,0,3600,3,9 11 13 15,1 1 1 1,
3,19,0,3600,3,17 19 21 23,1 1 1 1,
3,20,0,3600,3,1 3 5 7,1 1 1 1,
3,21,0,3600,3,9 11 13 15,1 1 1 1,
3,22,0,3600,3,17 19 21 23,1 1 1 1,
3,23,0,3600,3,1 3 5 7,1 1 1 1,
3,24,0,3600,3,9 11 13 15,1 1 1 1,
3,25,0,3600,3,17 19 21 23,1 1 1 1,
3,26,0,3600,3,1 3 5 7,1 1 1 1,
3,27,0,3600,3,9 11 13 15,1 1 1 1,
3,28,0,3600,3,17 19 21 23,1 1 1 1,
3,29,0,3600,3,1 3 5 7,1 1 1 1,
3,30,0,3600,3,9 11 13 15,1 1 1 1,
4,9999,0,0,0,9999,1,3294
4,9999,3,0,0,9999,1,3295
4,21,0,3600,3,1 3 5 7,1 1 1 1,
4,22,0,3600,3,9 11 13 15,1 1 1 1,
4,23,0,3600,3,17 19 21 23,1 1 1 1,
4,24,0,3600,3,1 3 5 7,1 1 1 1,
4,25,0,3600,3,1 3 5 7,1 1 1 1,
4,26,0,3600,3,9 11 13 15,1 1 1 1,
4,27,0,3600,3,17 19 21 23,1 1 1 1,
4,28,0,3600,3,1 3 5 7,1 1 1 1,
4,29,0,3600,3,9 11 13 15,1 1 1 1,
4,30,0,3600,3,17 19 21 23,1 1 1 1,
4,31,0,3600,3,1 3 5 7,1 1 1 1,
4,32,0,3600,3,9 11 13 15,1 1 1 1,
4,33,0,3600,3,17 19 21 23,1 1 1 1,
4,34,0,3600,3,1 3 5 7,1 1 1 1,
4,35,0,3600,3,9 11 13 15,1 1 1 1,
4,36,0,3600,3,17 19 21 23,1 1 1 1,
5,9999,0,0,0,9999,1,3296
5,9999,3,0,0,9999,1,3297
5,9999,6,0,0,9999,1,3298
5,37,0,3600,3,1 3 5 7,1 1 1 1,
5,38,0,3600,3,9 11 13 15,1 1 1 1,
5,39,0,3600,3,17 19 21 23,1 1 1 1,
5,40,0,3600,3,1 3 5 7,1 1 1 1,
5,41,0,3600,3,9 11 13 15,1 1 1 1,
5,42,0,3600,3,17 19 21 23,1 1 1 1,
5,43,0,3600,3,1 3 5 7,1 1 1 1,
5,44,0,3600,3,9 11 13 15,1 1 1 1,
5,45,0,3600,3,17 19 21 23,1 1 1 1,
5,46,0,3600,3,1 3 5 7,1 1 1 1,
5,47,0,3600,3,9 11 13 15,1 1 1 1,
5,48,0,3600,3,17 19 21 23,1 1 1 1,
5,49,0,3600,3,1 3 5 7,1 1 1 1,
5,50,0,3600,3,9 11 13 15,1 1 1 1,
5,51,0,3600,3,17 19 21 23,1 1 1 1,
5,52,0,3600,3,1 3 5 7,1 1 1 1,
6,9999,0,0,0,9999,1,3299
6,9999,3,0,0,9999,1,3300
6,45,0,3600,3,1 3 5 7,1 1 1 1,
6,46,0,3600,3,9 11 13 15,1 1 1 1,
6,47,0,3600,3,17 19 21 23,1 1 1 1,
6,48,0,3600,3,1 3 5 7,1 1 1 1,
6,49,0,3600,3,9 11 13 15,1 1 1 1,
6,50,0,3600,3,17 19 21 23,1 1 1 1,
6,51,0,3600,3,1 3 5 7,1 1 1 1,
6,52,0,3600,3,9 11 13 15,1 1 1 1,
6,53,0,3600,3,17 19 21 23,1 1 1 1,
6,54,0,3600,3,1 3 5 7,1 1 1 1,
6,55,0,3600,3,9 11 13 15,1 1 1 1,
6,56,0,3600,3,17 19 21 23,1 1 1 1,
7,9999,0,0,0,9999,1,3301
7,57,0,3600,3,50,1,
7,58,0,3600,3,50,1,
7,59,0,3600,3,50,1,
7,60,0,3600,3,50,1,
7,61,0,3600,3,50,1,
7,62,0,3600,3,50,1,
7,63,0,3600,3,50,1,
7,64,0,3600,3,50,1,
7,65,0,3600,0,200,1,
8,9999,0,0,0,9999,1,3302
8,9999,3,0,0,9999,1,3303
8,57,0,3600,3,60,1,
8,58,0,3600,3,50,1,
8,59,0,3600,3,60,1,
8,60,0,3600,3,50,1,
8,61,0,3600,3,60,1,
8,62,0,3600,3,50,1,
8,63,0,3600,3,60,1,
8,64,0,3600,3,50,1,
8,65,0,3600,3,60,1,
8,66,0,3600,3,60,1,
8,67,0,3600,3,60,1,
8,68,0,3600,3,60,1,
8,69,0,3600,3,60,1,
9,9999,0,0,0,9999,1,3304
9,9999,3,0,0,9999,1,3305
9,9999,6,0,0,9999,1,3306
9,9999,9,0,0,9999,1,3307
9,71,0,3600,3,25 26,1 1,
9,72,0,3600,3,25 26,1 1,
9,73,0,3600,3,60,1,
