gametype,0,0:¶ó¿îµåÁ¦ 1:¼¶¸ê,,,,,,,,,
roundTime,180,,,,,,,,,,
wall,0,,,,,,,,,,
wall,0,,,,,,,,,,
RewardRound,0,,,,,,,,,,
round,waveTypes,GoalKillCount,damageAdd,attackRangeAdd,healthAdd,armorAdd,speedAdd,IntervalAdd,moneyAdd,BGM,PlayerSpawn
1,1,0,0,0,15,0,0,0,10,2,0
2,2,0,10,0,40,10,15,0,15,2,0
3,2,0,15,0,65,30,25,0,15,2,0
4,3,0,15,0,75,30,25,0,20,2,0
5,4,0,20,0,100,20,30,0,30,3,0
6,5,0,0,0,0,0,0,0,100,2,0
7,6,0,20,0,90,60,30,-0.5,30,2,0
8,7,0,25,0,130,40,35,-0.5,35,2,0
9,8,0,10,0,800,300,0,-0.5,100,2,0
10,9,0,30,0,150,60,40,-0.5,35,3,0
11,10,0,15,0,130,50,45,-1,40,2,0
12,11,0,25,0,150,55,50,-1,40,2,0
13,12,0,30,0,160,70,40,-1,40,2,0
14,13,0,30,0,180,80,20,-1,45,2,0
15,14,0,35,0,200,150,50,-1.5,50,3,0
16,15,0,0,0,100,100,30,-1.5,200,2,0
17,16,0,40,0,150,100,55,-1.5,50,2,0
18,17,0,40,0,200,150,60,-2,55,2,0
19,18,0,45,0,200,150,60,-2.5,60,2,0
20,19,0,45,0,250,200,65,-2.5,80,2,0
