id,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem
1,zombi_origin,12,40,3,70,30,130,60,0,0,255 255 255,0,101,0,0,1
2,speed_zombi_host,15,50,5,40,0,180,30,0,0,255 255 255,0,110,0,0,1
3,speed_zombi_origin,20,50,4,50,20,190,60,0,2,255 255 255,0,111,0,0,1
4,heavy_zombi_host,8,45,4,200,50,100,30,0,0,255 255 255,0,120,0,0,1
5,heavy_zombi_origin,10,45,3,250,80,110,60,0,3,255 255 255,0,121,0,0,1
6,zombi_host,12,40,4,50,25,150,60,0,0,255 255 255,0,100,0,0,1
7,zombi_origin,15,40,3,80,40,150,120,0,1,255 255 255,0,101,0,0,1
8,speed_zombi_host,17,50,5,50,20,200,60,0,0,255 255 255,0,110,0,0,1
9,speed_zombi_origin,18,50,4,60,30,210,120,0,2,255 255 255,0,111,0,0,1
10,heavy_zombi_host,9,45,4,180,180,110,60,0,0,255 255 255,0,120,0,0,1
11,heavy_zombi_origin,11,45,3,230,230,120,120,0,3,255 255 255,0,121,0,0,1
12,pc_zombi_host,11,50,4,50,25,150,80,0,0,255 255 255,0,130,0,0,1
13,pc_zombi_origin,12,50,3,80,40,160,160,0,4,255 255 255,0,131,0,0,1
14,zombi_host,16,40,3,70,35,170,120,0,0,255 255 255,0,100,0,0,1
15,zombi_origin,18,40,2,90,50,170,240,0,1,255 255 255,0,101,0,0,1
16,speed_zombi_host,23,50,4,60,30,220,120,0,0,255 255 255,0,110,0,0,1
17,speed_zombi_origin,28,50,3,80,50,230,240,0,2,255 255 255,0,111,0,0,1
18,heavy_zombi_host,14,45,3,210,60,120,120,0,0,255 255 255,0,120,0,0,1
19,heavy_zombi_origin,16,45,2,250,80,130,240,0,3,255 255 255,0,121,0,0,1
20,pc_zombi_host,16,50,3,80,45,160,150,0,0,255 255 255,0,130,0,0,1
21,pc_zombi_origin,19,50,2,100,55,170,300,0,4,255 255 255,0,131,0,0,1
22,heal_zombi_host,8,40,5,30,10,120,300,0,0,255 255 255,0,140,0,0,1
23,heal_zombi_origin,13,40,5,100,10,130,200,0,5,255 255 255,0,141,0,0,1
24,zombi_host,4,1500,8,40,0,120,150,0,6,80 228 91,0,102,0,0,1
25,zombi_host,4,1500,8,60,0,120,200,0,6,80 228 91,0,102,0,0,1
26,zombi_host,6,1500,7,80,0,120,250,0,6,80 228 91,0,102,0,0,1
27,zombi_host,8,1500,6.5,100,0,120,300,0,6,80 228 91,0,102,0,0,1
28,heavy_zombi_host,10,45,4,1500,100,130,30,0,0,255 255 255,0,120,0,0,1
29,speed_zombi_host,2,1200,5,20,0,140,150,0,6,80 228 91,0,112,0,0,1
30,speed_zombi_host,2,1200,5,40,0,140,200,0,6,80 228 91,0,112,0,0,1
31,speed_zombi_host,4,1200,4,60,0,140,250,0,6,80 228 91,0,112,0,0,1
32,speed_zombi_host,6,1200,3.5,80,0,140,300,0,6,80 228 91,0,112,0,0,1
33,heavy_zombi_host,8,900,13,120,0,100,150,0,6,80 228 91,0,122,0,0,1
34,heavy_zombi_host,8,900,13,140,0,100,200,0,6,80 228 91,0,122,0,0,1
35,heavy_zombi_host,10,900,9,160,0,100,250,0,6,80 228 91,0,122,0,0,1
36,heavy_zombi_host,12,900,8.5,180,0,100,300,0,6,80 228 91,0,122,0,0,1
37,speed_zombi_origin,30,50,3,500,500,250,1000,1,1,2 2 2,0,113,0,0,1
40,zombi_host,10,40,4,50,0,130,30,0,0,255 255 255,0,100,0,0,1
99,zbs_bossS_jun00,80,90,0.7,20000,1000,140,5000,1,3,255 255 255,0,150,0,0,2
100,zbs_bossS_jun00,30,90,0.7,50000,2000,140,6000,1,3,255 255 255,0,150,0,0,2
101,zbs_bossS_jun00,60,90,0.6,100000,3000,140,9000,1,3,255 255 255,0,150,0,0,2
102,zbs_bossS_jun00,90,90,0.5,150000,4000,140,12000,1,3,255 255 255,0,150,0,0,2
103,zbs_bossS_jun00,120,90,0.4,200000,4000,140,15000,1,3,255 255 255,0,150,0,0,2
200,zbs_bossS_jun00,1,120,2,100,0,200,100,2,0,255 255 255,0,150,0,0,2
1000,zombi_host,20,50,2,70,0,180,30,0,0,255 255 255,0,100,0,0,1
1001,zombi_origin,30,55,1.5,200,30,210,50,0,1,255 255 255,0,101,0,0,1
1002,speed_zombi_host,30,50,2.5,40,0,200,35,0,0,255 255 255,0,110,0,0,1
1003,speed_zombi_origin,45,50,1.5,100,20,230,60,0,2,255 255 255,0,111,0,0,1
1004,heavy_zombi_host,25,55,3,250,50,100,50,0,0,255 255 255,0,120,0,0,1
1005,heavy_zombi_origin,40,55,2.5,400,80,110,70,0,3,255 255 255,0,121,0,0,1
1006,zombi_host,12,50,4,50,25,150,30,0,0,255 255 255,0,100,0,0,1
1007,zombi_origin,15,50,3,80,40,150,60,0,1,255 255 255,0,101,0,0,1
1008,speed_zombi_host,17,50,5,50,20,200,30,0,0,255 255 255,0,110,0,0,1
1009,speed_zombi_origin,18,50,4,60,30,210,60,0,2,255 255 255,0,111,0,0,1
1010,heavy_zombi_host,9,55,4,180,180,110,30,0,0,255 255 255,0,120,0,0,1
1011,heavy_zombi_origin,11,55,3,230,230,120,60,0,3,255 255 255,0,121,0,0,1
1012,pc_zombi_host,15,50,3,50,25,150,40,0,0,255 255 255,0,130,0,0,1
1013,pc_zombi_origin,30,50,2.5,80,40,160,80,0,4,255 255 255,0,131,0,0,1
1014,zombi_host,16,50,3,70,35,170,60,1,0,255 255 255,0,100,0,0,1
1015,zombi_origin,18,50,2,90,50,170,120,1,1,255 255 255,0,101,0,0,1
1016,speed_zombi_host,23,50,4,60,30,220,60,1,0,255 255 255,0,110,0,0,1
1017,speed_zombi_origin,28,50,3,80,50,230,120,1,2,255 255 255,0,111,0,0,1
1018,heavy_zombi_host,14,55,3,210,60,120,60,1,0,255 255 255,0,120,0,0,1
1019,heavy_zombi_origin,16,55,2,250,80,130,120,1,3,255 255 255,0,121,0,0,1
1020,pc_zombi_host,16,55,3,80,45,160,75,1,0,255 255 255,0,130,0,0,1
1021,pc_zombi_origin,19,55,2,100,55,170,150,1,4,255 255 255,0,131,0,0,1
1022,heal_zombi_host,10,50,5,30,20,120,30,0,0,255 255 255,0,140,0,0,1
1023,heal_zombi_origin,15,50,5,100,30,130,100,0,5,255 255 255,0,141,0,0,1
1024,zombi_host,4,1500,8,10,0,120,75,0,6,80 228 91,0,102,0,0,1
1025,zombi_host,4,1500,8,30,0,120,75,1,6,80 228 91,0,102,0,0,1
1037,speed_zombi_origin,30,50,3,500,500,250,300,1,1,2 2 2,0,113,0,0,1
1038,heavy_zombi_host,8,900,13,120,0,100,75,0,6,80 228 91,0,122,0,0,1
1039,zombi_origin,50,50,1,500,100,200,100,1,1,60 120 230,0,101,0,0,1
1040,speed_zombi_origin,100,50,2,200,50,250,100,1,1,2 2 2,0,113,0,0,1
1041,heavy_zombi_origin,200,55,1.5,5000,2000,60,500,1,0,60 120 230,0,123,0,0,2
1042,heal_zombi_origin,20,50,2,300,80,190,100,1,3,60 120 230,0,143,0,0,1
1043,pc_zombi_origin,20,55,2,300,40,190,100,1,4,60 120 230,0,131,0,0,1
1099,zbs_bossS_jun00,50,80,0.7,30000,1500,140,3000,1,3,255 255 255,0,150,0,0,2
1100,zbs_bossS_jun00,80,80,0.7,50000,2000,140,6000,1,3,255 255 255,0,150,0,0,2
1101,zbs_bossS_jun00,150,80,0.5,100000,5000,140,9000,1,3,255 255 255,0,150,0,0,2
1102,zbs_bossS_jun00,200,80,0.5,150000,6000,160,12000,1,3,255 255 255,0,150,0,0,2
1103,zbs_bossS_jun00,120,80,0.4,200000,8000,140,15000,1,3,255 255 255,0,150,0,0,2
1200,zbs_bossS_jun00,1,100,2,100,0,200,100,2,0,255 255 255,0,150,0,0,2
1300,zombi_host,80,50,1.5,150,100,200,70,0,0,240 130 60,0,100,0,0,1
1301,zombi_origin,150,50,1,300,200,250,100,0,0,240 130 60,0,101,0,0,1
1500,bonus_mon02,0,50,5,50,50,150,100,0,0,255 255 255,0,160,0,0,1
