id,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem
1000,zombi_host,8,50,2,57,0,140,70,0,0,255 255 255,0,100,0,0,7
1001,zombi_origin,12,55,1.5,153,27,170,90,0,1,255 255 255,0,101,0,0,7
1002,speed_zombi_host,12,50,2.5,33,0,160,75,0,0,255 255 255,0,110,0,0,7
1003,speed_zombi_origin,18,50,1.5,79,18,180,100,0,2,255 255 255,0,111,0,0,7
1004,heavy_zombi_host,10,55,3,190,44,80,90,0,0,255 255 255,0,120,0,0,7
1005,heavy_zombi_origin,16,55,2.5,296,70,90,110,0,3,255 255 255,0,121,0,0,7
1012,pc_zombi_host,6,50,3,41,23,120,80,0,0,255 255 255,0,130,0,0,7
1013,pc_zombi_origin,12,50,2.5,64,36,130,120,0,4,255 255 255,0,131,0,0,7
1015,zombi_origin,7,50,2,72,44,140,160,1,1,255 255 255,0,101,0,0,7
1016,speed_zombi_host,9,50,4,49,27,180,100,1,0,255 255 255,0,110,0,0,7
1022,heal_zombi_host,4,50,5,25,18,100,70,0,0,255 255 255,0,140,0,0,7
1023,heal_zombi_origin,6,50,5,79,27,100,140,0,5,255 255 255,0,141,0,0,7
1024,zombi_host,2,1500,8,9,0,100,115,0,6,80 228 91,0,102,0,0,7
1025,zombi_host,2,1500,8,25,0,100,115,1,6,80 228 91,0,102,0,0,7
1040,speed_zombi_origin,40,50,2,153,44,200,140,1,1,2 2 2,0,113,0,0,7
1041,heavy_zombi_origin,80,55,1.5,3266,1592,50,540,1,0,60 120 230,0,123,0,0,8
1099,zbs_bossS_jun00,20,80,0.7,15000,1205,110,2500,1,3,255 255 255,0,150,0,0,8
1100,zbs_bossS_jun00,32,80,0.7,25000,1592,110,5000,1,3,255 255 255,0,150,0,0,8
1101,zbs_bossS_jun00,60,80,0.5,48000,3873,110,7000,1,3,255 255 255,0,150,0,0,8
1102,zbs_bossS_jun00,80,80,0.5,60000,4622,130,9000,1,3,255 255 255,0,150,0,0,8
1300,zombi_host,32,50,1.5,117,87,160,110,0,0,240 130 60,0,100,0,0,7
1301,zombi_origin,60,50,1,226,171,200,140,0,0,240 130 60,0,101,0,0,7
1500,bonus_mon02,0,50,5,41,44,120,140,0,0,255 255 255,0,160,0,0,7
