gametype,0,0:¶ó¿îµåÁ¦ 1:¼¶¸ê,,,,,,,,,
roundTime,180,,,,,,,,,,
wall,0,,,,,,,,,,
wall,0,,,,,,,,,,
RewardRound,0,,,,,,,,,,
round,waveTypes,GoalKillCount,damageAdd,attackRangeAdd,healthAdd,armorAdd,speedAdd,IntervalAdd,moneyAdd,BGM,PlayerSpawn
1,2,0,10,0,30,40,15,0,20,2,0
2,3,0,20,0,50,50,30,-0.5,40,2,0
3,4,0,25,0,100,100,35,-1,40,2,0
4,9,0,30,0,200,200,35,-1,50,2,0
5,16,0,30,0,250,200,40,-1,50,3,0
6,5,0,0,0,0,0,0,0,200,2,0
7,6,0,40,0,400,250,50,-2,50,2,0
8,14,0,40,0,600,250,50,-2,60,2,0
9,18,0,50,0,800,300,60,-2.5,60,2,0
10,19,0,50,0,900,300,60,-2.5,60,2,0
11,21,0,55,0,900,400,65,0,0,2,0
12,22,0,55,0,1100,500,65,-2.5,60,2,0
13,23,0,60,0,1400,500,70,-2,60,2,0
14,25,0,60,0,1500,500,70,-2,70,2,0
15,24,0,70,0,1800,800,70,-2,70,2,0
16,5,0,0,0,0,0,0,0,300,2,0
17,19,0,70,0,2000,800,80,-1.5,70,2,0
18,28,0,80,0,3000,1000,80,0,70,2,0
19,26,0,90,0,3000,1000,80,0,80,2,0
20,27,0,100,0,5000,1000,100,0,80,2,0
