id,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem
1000,zombi_host,20,50,2,70,0,180,30,0,0,255 255 255,0,100,0,0,4
1001,zombi_origin,30,55,1.5,200,30,210,50,0,1,255 255 255,0,101,0,0,4
1002,speed_zombi_host,30,50,2.5,40,0,200,35,0,0,255 255 255,0,110,0,0,4
1003,speed_zombi_origin,45,50,1.5,100,20,230,60,0,2,255 255 255,0,111,0,0,4
1004,heavy_zombi_host,25,55,3,250,50,100,50,0,0,255 255 255,0,130,0,0,4
1005,heavy_zombi_origin,40,55,2.5,400,80,110,70,0,3,255 255 255,0,121,0,0,4
1006,zombi_host,12,50,4,50,25,150,30,0,0,255 255 255,0,100,0,0,4
1007,zombi_origin,15,50,3,80,40,150,60,0,1,255 255 255,0,101,0,0,4
1008,speed_zombi_host,17,50,5,50,20,200,30,0,0,255 255 255,0,110,0,0,4
1009,speed_zombi_origin,18,50,4,60,30,210,60,0,2,255 255 255,0,111,0,0,4
1010,heavy_zombi_host,9,55,4,180,180,110,30,0,0,255 255 255,0,130,0,0,4
1011,heavy_zombi_origin,11,55,3,230,230,120,60,0,3,255 255 255,0,121,0,0,4
1012,pc_zombi_host,15,50,3,50,25,150,40,0,0,255 255 255,0,130,0,0,4
1013,pc_zombi_origin,30,50,2.5,80,40,160,80,0,4,255 255 255,0,131,0,0,4
1014,zombi_host,16,50,3,70,35,170,60,1,0,255 255 255,0,100,0,0,4
1015,zombi_origin,18,50,2,90,50,170,120,1,1,255 255 255,0,101,0,0,4
1016,speed_zombi_host,23,50,4,60,30,220,60,1,0,255 255 255,0,110,0,0,4
1017,speed_zombi_origin,28,50,3,80,50,230,120,1,2,255 255 255,0,111,0,0,4
1018,heavy_zombi_host,14,55,3,210,60,120,60,1,0,255 255 255,0,130,0,0,4
1019,heavy_zombi_origin,16,55,2,250,80,130,120,1,3,255 255 255,0,121,0,0,4
1020,pc_zombi_host,16,55,3,80,45,160,75,1,0,255 255 255,0,130,0,0,4
1021,pc_zombi_origin,19,55,2,100,55,170,150,1,4,255 255 255,0,131,0,0,4
1022,heal_zombi_host,10,50,5,30,20,120,30,0,0,255 255 255,0,140,0,0,4
1023,heal_zombi_origin,15,50,5,100,30,130,100,0,5,255 255 255,0,141,0,0,4
1024,zombi_host,4,1500,8,10,0,120,75,0,6,80 228 91,0,102,0,0,4
1025,zombi_host,4,1500,8,30,0,120,75,1,6,80 228 91,0,102,0,0,4
1037,speed_zombi_origin,30,50,3,500,500,250,300,1,1,2 2 2,0,113,0,0,4
1038,heavy_zombi_host,8,900,13,120,0,100,75,0,6,80 228 91,0,132,0,0,4
1039,zombi_origin,50,50,1,500,100,200,100,1,1,60 120 230,0,101,0,0,4
1040,speed_zombi_origin,100,50,2,200,50,250,100,1,1,2 2 2,0,113,0,0,4
1041,heavy_zombi_origin,500,55,1.5,10000,4000,60,500,1,0,60 120 230,0,123,0,0,5
1042,heal_zombi_origin,20,50,2,300,80,190,100,1,3,60 120 230,0,143,0,0,4
1043,pc_zombi_origin,20,55,2,300,40,190,100,1,4,60 120 230,0,131,0,0,4
1099,zbs_bossS_jun00,50,80,0.7,30000,1500,140,3000,1,3,255 255 255,0,150,0,0,5
1100,zbs_bossS_jun00,80,80,0.7,50000,2000,140,6000,1,3,255 255 255,0,150,0,0,5
1101,zbs_bossS_jun00,150,80,0.5,100000,5000,140,9000,1,3,255 255 255,0,150,0,0,5
1102,zbs_bossS_jun00,200,80,0.5,150000,6000,160,12000,1,3,255 255 255,0,150,0,0,5
1103,zbs_bossS_jun00,120,80,0.4,200000,8000,140,15000,1,3,255 255 255,0,150,0,0,5
1200,zbs_bossS_jun00,1,100,2,100,0,200,100,2,0,255 255 255,0,150,0,0,5
1300,zombi_host,80,50,1.5,150,100,200,70,0,0,240 130 60,0,100,0,0,4
1301,zombi_origin,150,50,1,300,200,250,100,0,0,240 130 60,0,101,0,0,4
1400,zombi_origin,20,1500,1,50000,5000,260,10000,1,6,237 227 39,0,102,0,0,4
1500,bonus_mon02,0,50,5,50,50,150,100,0,0,255 255 255,0,160,0,0,4
2600,bonus_mon02,0,50,5,50,50,150,50,0,0,255 255 255,0,160,0,0,4
2610,speed_zombi_origin,30,50,3,1000,500,250,500,0,1,2 2 2,0,113,0,0,5
2611,speed_zombi_origin,30,50,3,1000,500,250,500,1,1,2 2 2,0,113,0,0,5
2620,heavy_zombi_origin,200,55,1.5,5000,2000,60,500,1,0,60 120 230,0,123,0,0,4
2621,heavy_zombi_origin,200,55,1.5,5000,2000,60,500,1,0,60 120 230,0,123,0,0,4
2700,speed_zombi_host,100,60,1,40000,10000,300,6000,0,7,210 0 240,0,114,0,0,4
2701,speed_zombi_host,100,60,1,40000,10000,300,6000,1,7,210 0 240,0,114,0,0,4
