x,y,z,pitch,yaw,roll,type,useCount,difficulty,model
2377,3688,1100,0,0,0,2,-1,3,models/bg_armorbox_group.mdl
2434,3686,1088,0,180,0,3,-1,3,models/bg_ammobox_group.mdl
2490,3683,1088,0,90,0,1,1,3,models/bg_medibox_group.mdl
2525,3093,1100,0,180,0,2,-1,3,models/bg_armorbox_group.mdl
2468,3095,1088,0,0,0,3,-1,3,models/bg_ammobox_group.mdl
2412,3098,1088,0,-90,0,1,1,3,models/bg_medibox_group.mdl
-2918,3450,1100,0,90,0,2,-1,3,models/bg_armorbox_group.mdl
-2916,3507,1088,0,-90,0,3,-1,3,models/bg_ammobox_group.mdl
-2913,3563,1088,0,180,0,1,1,3,models/bg_medibox_group.mdl
-1482,1790,1100,0,180,0,2,-1,3,models/bg_armorbox_group.mdl
-1539,1792,1088,0,0,0,3,-1,3,models/bg_ammobox_group.mdl
-1595,1795,1088,0,-90,0,1,1,3,models/bg_medibox_group.mdl
-2017,2682,1100,0,0,0,2,-1,3,models/bg_armorbox_group.mdl
-1960,2680,1088,0,180,0,3,-1,3,models/bg_ammobox_group.mdl
-1904,2677,1088,0,90,0,1,1,3,models/bg_medibox_group.mdl
563,2408,1100,0,0,0,2,-1,3,models/bg_armorbox_group.mdl
620,2406,1088,0,180,0,3,-1,3,models/bg_ammobox_group.mdl
676,2403,1088,0,90,0,1,1,3,models/bg_medibox_group.mdl
654,1688,1100,0,180,0,2,-1,3,models/bg_armorbox_group.mdl
597,1690,1088,0,0,0,3,-1,3,models/bg_ammobox_group.mdl
541,1693,1088,0,-90,0,1,1,3,models/bg_medibox_group.mdl
1596,2532,960,0,90,0,1,1,3,models/bg_medibox_group.mdl
1539,2535,960,0,180,0,3,-1,3,models/bg_ammobox_group.mdl
1482,2538,972,0,0,0,2,-1,3,models/bg_armorbox_group.mdl
1392,1156,1152,0,90,0,1,1,3,models/bg_medibox_group.mdl
1335,1159,1152,0,180,0,3,-1,3,models/bg_ammobox_group.mdl
1278,1162,1164,0,0,0,2,-1,3,models/bg_armorbox_group.mdl
1387,1238,1164,0,180,0,2,-1,3,models/bg_armorbox_group.mdl
1330,1241,1152,0,0,0,3,-1,3,models/bg_ammobox_group.mdl
1273,1244,1152,0,-90,0,1,1,3,models/bg_medibox_group.mdl
1898,-791,972,0,-90,0,2,-1,3,models/bg_armorbox_group.mdl
1895,-848,960,0,90,0,3,-1,3,models/bg_ammobox_group.mdl
1892,-905,960,0,0,0,1,1,3,models/bg_medibox_group.mdl
825,-327,972,0,-90,0,2,-1,3,models/bg_armorbox_group.mdl
822,-384,960,0,90,0,3,-1,3,models/bg_ammobox_group.mdl
819,-441,960,0,0,0,1,1,3,models/bg_medibox_group.mdl
-330,-1014,972,0,180,0,2,-1,3,models/bg_armorbox_group.mdl
-384,-1027,960,0,0,0,3,-1,3,models/bg_ammobox_group.mdl
-444,-1016,960,0,-90,0,1,1,3,models/bg_medibox_group.mdl
-758,-1080,1228,0,0,0,2,-1,3,models/bg_armorbox_group.mdl
-701,-1083,1216,0,180,0,3,-1,3,models/bg_ammobox_group.mdl
-645,-1086,1216,0,90,0,1,1,3,models/bg_medibox_group.mdl
-651,-3218,1228,0,180,0,2,-1,3,models/bg_armorbox_group.mdl
-708,-3215,1216,0,0,0,3,-1,3,models/bg_ammobox_group.mdl
-764,-3212,1216,0,-90,0,1,1,3,models/bg_medibox_group.mdl
1806,-2778,1228,0,180,0,2,-1,3,models/bg_armorbox_group.mdl
1749,-2781,1216,0,0,0,3,-1,3,models/bg_ammobox_group.mdl
1693,-2784,1216,0,-90,0,1,1,3,models/bg_medibox_group.mdl
1812,-1824,1216,0,90,0,1,1,3,models/bg_medibox_group.mdl
1755,-1827,1216,0,180,0,3,-1,3,models/bg_ammobox_group.mdl
1698,-1830,1228,0,0,0,2,-1,3,models/bg_armorbox_group.mdl
3178,-938,1228,0,-90,0,2,-1,3,models/bg_armorbox_group.mdl
3181,-995,1216,0,90,0,3,-1,3,models/bg_ammobox_group.mdl
3184,-1052,1216,0,0,0,1,1,3,models/bg_medibox_group.mdl
2342,-1047,1228,0,90,0,2,-1,3,models/bg_armorbox_group.mdl
2339,-990,1216,0,-90,0,3,-1,3,models/bg_ammobox_group.mdl
2336,-933,1216,0,180,0,1,1,3,models/bg_medibox_group.mdl
