waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage,,,
1,9999,0,0,0,9999,1,2546,,칼리토,우리는 원래 이용당하고 이용당해지는 그런 존재다.
1,9999,2,0,0,9999,1,2547,,칼리토,하지만 그에 대한 합당한 댓가가 지불 돼지 않는다면
1,9999,4,0,0,9999,1,2548,,칼리토,우리가 서있는 위치가 의미 없어지지.
2,9999,0,0,0,9999,1,2549,,칼리토,"형제들, 이제부터 그 의미를 되찾기 위해"
2,9999,3,0,0,9999,1,2550,,칼리토,계약을 파기한 크로노스 놈들을 찾아 하나씩 박살낸다.
2,9999,6,0,0,9999,1,2551,,칼리토,젠장맞을! 이쪽 도로도 온통 난장판이군.
2,9999,9,0,0,9999,1,2552,,칼리토,감염자들을 처리하고 근처 소화장치를 이용해 진입로를 확보해!
2,1,0,21600,10,1 2,1 1,,,,
2,2,0,21600,10,11 12,1 1,,,,
2,3,0,21600,10,21 22,1 1,,,,
2,4,0,21600,10,31 32,1 1,,,,
2,5,0,21600,10,41 42,1 1,,,,
2,6,0,21600,10,51 52,1 1,,,,
2,7,0,21600,10,1 2,1 1,,,,
2,8,0,21600,10,11 12,1 1,,,,
3,9999,0,0,0,9999,1,2553,,칼리토,인근의 비밀 연구 단지가 녀석들의 공습 타겟이라는 첩보가 있다.
3,9999,3,0,0,9999,1,2554,,칼리토,적의 적은 아군이 될지 또 다른 방해거리가 될지
3,9999,6,0,0,9999,1,2555,,칼리토,확인해보는것도 썩 나쁘지 않겠군.
3,9999,9,0,0,9999,1,2556,,칼리토,GPS에 의하면 연구 단지로 향하는 지름길 역할의 벌목장이 있다.
3,9999,12,0,0,9999,1,2557,,칼리토,소싯적 산악구보 실력 좀 발휘해야겠어.
3,9999,15,0,0,9999,1,2558,,칼리토,도로를 우회하여 산악지대로 진입한다.
3,1,0,180,8,1 2,1 1,,,,
3,2,0,180,8,11 12,1 1,,,,
3,3,0,180,8,21 22,1 1,,,,
3,4,0,180,8,31 32,1 1,,,,
3,5,0,180,8,41 42,1 1,,,,
3,6,0,180,8,51 52,1 1,,,,
3,7,0,180,8,1 2,1 1,,,,
3,8,0,180,8,11 12,1 1,,,,
3,9,0,21600,8,21 22,1 1,,,,
3,10,0,21600,8,31 32,1 1,,,,
3,11,0,21600,8,41 42,1 1,,,,
3,12,0,21600,8,51 52,1 1,,,,
3,13,0,21600,8,1 2,1 1,,,,
3,14,0,21600,8,11 12,1 1,,,,
3,15,30,21600,15,1 2,1 1,,,,
3,16,30,21600,15,11 12,1 1,,,,
3,17,30,21600,15,21 22,1 1,,,,
3,18,30,21600,15,31 32,1 1,,,,
3,19,30,21600,15,41 42,1 1,,,,
3,20,30,21600,15,51 52,1 1,,,,
3,21,30,21600,15,1 2,1 1,,,,
3,22,30,21600,15,11 12,1 1,,,,
4,9999,0,0,0,9999,1,2559,,칼리토,이렇게 외진곳에도 감염자들이 득실대는군.
4,9999,3,0,0,9999,1,2560,,칼리토,벌목장 내부도 안전하지 않다. 사주경계하며 이동에 유의하라.
4,9999,30,0,0,9999,1,2561,,칼리토,상당한 유속의 물살이군…
4,9999,33,0,0,9999,1,2562,,칼리토,건너편으로 넘어갈 좋은 방법이 없을까?
4,9999,36,0,0,9999,1,2563,,칼리토,급류의 역방향으로 헤엄쳐 도하한다. 실시!
4,23,0,21600,8,21 22,1 1,,,,
4,24,0,21600,8,31 32,1 1,,,,
4,25,0,21600,8,41 42,1 1,,,,
4,26,0,21600,8,51 52,1 1,,,,
4,27,0,21600,8,1 2,1 1,,,,
4,28,0,21600,8,11 12,1 1,,,,
4,29,0,21600,8,21 22,1 1,,,,
4,30,0,21600,8,31 32,1 1,,,,
4,31,0,21600,8,41 42,1 1,,,,
4,32,0,21600,8,51 52,1 1,,,,
4,33,0,21600,8,1 2,1 1,,,,
4,34,0,21600,8,11 12,1 1,,,,
4,35,0,21600,8,21 22,1 1,,,,
4,36,0,21600,8,31 32,1 1,,,,
4,37,0,21600,20,61,1,,,,
4,38,0,21600,10,400,1,,,,
4,39,0,21600,15,201,1,,,,
4,40,0,21600,15,201,1,,,,
4,41,0,21600,15,201,1,,,,
4,42,0,21600,15,201,1,,,,
4,43,0,21600,10,400,1,,,,
4,44,0,21600,20,62,1,,,,
4,45,0,21600,20,62,1,,,,
4,46,0,21600,10,400,1,,,,
4,47,0,21600,10,400,1,,,,
4,48,0,21600,20,61,1,,,,
5,9999,0,0,0,9999,1,2564,,칼리토,모두 무사히 건너왔나? 흠…산전수전이 따로없군.
5,9999,3,0,0,9999,1,2565,,칼리토,벌써부터 지친건 아니겠지? 인원과 장비를 점검하고 이동한다.
5,9999,6,0,0,9999,1,2566,,칼리토,앞에 또다른 장애물이다. 가스탱크가 터지기 전에 밸브를 잠궈!
5,9999,9,0,0,9999,1,2567,,칼리토,마치 우리의 이동을 방해하려고 누군가 수를 써둔것 같다.
5,41,0,21600,8,41 42,1 1,,,,
5,42,0,21600,8,51 52,1 1,,,,
5,43,0,21600,8,1 2,1 1,,,,
5,44,0,21600,8,11 12,1 1,,,,
5,47,0,21600,8,41 42,1 1,,,,
5,48,0,21600,8,51 52,1 1,,,,
5,49,0,21600,8,1 2,1 1,,,,
