waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
1,1,20,21600,4,1 2,1 1,
1,2,20,21600,4,11 12,1 1,
1,3,20,21600,4,1 2,1 1,
1,4,20,21600,4,31 32,1 1,
1,5,20,21600,4,1 2 ,1 1,
1,6,20,21600,4,41 42,1 1,
1,7,20,21600,4,1 2,1 1,
1,8,20,21600,4,51 52,1 1,
1,9,20,21600,4,1 2,1 1,
1,10,20,21600,4,21 22,1 1,
1,11,20,21600,4,1 2,1 1,
1,12,20,21600,4,21 22,1 1,
1,13,20,21600,4,1 2,1 1,
1,14,20,21600,4,11 12,1 1,
1,15,20,21600,4,1 2,1 1,
1,16,20,21600,4,31 32,1 1,
1,17,20,21600,4,1 2 ,1 1,
1,18,20,21600,4,41 42,1 1,
1,19,20,21600,4,1 2,1 1,
1,20,20,21600,4,51 52,1 1,
1,21,20,21600,4,1 2,1 1,
1,22,20,21600,4,11 12,1 1,
1,23,20,21600,4,1 2,1 1,
1,24,20,21600,4,31 32,1 1,
1,25,20,21600,4,1 2 ,1 1,
1,26,20,21600,4,41 42,1 1,
1,27,20,21600,4,1 2,1 1,
1,28,20,21600,4,51 52,1 1,
1,29,20,21600,4,1 2,1 1,
1,30,20,21600,4,21 22,1 1,
1,31,20,21600,4,1 2,1 1,
1,32,20,21600,4,21 22,1 1,
1,33,20,21600,4,1 2,1 1,
1,34,20,21600,4,11 12,1 1,
1,35,20,21600,4,1 2,1 1,
1,36,20,21600,4,31 32,1 1,
1,37,20,21600,4,1 2 ,1 1,
1,38,20,21600,4,41 42,1 1,
1,39,20,21600,4,1 2,1 1,
1,40,20,21600,4,51 52,1 1,
1,32500,20,0,0,32500,1,
