,id,type,ratio,cooltime,aniTime,aniSeq,damageDelay,damage,damageDegree,damageHeight,damageDist,forceAttackTime,startDistMin,startDistMax,startHealthMin,startHealthMax,approachDist,startMsg,kickSide,kickUp,rushPower
µîÀå,1005,71,255,999999,12.06,zbs_idle1,0,100,0,0,0,1,0,1000,99,100,10000,-1,600,200,50
Áý°Ô°ø°Ý1,1005,72,10,10,2.03,zbs_attack1,0.9,75,90,5,15,1,0,25,0,100,0,-1,300,500,0
Áý°Ô°ø°Ý2,1005,73,7,10,2.7,zbs_attack2,1.36,125,120,5,15,2,0,15,0,100,0,-1,300,600,0
Áý°Ô°ø°Ý1°­,1005,72,11,10,2.03,zbs_attack1,0.9,110,90,5,15,1,0,25,0,100,0,-1,300,500,0
Áý°Ô°ø°Ý2°­,1005,73,11,10,2.7,zbs_attack2,1.36,150,120,5,15,2,0,15,0,100,0,-1,450,600,0
µ¹Áø°ø°Ý,1005,74,25,25,1.7,zbs_dash_start,1.5,300,10,0,0,2,0,1000,0,100,15,-1,450,500,1000
²¿¸®°ø°Ý,1005,75,25,15,4.7,zbs_attack3,1.3,175,270,5,18,1,0,25,0,100,0,-1,450,800,0
±âº»ÃË¼ö°ø°Ý,1005,76,45,15,10.73,zbs_attack_tentacle1,6.26,50,30,5,10,2,0,1000,50,100,0,-1,600,200,0
°­È­µÈÃË¼ö°ø°Ý,1005,77,55,15,10.73,zbs_attack_tentacle2,6.26,85,30,5,10,2,0,1000,0,50,0,-1,600,200,0
°­È­µÈÃË¼ö°ø°Ý2,1005,77,255,30,10.73,zbs_attack_tentacle2,6.26,150,30,5,10,2,0,1000,49,52,0,-1,600,200,0
°ß°©¹æ¾î,1005,78,250,60,4.03,zbs_guard_start,4.03,1000,0,0,0,0,0,1000,5,75,0,562,600,200,0
¸ð·¡Æø¹ß1,1005,79,75,67,7.06,zbs_idle1,4,3,0,0,0,0,0,1000,75,100,0,561,600,200,20
¸ð·¡Æø¹ß2,1005,80,75,67,7.06,zbs_idle1,4,9,0,0,0,0,0,1000,10,75,0,561,600,200,20
¸ð·¡ÆøÇ³1,1005,81,255,87,7.06,zbs_idle1,0.73,10,0,0,0,0,0,1000,85,100,0,561,600,200,20
¸ð·¡ÆøÇ³2,1005,82,255,57,7.06,zbs_idle1,0.73,20,0,0,0,0,0,1000,45,50,0,561,600,200,25
¸ð·¡ÆøÇ³1,1005,81,255,57,7.06,zbs_idle1,0.73,20,0,0,0,0,0,1000,35,44,0,561,600,200,25
¸ð·¡ÆøÇ³2,1005,82,255,57,7.06,zbs_idle1,0.73,20,0,0,0,0,0,1000,30,34,0,561,600,200,25
¸ð·¡ÆøÇ³1,1005,81,255,57,7.06,zbs_idle1,0.73,20,0,0,0,0,0,1000,20,29,0,561,600,200,30
¸ð·¡ÆøÇ³2,1005,82,255,57,7.06,zbs_idle1,0.73,50,0,0,0,0,0,1000,0,15,0,561,600,200,30
