waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
1,9999,0,0,0,9999,1,522
1,9999,3,0,0,9999,1,523
1,9999,5,0,0,9999,1,524
1,9999,8,0,0,9999,1,525
1,9999,10,0,0,9999,1,526
1,9999,12,0,0,9999,1,527
2,9999,0,0,0,9999,1,528
2,9999,2,0,0,9999,1,529
2,1,0,21600,3,1,1,
2,2,0,21600,3,2,1,
2,8,0,21600,3,9,1,
2,9,0,21600,3,10,1,
2,10,0,21600,3,1,1,
2,11,0,21600,3,2,1,
3,1,0,21600,3,9,1,
3,2,0,21600,3,10,1,
3,3,0,21600,3,1,1,
3,4,0,21600,3,2,1,
3,5,0,21600,3,2,1,
3,6,0,21600,3,17,1,
3,7,0,21600,3,17,1,
3,8,0,21600,3,9,1,
3,9,0,21600,3,10,1,
3,10,0,21600,3,11,1,
3,11,0,21600,3,11,1,
4,3,0,21600,3,17,1,
4,4,0,21600,3,17,1,
4,5,0,21600,3,9,1,
4,6,0,21600,3,10,1,
4,7,0,21600,3,11,1,
4,12,0,21600,3,11,1,
4,13,0,21600,3,33,1,
4,14,0,21600,3,34,1,
4,15,0,21600,3,2,1,
4,1000,1,0,0,500,1,
5,9999,0,0,0,9999,1,530
5,9999,2,0,0,9999,1,531
5,9999,5,0,0,9999,1,532
5,9999,8,0,0,9999,1,533
5,12,0,21600,3,1,1,
5,13,0,21600,3,2,1,
5,14,0,21600,3,10,1,
5,15,0,21600,3,11,1,
5,16,0,21600,3,17,1,
5,17,0,21600,3,18,1,
5,18,0,21600,3,33,1,
5,19,0,21600,3,34,1,
5,20,0,21600,3,1,1,
5,21,0,21600,3,2,1,
5,22,0,21600,3,10,1,
5,23,0,21600,3,11,1,
5,1000,5,0,0,501,1,
6,25,0,600,3,11,1,
6,26,0,600,3,12,1,
6,27,0,600,3,33,1,
6,28,0,600,3,34,1,
6,30,0,600,3,1,1,
6,31,0,600,3,2,1,
6,32,0,600,3,10,1,
6,33,0,600,3,11,1,
6,34,0,600,3,33,1,
6,35,0,600,3,34,1,
6,45,0,600,3,41,1,
6,46,0,600,3,42,1,
6,47,0,600,3,17,1,
6,48,0,600,3,18,1,
7,30,0,600,3,1,1,
7,31,0,600,3,2,1,
7,32,0,600,3,10,1,
7,33,0,600,3,11,1,
7,34,0,600,3,33,1,
7,35,0,600,3,34,1,
7,40,0,600,3,17,1,
7,41,0,600,3,18,1,
7,42,0,600,3,43,1,
7,43,0,600,3,44,1,
8,9999,0,0,0,9999,1,534
8,9999,2,0,0,9999,1,535
8,9999,5,0,0,9999,1,536
8,9999,8,0,0,9999,1,537
8,30,0,600,3,1,1,
8,31,0,600,3,2,1,
8,36,0,600,3,10,1,
8,37,0,600,3,11,1,
8,38,0,600,3,33,1,
8,39,0,600,3,34,1,
8,40,0,600,3,17,1,
8,41,0,600,3,18,1,
