id,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem
1,zombi_host,5,60,3,50,30,250,225,0,0,255 255 255,0,101,0,0,1
2,zombi_origin,10,60,3,60,30,250,310,0,1,255 255 255,0,101,0,0,1
3,zombi_host,15,70,2,70,50,-50,500,0,0,128 128 64 ,0,101,0,0,1
4,zombi_origin,25,70,2,80,50,-50,600,0,1,128 128 64,0,101,0,0,1
5,zombi_host,30,75,2,250,200,250,850,0,0,255 255 255,0,101,0,0,1
6,zombi_origin,35,75,2,300,250,250,900,0,1,255 255 255,0,101,0,0,1
7,zombi_host,40,75,2,350,250,250,1000,0,0,128 128 64 ,0,101,0,0,1
8,zombi_host,5,1200,4,100,50,-40,825,0,6,80 228 91,0,102,0,0,1
9,speed_zombi_host,10,60,2,30,15,260,250,0,0,255 255 255,0,110,0,0,1
10,speed_zombi_origin,13,70,2,40,25,280,330,0,2,255 255 255,0,111,0,0,1
11,speed_zombi_host,16,80,2,60,50,280,450,0,0,255 255 255,0,110,0,0,1
12,speed_zombi_origin,22,80,2,80,60,280,500,0,2,130 128 64,0,111,0,0,1
13,speed_zombi_host,26,85,2,125,100,280,750,0,0,130 128 64,0,110,0,0,1
14,speed_zombi_origin,30,85,2,200,125,280,1000,0,2,255 255 255,0,111,0,0,1
15,speed_zombi_origin,40,85,2,235,125,280,1100,0,2,255 255 255,0,111,0,0,1
16,speed_zombi_origin,48,85,2,270,125,280,1350,0,2,255 255 255,0,111,0,0,1
17,heavy_zombi_host,10,40,4,300,50,220,1000,0,0,255 255 255,0,121,0,0,1
18,heavy_zombi_origin,15,50,4,400,60,230,1250,0,3,255 255 255,0,121,0,0,1
19,heavy_zombi_host,23,50,4,600,150,240,1500,0,0,128 128 64 ,0,121,0,0,1
20,heavy_zombi_origin,27,60,4,800,300,250,1750,0,3,128 128 64,0,121,0,0,1
21,heavy_zombi_host,35,60,3,900,800,260,2250,0,0,255 255 255,0,121,0,0,1
22,heavy_zombi_origin,40,70,3,1000,900,260,2500,0,3,255 255 255,0,121,0,0,1
23,heavy_zombi_origin,46,70,3,1200,900,260,2870,0,3,255 255 255,0,121,0,0,1
24,heavy_zombi_origin,59,70,3,1350,950,260,3320,0,3,255 255 255,0,121,0,0,1
25,pc_zombi_host,8,60,3,75,55,250,400,0,0,255 255 255,0,130,0,0,1
26,pc_zombi_origin,12,65,3,85,65,250,450,0,0,255 255 255,0,130,0,0,1
27,pc_zombi_host,20,70,3,110,90,250,600,0,0,128 128 64,0,130,0,0,1
28,pc_zombi_origin,30,75,3,125,100,260,650,0,4,128 128 64,0,130,0,0,1
29,pc_zombi_host,35,75,2,200,175,270,1000,0,0,255 255 255,0,130,0,0,1
30,pc_zombi_origin,40,80,2,250,200,270,1500,0,4,255 255 255,0,130,0,0,1
31,pc_zombi_origin,40,80,2,250,200,270,1500,0,0,255 255 255,0,130,0,0,1
32,pc_zombi_origin,40,80,2,250,200,270,1500,0,4,255 255 255,0,130,0,0,1
33,heal_zombi_origin,10,60,3,90,130,230,600,0,0,255 255 255,0,141,0,0,1
34,heal_zombi_host,15,70,3,110,240,250,650,0,0,255 255 255,0,141,0,0,1
35,heal_zombi_origin,30,80,3,175,300,240,900,0,0,128 128 64,0,141,0,0,1
36,heal_zombi_host,40,80,3,200,300,260,1000,0,5,128 128 64,0,141,0,0,1
37,heal_zombi_origin,45,90,3,400,300,270,1500,0,0,255 255 255,0,141,0,0,1
38,heal_zombi_host,50,90,3,500,400,270,2000,0,5,255 255 255,0,141,0,0,1
39,heal_zombi_host,50,90,3,500,400,270,2000,0,5,255 255 255,0,141,0,0,1
40,heal_zombi_host,50,90,3,500,400,270,2000,0,5,255 255 255,0,141,0,0,1
41,zombiedog,20,55,2,25,10,310,250,0,12,255 255 255,0,144,0,0,1
42,zombiedog,25,55,2,35,15,330,275,0,12,255 255 255,0,144,0,0,1
