waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
30,32706,3,0,0,32706,1,
30,1,15,3600,15,1 3 5 7,1 1 1 1,
30,2,15,3600,15,2 4 6 8,1 1 1 1,
30,3,15,3600,15,9 11 13 15,1 1 1 1,
30,4,15,3600,15,10 12 14 16,1 1 1 1,
30,5,15,3600,15,17 19 21 23,1 1 1 1,
30,6,15,3600,15,18 20 22 24,1 1 1 1,
30,7,15,3600,15,1 3 5 7,1 1 1 1,
30,8,15,3600,15,2 4 6 8,1 1 1 1,
30,9,15,3600,15,9 11 13 15,1 1 1 1,
30,10,15,3600,15,10 12 14 16,1 1 1 1,
30,11,15,3600,15,17 19 21 23,1 1 1 1,
30,12,15,3600,15,18 20 22 24,1 1 1 1,
30,13,15,3600,15,1 3 5 7,1 1 1 1,
30,14,15,3600,15,2 4 6 8,1 1 1 1,
30,15,15,3600,15,9 11 13 15,1 1 1 1,
30,16,15,3600,15,10 12 14 16,1 1 1 1,
30,17,15,3600,15,17 19 21 23,1 1 1 1,
30,18,15,3600,15,18 20 22 24,1 1 1 1,
30,19,15,3600,15,1 3 5 7,1 1 1 1,
30,20,15,3600,15,2 4 6 8,1 1 1 1,
30,21,15,3600,15,9 11 13 15,1 1 1 1,
30,22,15,3600,15,10 12 14 16,1 1 1 1,
30,23,15,3600,15,17 19 21 23,1 1 1 1,
30,24,15,3600,15,18 20 22 24,1 1 1 1,
30,25,15,3600,15,1 3 5 7,1 1 1 1,
30,26,15,3600,15,2 4 6 8,1 1 1 1,
30,27,15,3600,15,9 11 13 15,1 1 1 1,
30,28,15,3600,15,10 12 14 16,1 1 1 1,
30,29,15,3600,15,17 19 21 23,1 1 1 1,
30,30,15,3600,15,18 20 22 24,1 1 1 1,
30,31,15,3600,15,1 3 5 7,1 1 1 1,
30,32,15,3600,15,2 4 6 8,1 1 1 1,
30,33,15,3600,15,9 11 13 15,1 1 1 1,
30,34,15,3600,15,10 12 14 16,1 1 1 1,
30,35,15,3600,15,17 19 21 23,1 1 1 1,
30,36,15,3600,15,18 20 22 24,1 1 1 1,
30,37,15,3600,15,1 3 5 7,1 1 1 1,
30,38,15,3600,15,2 4 6 8,1 1 1 1,
30,39,15,3600,15,9 11 13 15,1 1 1 1,
30,40,15,3600,15,10 12 14 16,1 1 1 1,
30,41,15,3600,15,17 19 21 23,1 1 1 1,
30,42,15,3600,15,18 20 22 24,1 1 1 1,
30,43,15,3600,15,1 3 5 7,1 1 1 1,
30,44,15,3600,15,2 4 6 8,1 1 1 1,
30,45,15,3600,15,9 11 13 15,1 1 1 1,
30,46,15,3600,15,10 12 14 16,1 1 1 1,
30,47,15,3600,15,17 19 21 23,1 1 1 1,
30,48,15,3600,15,18 20 22 24,1 1 1 1,
30,49,15,3600,15,1 3 5 7,1 1 1 1,
30,50,15,3600,15,2 4 6 8,1 1 1 1,
30,51,15,3600,15,9 11 13 15,1 1 1 1,
30,52,15,3600,15,10 12 14 16,1 1 1 1,
30,53,15,3600,15,17 19 21 23,1 1 1 1,
30,54,15,3600,15,18 20 22 24,1 1 1 1,
30,55,15,3600,15,1 3 5 7,1 1 1 1,
30,56,15,3600,15,2 4 6 8,1 1 1 1,
