id,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem,exp,isShowHPInfo,mmNum,waveType,"render[mode, fx, alpha]",spawnMessageNum,name
1,zombi_host,30,75,2,700,260,380,650,0,0,255 255 255,0,101,0,0,1,485,0,-1,-1,,,
2,zombi_origin,35,75,2,780,300,380,800,0,0,255 255 255,0,101,0,0,1,590,0,-1,-1,,,
3,zombi_host,35,75,2,950,340,400,1000,0,0,255 255 255,0,101,0,0,1,730,0,-1,-1,,,
4,zombi_origin,40,75,2,1000,380,400,1200,0,0,255 255 255,0,101,0,0,1,870,0,-1,-1,,,
5,speed_zombi_host,26,85,2,300,200,600,650,0,0,255 255 255,0,110,0,0,1,485,0,-1,-1,,,
6,speed_zombi_origin,30,85,2,380,250,600,800,0,0,255 255 255,0,111,0,0,1,590,0,-1,-1,,,
7,speed_zombi_origin,35,85,2,440,250,650,1100,0,0,255 255 255,0,111,0,0,1,800,0,-1,-1,,,
8,speed_zombi_origin,40,85,2,500,250,650,1300,0,0,255 255 255,0,111,0,0,1,940,0,-1,-1,,,
9,heavy_zombi_host,30,60,3,1400,1600,250,1500,0,1,255 255 255,0,121,0,0,1,765,0,-1,-1,,,
10,heavy_zombi_origin,35,70,3,2200,1900,260,1800,0,1,255 255 255,0,121,0,0,1,870,0,-1,-1,,,
11,heavy_zombi_origin,40,70,3,3000,2400,260,2000,0,1,255 255 255,0,121,0,0,1,1080,0,-1,-1,,,
12,heavy_zombi_origin,42,70,3,3800,2600,260,2500,0,1,255 255 255,0,121,0,0,1,1185,0,-1,-1,,,
13,pc_zombi_host,35,75,2,640,240,380,650,0,0,255 255 255,0,130,0,0,1,485,0,-1,-1,,,
14,pc_zombi_origin,40,80,2,650,260,380,900,0,0,255 255 255,0,130,0,0,1,660,0,-1,-1,,,
15,pc_zombi_origin,40,80,2,750,280,380,1000,0,0,255 255 255,0,130,0,0,1,730,0,-1,-1,,,
16,pc_zombi_origin,40,80,2,790,300,380,1200,0,0,255 255 255,0,130,0,0,1,870,0,-1,-1,,,
17,heal_zombi_origin,30,80,3,680,300,320,800,0,0,255 255 255,0,141,0,0,1,590,0,-1,-1,,,
18,heal_zombi_host,30,80,3,750,400,320,1000,0,0,255 255 255,0,141,0,0,1,730,0,-1,-1,,,
19,heal_zombi_host,35,80,3,820,400,320,1200,0,0,255 255 255,0,141,0,0,1,870,0,-1,-1,,,
20,heal_zombi_host,35,80,3,900,400,320,1400,0,0,255 255 255,0,141,0,0,1,1010,0,-1,-1,,,
21,resident_zombi_origin,15,45,3,700,110,520,550,0,0,255 255 255,0,145,0,0,1,415,0,-1,-1,,,
22,resident_zombi_host,20,45,3,760,110,520,650,0,0,255 255 255,0,145,0,0,1,485,0,-1,-1,,,
23,resident_zombi_origin,33,45,3,810,130,540,800,0,0,255 255 255,0,145,0,0,1,590,0,-1,-1,,,
24,resident_zombi_host,38,50,3,860,130,540,1050,0,0,255 255 255,0,145,0,0,1,765,0,-1,-1,,,
100,zombi_host,5,3000,3,500,20,-25,200,0,6,80 228 91,0,102,0,0,1,170,0,-1,-1,,,
