bossAttUp1,bossDefUp1,bossAttUp2,bossDefUp2,bossAttUp3,bossDefUp3,bossAttUp4,bossDefUp4,bossAttUp5,bossDefUp5
1.5,1,2.5,1.5,4,2,5,3,5,4
ZombieAttUp1,ZombieDefUp1,ZombieAttUp2,ZombieDefUp2,ZombieAttUp3,ZombieDefUp3,ZombieAttUp4,ZombieDefUp4,ZombieAttUp5,ZombieDefUp5
1,1,2,2,3,2.5,3,3,4,4
bossRoom1,killTrigger1,bossRoom2,killTrigger2,bossRoom3,killTrigger2,bossRoom4,killTrigger4,bossRoom5,KillTrigger5
0,E,1,R,2,O,3,D,4,F
0,E,1,R,2,O,4,F,3,D
0,E,1,R,4,F,3,D,2,O
0,E,1,R,4,F,2,O,3,D
0,E,3,D,2,O,1,R,4,F
0,E,3,D,2,O,4,F,1,R
0,E,3,D,4,F,1,R,2,O
0,E,3,D,4,F,2,O,1,R
0,E,4,F,3,D,2,O,1,R
0,E,4,F,1,R,2,O,3,D
1,R,0,E,3,D,2,O,4,F
1,R,0,E,3,D,4,F,2,O
1,R,0,E,4,F,3,D,2,O
1,R,0,E,4,F,2,O,3,D
1,R,2,O,3,D,0,E,4,F
1,R,2,O,3,D,4,F,0,E
1,R,2,O,4,F,3,D,0,E
1,R,2,O,4,F,0,E,3,D
1,R,4,F,2,O,3,D,0,E
1,R,4,F,0,E,3,D,2,O
2,O,3,D,0,E,1,R,4,F
2,O,3,D,0,E,4,F,1,R
2,O,3,D,4,F,0,E,1,R
2,O,3,D,4,F,1,R,0,E
2,O,1,R,0,E,3,D,4,F
2,O,1,R,0,E,4,F,3,D
2,O,1,R,4,F,3,D,0,E
2,O,1,R,4,F,0,E,3,D
2,O,4,F,3,D,0,E,1,R
2,O,4,F,1,R,0,E,3,D
3,D,2,O,1,R,0,E,4,F
3,D,2,O,1,R,4,F,0,E
3,D,2,O,4,F,0,E,1,R
3,D,2,O,4,F,1,R,0,E
3,D,0,E,1,R,2,O,4,F
3,D,0,E,1,R,4,F,2,O
3,D,0,E,4,F,1,R,2,O
3,D,0,E,4,F,2,O,1,R
3,D,4,F,2,O,1,R,0,E
3,D,4,F,0,E,1,R,2,O
4,F,0,E,1,R,2,O,3,D
4,F,0,E,3,D,2,O,1,R
4,F,3,D,0,E,1,R,2,O
4,F,3,D,2,O,1,R,0,E
4,F,2,O,1,R,0,E,3,D
4,F,2,O,3,D,0,E,1,R
4,F,1,R,0,E,3,D,2,O
4,F,1,R,2,O,3,D,0,E
