스킬명(##은 코드용),id,type,ratio,cooltime,aniTime,aniSeq,damageDelay,damage,damageDegree,damageHeight,damageDist,forceAttackTime,startDistMin,startDistMax,startHealthMin,startHealthMax,approachDist,startMsg,kickSide,kickUp,rushPower
##Zavist 스폰,1101,132,255,9999999,0,0,0,0,0,0,0,0,0,9999,0,100,999999,-1,1500,0.03,0
Zavist 평타1,1101,133,10,10,2.033,attack1,0.166,45,60,1,5,2,0,10,0,100,1,-1,0,0,0
Zavist 평타2,1101,134,10,10,2.033,attack2,0.433,45,90,1,5,2,0,10,0,100,1,-1,0,5,0
Zavist 평타3,1101,135,10,10,2.333,attack3,0.533,50,30,1,6,2,0,10,0,100,1,-1,0,0,0
Zavist 평타4,1101,136,10,10,2.8,attack4,0.8,50,60,1,6,2,0,10,0,100,1,-1,5,5,10
Zavist 스킬1,1101,137,15,8,7,skill1_start,0,65,180,1,7,1,0,9999,0,100,1000,-1,15,5,15
Zavist 스킬2,1101,138,15,5,4.733,skill2,0,60,60,1,8,2,0,9999,0,100,1,-1,15,5,15
Zavist 스킬3,1101,139,50,25,0,skill3_start,0,70,180,1,9,1,0,9999,0,100,1000,-1,15,5,0
##Neid 스폰,1100,140,255,9999999,0,0,0,0,0,0,0,0,0,9999,0,100,999999,-1,1500,0.03,0
Neid 평타1,1100,141,10,10,2.466,attack1,0.333,45,60,1,5,2,0,10,0,100,1,-1,0,0,0
Neid 평타2,1100,142,10,10,2.4,attack2,0.3,45,45,1,5,2,0,10,0,100,1,-1,0,5,0
Neid 평타3,1100,143,10,10,3.033,attack3,0.666,55,100,1,6,2,0,10,0,100,1,-1,5,5,10
Neid 평타4,1100,144,10,10,2.833,attack4,0.666,55,180,1,6,2,0,10,0,100,1,-1,5,5,0
Neid 스킬1,1100,145,15,5,0,skill1_start,0,70,90,5,7,2,0,9999,0,100,1000,-1,15,5,15
Neid 스킬2,1100,146,15,5,0,skill2_start,0,60,180,1,7,1,0,9999,0,100,1000,-1,15,5,15
Neid 스킬3,1100,147,50,20,0,skill3_start,0,50,100,1,7,1,0,9999,0,100,1000,-1,15,5,15
##Zavist 스킬4요청,1101,150,0,0,0,skill4,0,0,0,0,0,0,0,9999,0,100,0,-1,0,0,0
##Zavist 스킬4준비,1101,151,0,0,0,skill4,0,0,0,0,0,0,0,9999,0,100,0,-1,0,0,0
##Zavist 스킬4시작,1101,152,0,0,0,skill4,0,0,0,0,0,0,0,9999,0,100,0,-1,0,0,0
##Zavist 스킬4싸움,1101,153,0,0,0,skill4,0,50,0,0,0,0,0,9999,0,100,0,-1,0,0,0
##Zavist 스킬4쫒기,1101,154,0,0,0,skill4,0,0,0,0,0,0,0,9999,0,100,0,-1,0,0,0
##Zavist 스킬4후반싸움,1101,155,0,0,0,skill4,0,25,0,0,0,0,0,9999,0,100,0,-1,0,0,0
##Zavist 스킬4종료,1101,156,0,0,0,skill4,0,75,0,0,0,0,0,9999,0,100,0,-1,0,0,0
##Neid 스킬4준비,1100,157,0,0,0,skill4,0,0,0,0,0,0,0,9999,0,100,0,-1,0,0,0
##Neid 스킬4시작,1100,158,0,0,0,skill4,0,0,0,0,0,0,0,9999,0,100,0,-1,0,0,0
##Neid 스킬4싸움,1100,159,0,0,0,skill4,0,0,0,0,0,0,0,9999,0,100,0,-1,0,0,0
##Neid 스킬4쫒기,1100,160,0,0,0,skill4,0,0,0,0,0,0,0,9999,0,100,0,-1,0,0,0
##Neid 스킬4후반싸움,1100,161,0,0,0,skill4,0,0,0,0,0,0,0,9999,0,100,0,-1,0,0,0
##Neid 스킬4종료,1100,162,0,0,0,skill4,0,0,0,0,0,0,0,9999,0,100,0,-1,0,0,0
레버넌트 등장,1200,35,255,999999,14,zbs_walk,0,0,0,0,0,0,0,1000,99,100,0,-1,0,0,0
스매쉬 약,1200,36,3,15,2.36,zbs_attack1,0.8,30,35,5,10,4,0,15,50,100,0,-1,500,250,0
스매쉬 강,1200,36,3,15,2.36,zbs_attack1,0.8,35,35,5,10,4,0,15,0,50,0,-1,500,250,0
스톰프 약,1200,37,5,20,2.7,zbs_attack4,0.3,25,0,5,8,3,0,15,50,100,5,-1,800,350,0
스톰프 강,1200,37,5,20,2.7,zbs_attack4,0.3,45,0,5,8,3,0,15,0,50,5,-1,800,350,0
대쉬 약,1200,38,3,20,3,zbs_dash_ready,0,30,0,5,0,1,0,1000,50,100,10,-1,700,300,1000
대쉬 강,1200,38,3,20,3,zbs_dash_ready,0,45,0,5,0,1,0,1000,0,50,10,-1,700,300,1000
파이어볼 1 약,1200,39,3,18,5,zbs_fireball1,0.6,20,0,5,7,1,0,1000,50,100,15,-1,250,200,20
파이어볼 1 강,1200,39,3,18,5,zbs_fireball1,0.6,25,0,5,7,1,0,1000,0,50,15,-1,250,200,20
파이어볼 2 약,1200,40,5,22,6.35,zbs_fireball2,0.6,30,0,5,7,1,0,1000,50,100,15,-1,250,200,20
파이어볼 2 강,1200,40,5,22,6.35,zbs_fireball2,0.6,35,0,5,7,1,0,1000,0,50,15,-1,250,200,20
인페르노(rushPower가 트리거 번호),1200,41,100,40,10.4,zbs_attack5,0.6,60,0,5,7,0,0,1000,0,100,0,-1,250,200,23
외형 변화,1200,42,255,999999,9.2,zbs_burning1,3,0,0,0,0,0,0,1000,40,50,0,-1,0,0,4.5
폭주,1200,43,255,999999,10.7,zbs_burning2,4.5,0,0,0,0,0,0,1000,80,90,0,-1,0,0,4
폭주,1200,43,255,999999,10.7,zbs_burning2,4.5,0,0,0,0,0,0,1000,70,80,0,-1,0,0,3.5
폭주,1200,43,255,999999,10.7,zbs_burning2,4.5,0,0,0,0,0,0,1000,60,70,0,-1,0,0,3
폭주,1200,43,255,999999,10.7,zbs_burning2,4.5,0,0,0,0,0,0,1000,50,60,0,-1,0,0,2.5
폭주,1200,43,255,999999,10.7,zbs_burning2,4.5,0,0,0,0,0,0,1000,30,40,0,-1,0,0,2
폭주,1200,43,255,999999,10.7,zbs_burning2,4.5,0,0,0,0,0,0,1000,20,30,0,-1,0,0,1.5
폭주,1200,43,255,999999,10.7,zbs_burning2,4.5,0,0,0,0,0,0,1000,15,20,0,-1,0,0,1
폭주,1200,43,255,999999,10.7,zbs_burning2,4.5,0,0,0,0,0,0,1000,10,15,0,-1,0,0,0.5
폭주,1200,43,255,999999,10.7,zbs_burning2,4.5,0,0,0,0,0,0,1000,5,10,0,-1,0,0,0
폭주,1200,43,255,999999,10.7,zbs_burning2,4.5,0,0,0,0,0,0,1000,0,5,0,-1,0,0,0
휘두르기약100-75,1300,3,3,3,2.7,zbs_attack1,0.93,20,90,5,9,4,0,15,75,100,5,-1,400,250,0
휘두르기약75-50,1300,3,2,3,2.7,zbs_attack1,0.93,30,90,5,9,4,0,15,50,74,5,-1,500,250,0
휘두르기강50-25,1300,3,2,3,2.7,knife_attack1,0.66,45,120,5,11,4,0,15,25,49,5,-1,600,280,0
휘두르기강25-0,1300,3,2,3,2.7,knife_attack1,0.66,55,120,5,11,4,0,15,0,24,5,-1,700,290,0
휘두르기2약100-75,1300,4,3,3,2,zbs_attack2,0.26,20,120,5,7,4,0,15,75,100,5,-1,400,250,0
