id,type,map trigger id,wave id,cool time,dest ratio,end wave,hostCrashReset,roundTimeBase
1,w,1,1,0,,2 3 4 5 6 7 8 9 10 11 12,,
1,w,2,2,0,,1 3 4,,
1,w,3,3,0,,1 2 4,,
1,w,4,4,0,,1 2 3 13 14 15 16 17 18 19 20,,
1,w,5,5,0,,1 2 3 4 6 7 8 9 10 11 12,,
1,w,6,6,0,,5 7 8,,
1,w,7,7,0,,5 6 8,,
1,w,8,8,0,,5 6 7 17 18 19 20 21 22 23 24 29 30 31 32,,
1,w,9,9,0,,1 2 3 4 5 6 7 8 10 11 12,,
1,w,10,10,0,,9 11 12,,
1,w,11,11,0,,9 10 12,,
1,w,12,12,0,,9 10 11 25 26 27 28 29 30 31 32,,
1,w,13,13,0,,1 2 3 4 14 15 16 17 18 19 20,,
1,w,14,14,0,,13 15 16,,
1,w,15,15,0,,13 14 16,,
1,w,16,16,0,,13 14 15 21 22 23 24 25 26 27 28,,
1,w,17,17,0,,5 6 7 8 18 19 20 21 22 23 24 29 30 31 32,,
1,w,18,18,0,,17 19 20,,
1,w,19,19,0,,17 18 20,,
1,w,20,20,0,,1 2 3 4 13 14 15 16 17 18 19,,
1,w,21,21,0,,5 6 7 8 17 18 19 20 22 23 24 29 30 31 32,,
1,w,22,22,0,,21 23 24,,
1,w,23,23,0,,21 22 24,,
1,w,24,24,0,,13 14 15 16 21 22 23 25 26 27 28,,
1,w,25,25,0,,9 10 11 12 26 27 28 29 30 31 32,,
1,w,26,26,0,,25 27 28,,
1,w,27,27,0,,25 26 28,,
1,w,28,28,0,,13 14 15 16 21 22 23 24 25 26 27,,
1,w,29,29,0,,9 10 11 12 25 26 27 28 30 31 32,,
1,w,30,30,0,,29 31 32,,
1,w,31,31,0,,29 30 32,,
1,w,32,32,0,,5 6 7 8 17 18 19 20 21 22 23 24 29 30 31,,
1,w,101,101,0,,,1,1
1,w,102,102,0,,,1,1
1,w,103,103,0,,,1,1
1,w,104,104,0,,,1,1
1,w,105,105,0,,,1,1
1,w,201,201,0,,,1,1
1,w,202,202,0,,,1,1
