id,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem,exp
5,zombi_host,14,75,2,70,70,250,487,0,0,255 255 255,0,101,0,0,1,324
6,zombi_origin,15,75,2,100,100,250,600,0,1,255 255 255,0,101,0,0,1,384
13,speed_zombi_host,12,85,2,60,60,280,487,0,0,255 255 255,0,110,0,0,1,324
14,speed_zombi_origin,14,85,2,90,90,280,600,0,2,255 255 255,0,111,0,0,1,384
21,heavy_zombi_host,14,60,3,200,200,260,787,0,0,255 255 255,0,121,0,0,1,444
22,heavy_zombi_origin,15,70,3,300,300,260,900,0,3,255 255 255,0,121,0,0,1,504
29,pc_zombi_host,15,75,2,70,70,270,487,0,0,255 255 255,0,130,0,0,1,384
30,pc_zombi_origin,17,80,2,100,100,270,675,0,0,255 255 255,0,130,0,0,1,444
37,heal_zombi_origin,14,80,3,150,150,270,600,0,0,255 255 255,0,141,0,0,1,384
38,heal_zombi_host,14,80,3,180,180,270,750,0,5,255 255 255,0,141,0,0,1,444
49,zombiedog,12,55,2,80,80,330,318,0,12,255 255 255,0,144,0,0,1,564
54,resident_zombi_host,16,50,3,120,120,280,787,0,10,255 255 255,0,145,0,0,1,480
55,resident_zombi_origin,18,50,2,150,150,290,937,0,10,255 255 255,0,145,0,0,1,540
58,boomer_zombi_host,19,60,4,250,250,260,562,0,11,255 255 255,0,146,0,0,1,540
59,boomer_zombi_origin,20,70,3,320,320,270,637,0,11,255 255 255,0,146,0,0,1,600
100,zombi_host,9,60,3,50,50,220,300,0,0,255 255 255,0,101,0,0,1,360
101,zombi_origin,11,60,3,70,70,250,337,0,0,255 255 255,0,101,0,0,1,420
102,speed_zombi_host,12,60,2,40,40,245,285,0,0,255 255 255,0,110,0,0,1,360
103,speed_zombi_origin,14,60,2,60,60,250,315,0,1,255 255 255,0,111,0,0,1,420
104,heavy_zombi_host,9,60,4,140,140,200,450,0,0,255 255 255,0,121,0,0,1,480
105,heavy_zombi_origin,11,60,4,200,200,220,525,0,1,255 255 255,0,121,0,0,1,540
106,pc_zombi_host,11,60,3,50,50,210,300,0,0,255 255 255,0,130,0,0,1,420
107,pc_zombi_origin,12,60,3,70,70,250,337,0,1,255 255 255,0,130,0,0,1,480
108,heal_zombi_origin,11,60,4,100,100,250,337,0,0,255 255 255,0,141,0,0,1,420
109,heal_zombi_host,11,60,4,120,120,250,375,0,1,255 255 255,0,141,0,0,1,480
110,zombiedog,16,75,2,60,60,320,505,0,12,255 255 255,0,101,0,0,1,600
111,resident_zombi_origin,11,45,3,80,80,270,450,0,10,255 255 255,0,145,0,0,1,564
112,boomer_zombi_host,17,50,4,180,180,250,600,0,11,255 255 255,0,146,0,0,1,660
500,deimos_zombi_host,40,60,3,10000,10000,250,8000,1,8,255 255 255,0,181,0,0,1,3500
501,deimos_zombi_origin,40,70,3,12000,12000,230,12000,1,8,255 255 255,0,182,0,0,1,4500
502,zbs_bossS_jun01,50,80,3,15000,15000,180,14000,1,3,255 255 255,0,182,0,0,2,5000
503,zbs_bossS_jun01,50,80,3,20000,20000,225,16000,1,9,255 255 255,0,182,0,0,2,6000
504,zbs_bossS_jun00,50,80,4,30000,30000,145,20000,1,0,255 255 255,0,150,0,0,2,8000
1100,zbs_bossL_big01,1,300,2,150000,150000,400,32000,1,1000,255 255 255,0,171,2,0,18,11200
31200,frozenterror,1,1,2,150000,150000,250,32000,1,1001,255 255 255,0,170,0,0,18,11200
32000,envy_zavist,0,0,0,300000,300000,320,32000,2,1101,255 255 255,0,172,2,10,19,22400
32001,envy_neid,0,0,0,300000,300000,320,32000,2,1100,255 255 255,0,172,2,10,19,22400
30600,zbs_bossL_big05,1,300,2,400000,400000,250,32000,2,1200,255 255 255,0,170,2,20,19,22400
30200,zbs_bossL_big02,1,300,2,600000,600000,200,32000,2,1300,255 255 255,0,170,2,20,19,22400
30300,zbs_bossL_big03,1,300,2,500000,500000,220,32000,2,1400,255 255 255,0,170,2,20,19,22400
30800,zbs_bossL_big07,1,300,2,500000,500000,250,32000,2,1500,255 255 255,0,170,2,20,19,22400
30801,zbs_bossL_big07_friend,1,300,2,30000,30000,360,18000,1,1501,255 255 255,0,170,2,0,2,12600
30802,zbs_bossL_big07_friend,1,300,2,30000,30000,220,18000,1,1502,255 255 255,0,170,2,0,2,12600
