temp,id,type,ratio,cooltime,aniTime,aniSeq,damageDelay,damage,damageDegree,damageHeight,damageDist,forceAttackTime,startDistMin,startDistMax,startHealthMin,startHealthMax,approachDist,startMsg,kickSide,kickUp,rushPower
Knife_Draw,1000,378,100,15,1.3,knife_draw,0,0,0,5,0,0,0,1000,80,100,0,-1,10,10,35
Gun_draw,1000,386,100,30,1.3,gun_draw,0,0,0,5,0,0,0,1000,80,100,0,-1,10,10,35
Knife_Dash,1000,371,85,8,1.2,knife_dash_ready,0.8,1,0,1,5,0,6,50,80,100,0,-1,30,20,1200
Knife_Attack_1,1000,372,255,9999,2,knife_attack1,0,1,120,10,5,5,0,20,80,100,0,-1,10,10,0
Knife_Attack_1,1000,372,50,4,2,knife_attack1,0,1,120,10,5,4,0,20,80,100,0,-1,10,10,0
Knife_Attack_2,1000,373,30,5,2.5,knife_attack2,0,800,80,5,4,4,0,20,80,100,0,-1,10,10,0
Knife_Avoid_L,1000,374,250,12,1.3,knife_rollingL,1,120,25,5,0,0,0,1000,80,100,0,-1,50,10,500
Knife_Avoid_R,1000,375,250,12,1.3,knife_rollingR,1,120,25,5,0,0,0,1000,80,100,0,-1,50,10,500
Knife_Grenade_Short,1000,376,115,13,1.2,knife_grenade_short,0.56,200,0,5,8,2,3,10,80,100,0,-1,50,30,250
Knife_Grenade_Long,1000,377,115,9,1.2,knife_grenade_long,0.55,300,0,5,9,1,13,100,80,100,0,-1,50,30,700
Gun_Avoid_L,1000,379,250,12,1.3,gun_dashL,0.7,100,60,5,0,0,0,1000,80,100,0,-1,10,10,600
Gun_Avoid_R,1000,380,250,12,1.3,gun_dashR,0.7,100,0,5,0,0,0,1000,80,100,0,-1,10,10,600
Gun_Avoid_Back,1000,381,250,12,1.7,gun_dash_back,0.45,100,180,5,0,0,0,1000,80,100,0,-1,10,10,600
Gun_Attack,1000,382,100,12,1.3,gun_attack_readyL,0,1,0,5,0,0,0,1000,80,100,0,-1,30,10,650
Gun_Grenade_Short,1000,384,45,5,1.2,gun_grenade_short,0.56,150,0,5,8,2,0,10,80,100,0,-1,50,30,250
Gun_Grenade_Long,1000,385,100,3,1.2,gun_grenade_long,0.55,250,0,5,9,1,13,100,80,100,0,-1,50,30,600
Knife_Draw,1000,378,100,25,1.3,knife_draw,0,0,0,5,0,0,0,1000,50,80,0,-1,10,10,35
Gun_draw,1000,386,100,25,1.3,gun_draw,0,0,0,5,0,0,0,1000,50,80,0,-1,10,10,35
Knife_Dash,1000,371,85,6,1.2,knife_dash_ready,0.6,1.5,0,1,5,1,4,50,50,80,0,-1,30,20,1400
Knife_Attack_1,1000,372,50,5,2,knife_attack1,0,1.5,120,10,5,4,0,20,50,80,0,-1,10,10,0
Knife_Attack_2,1000,373,30,7,2.5,knife_attack2,0,1000,80,5,4,4,0,20,50,80,0,-1,10,10,0
Knife_Avoid_L,1000,374,250,10,1.3,knife_rollingL,1,140,25,5,0,0,0,1000,50,80,0,-1,10,10,600
Knife_Avoid_R,1000,375,250,10,1.3,knife_rollingR,1,140,25,5,0,0,0,1000,50,80,0,-1,10,10,600
Knife_Grenade_Short,1000,376,115,7,1.2,knife_grenade_short,0.56,250,0,5,8,2,0,10,50,80,0,-1,50,30,250
Knife_Grenade_Long,1000,377,50,8,1.2,knife_grenade_long,0.55,350,0,5,9,1,13,100,50,80,0,-1,50,30,700
Gun_Avoid_L,1000,379,250,10,1.3,gun_dashL,0.7,140,60,5,0,0,0,1000,50,80,0,-1,10,10,700
Gun_Avoid_R,1000,380,250,10,1.3,gun_dashR,0.7,140,0,5,0,0,0,1000,50,80,0,-1,10,10,700
Gun_Avoid_Back,1000,381,250,10,1.7,gun_dash_back,0.45,140,180,5,0,0,0,1000,50,80,0,-1,10,10,700
Gun_Attack,1000,382,170,15,1.3,gun_attack_readyL,0,2,0,5,0,0,0,1000,50,80,0,-1,30,10,680
Gun_Jump_To_Tower,1000,383,50,25,1,gun_jump_ready,0,25,0,0,0,0,0,1000,50,80,0,-1,800,50,0
Gun_Grenade_Short,1000,384,45,7,1.2,gun_grenade_short,0.56,250,0,5,8,2,0,10,50,80,0,-1,50,30,250
Gun_Grenade_Long,1000,385,120,5,1.2,gun_grenade_long,0.55,350,0,5,9,1,13,100,50,80,0,-1,50,30,700
Knife_Draw,1000,378,100,25,1.3,knife_draw,0,0,0,5,0,0,0,1000,20,50,0,-1,10,10,35
Gun_draw,1000,386,100,20,1.3,gun_draw,0,0,0,5,0,0,0,1000,20,50,0,-1,10,10,35
Knife_Dash,1000,371,65,5,1.2,knife_dash_ready,0.5,2,0,1,5,1,4,50,20,50,0,-1,30,20,1600
Knife_Attack_1,1000,372,50,5,2,knife_attack1,0,2,120,10,5,4,0,20,20,50,0,-1,10,10,0
Knife_Attack_2,1000,373,30,9,2.5,knife_attack2,0,1500,80,5,4,4,0,20,20,50,0,-1,10,10,0
Knife_Avoid_L,1000,374,250,8,1.3,knife_rollingL,1,160,25,5,0,0,0,1000,20,50,0,-1,10,10,720
Knife_Avoid_R,1000,375,250,8,1.3,knife_rollingR,1,160,25,5,0,0,0,1000,20,50,0,-1,10,10,720
Knife_Grenade_Short,1000,376,115,7,1.2,knife_grenade_short,0.56,300,0,5,8,2,0,10,20,50,0,-1,50,30,250
Knife_Grenade_Long,1000,377,50,7,1.2,knife_grenade_long,0.55,400,0,5,9,1,13,100,20,50,0,-1,50,30,700
Gun_Avoid_L,1000,379,250,8,1.3,gun_dashL,0.7,160,60,5,0,0,0,1000,20,50,0,-1,10,10,720
Gun_Avoid_R,1000,380,250,8,1.3,gun_dashR,0.7,160,0,5,0,0,0,1000,20,50,0,-1,10,10,720
Gun_Avoid_Back,1000,381,250,8,1.7,gun_dash_back,0.45,160,180,5,0,0,0,1000,20,50,0,-1,10,10,720
Gun_Attack,1000,382,100,11,1.3,gun_attack_readyL,0,3,0,5,0,0,0,1000,20,50,0,-1,30,10,700
Gun_Jump_To_Tower,1000,383,100,15,1,gun_jump_ready,0,30,0,0,0,0,0,1000,20,50,0,-1,800,50,0
Gun_Grenade_Short,1000,384,45,8,1.2,gun_grenade_short,0.56,300,0,5,9,2,0,10,20,50,0,-1,50,30,250
Gun_Grenade_Long,1000,385,120,6,1.2,gun_grenade_long,0.55,400,0,5,10,1,13,100,20,50,0,-1,50,30,700
Knife_Draw,1000,378,100,15,1.3,knife_draw,0,0,0,5,0,0,0,1000,0,20,0,-1,10,10,35
Gun_draw,1000,386,100,10,1.3,gun_draw,0,0,0,5,0,0,0,1000,0,20,0,-1,10,10,35
Knife_Dash,1000,371,60,3,1.2,knife_dash_ready,0.4,2.5,0,1,5,1,4,50,0,20,0,-1,30,20,2000
Knife_Attack_1,1000,372,50,5,2,knife_attack1,0,2.5,120,10,5,4,0,20,0,20,0,-1,10,10,0
Knife_Attack_2,1000,373,30,7,2.5,knife_attack2,0,2000,80,5,4,4,0,20,0,20,0,-1,10,10,0
Knife_Avoid_L,1000,374,250,4,1.3,knife_rollingL,1,200,25,5,0,0,0,1000,0,20,0,-1,10,10,750
Knife_Avoid_R,1000,375,250,4,1.3,knife_rollingR,1,200,25,5,0,0,0,1000,0,20,0,-1,10,10,750
Knife_Grenade_Short,1000,376,100,9,1.2,knife_grenade_short,0.56,350,0,5,8,1,0,10,0,20,0,-1,50,30,350
Knife_Grenade_Short,1000,376,115,7,1.2,knife_grenade_short,0.56,350,0,5,8,2,0,10,0,20,0,-1,50,30,250
Knife_Grenade_Long,1000,377,50,7,1.2,knife_grenade_long,0.55,450,0,5,9,1,12,100,0,20,0,-1,50,30,500
Knife_Grenade_Long,1000,377,80,4,1.2,knife_grenade_long,0.55,450,0,5,9,1,15,100,0,20,0,-1,50,30,800
Gun_Avoid_L,1000,379,250,4,1.3,gun_dashL,0.7,200,60,5,0,0,0,1000,0,20,0,-1,10,10,750
Gun_Avoid_R,1000,380,250,4,1.3,gun_dashR,0.7,200,0,5,0,0,0,1000,0,20,0,-1,10,10,750
Gun_Avoid_Back,1000,381,250,4,1.7,gun_dash_back,0.45,200,180,5,0,0,0,1000,0,20,0,-1,10,10,750
Gun_Attack,1000,382,120,9,1.3,gun_attack_readyL,0,4,0,5,0,1,0,1000,0,20,0,-1,30,10,750
Gun_Jump_To_Tower,1000,383,100,13,1,gun_jump_ready,0,45,0,0,0,0,0,1000,0,20,0,-1,800,50,0
Gun_Grenade_Short,1000,384,35,12,1.2,gun_grenade_short,0.56,350,0,5,9,1,0,10,0,20,0,-1,50,30,350
Gun_Grenade_Short,1000,384,45,8,1.2,gun_grenade_short,0.56,350,0,5,9,2,0,10,0,20,0,-1,50,30,250
Gun_Grenade_Long,1000,385,120,6,1.2,gun_grenade_long,0.55,450,0,5,11,1,12,100,0,20,0,-1,50,30,720
Gun_Grenade_Long,1000,385,120,4,1.2,gun_grenade_long,0.55,450,0,5,11,1,15,100,0,20,0,-1,50,30,800
Gun_Grenade_Long,1000,385,120,4,1.2,gun_grenade_long,0.55,450,0,5,11,1,15,100,0,20,0,-1,50,30,800
BMissile,1400,390,30,10,4,zbs_Idle,0,125,0,3,3,0,0,9999,0,100,10000,-1,300,150,0
GMissile,1400,391,30,15,4,zbs_Idle,0,245,0,3,3,0,0,9999,0,100,10000,-1,250,100,0
DMissile,1400,392,50,17,4,zbs_Idle,0,245,0,3,3,0,0,9999,0,100,10000,-1,250,100,0
