waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
1,999,0,0,0,31800,1,
2,1,0,21600,10,1 2,1 1,
2,2,0,21600,10,13 14,1 1,
2,3,0,21600,10,3 4,1 1,
2,4,0,21600,10,37 38,1 1,
2,5,0,21600,10,3 4,1 1,
2,6,0,21600,10,43 44,1 1,
2,7,0,21600,10,301 302,1 1,
2,8,0,21600,10,1 2,1 1,
2,9,0,21600,10,3 4,1 1,
2,10,0,21600,10,1 2,1 1,
2,11,0,21600,10,13 14,1 1,
2,12,0,21600,10,3 4,1 1,
2,13,0,21600,10,37 38,1 1,
2,14,0,21600,10,3 4,1 1,
2,15,0,21600,10,43 44,1 1,
2,16,0,21600,10,301 302,1 1,
2,17,0,21600,10,1 2,1 1,
2,18,0,21600,10,13 14,1 1,
2,19,0,21600,10,3 4,1 1,
2,20,0,21600,10,37 38,1 1,
2,21,0,21600,10,3 4,1 1,
2,22,0,21600,10,43 44,1 1,
2,23,0,21600,10,301 302,1 1,
2,24,0,21600,10,1 2,1 1,
2,25,0,21600,10,3 4,1 1,
2,26,0,21600,10,1 2,1 1,
2,27,0,21600,10,13 14,1 1,
2,28,0,21600,10,3 4,1 1,
2,29,0,21600,10,37 38,1 1,
2,30,0,21600,10,3 4,1 1,
2,31,0,21600,10,43 44,1 1,
2,32,0,21600,10,301 302,1 1,
2,33,0,21600,10,1 2,1 1,
2,34,0,21600,10,3 4,1 1,
