waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
8,9999,0,0,0,9999,1,43
8,9999,1,0,0,9999,1,67
8,9999,4,0,0,9999,1,68
8,128,0,420,8,1,1,
8,129,1,420,8,1 2,1 1,
8,130,2,420,8,3,1,
8,131,3,420,8,5,1,
8,132,4,420,8,3,1,
8,133,0,420,8,7,1,
8,134,1,420,8,1 2,1 1,
8,135,2,420,8,3,1,
8,136,3,420,8,5,1,
8,137,4,420,8,3,1,
8,138,0,420,8,7,1,
8,139,1,420,8,1 2,1 1,
8,140,2,420,8,5,1,
8,141,3,420,8,3,1,
8,142,4,420,8,5,1,
8,143,0,420,8,9,1,
8,144,1,420,8,1 2,1 1,
8,145,2,420,8,5,1,
8,146,3,420,8,3,1,
8,147,4,420,8,5,1,
9,9999,0,0,0,9999,1,43
9,9999,1,0,0,9999,1,67
9,9999,4,0,0,9999,1,68
9,148,0,420,7,11 13,1 1,
9,149,1,420,7,11 2 4,1 1 1,
9,150,2,420,7,2 6,1 1,
9,151,3,420,7,7 4,1 1,
9,152,4,420,7,7 6,2 1,
9,153,0,420,7,11 13,1 1,
9,154,1,420,7,11 2 4,1 1 1,
9,155,2,420,7,2 6,1 1,
9,156,3,420,7,7 4,1 1,
9,157,4,420,7,7 6,1 1,
9,158,25,420,15,8,1,
9,159,25,420,15,8,1,
9,201,0,3,1,1,1,
9,202,0,3,1,12 13,1 1,
9,203,0,3,1,11 15,1 1,
9,204,0,3,1,17 14,1 1,
9,205,0,3,1,17 15,1 1,
9,206,0,3,1,20,1,
10,9999,0,0,0,9999,1,43
10,9999,1,0,0,9999,1,67
10,9999,4,0,0,9999,1,68
10,160,0,420,7,12,1,
10,161,3,420,7,13 15,1 1,
10,162,6,420,7,13 17,1 1,
10,163,9,420,20,18,1,
10,164,0,420,7,3,1,
10,165,3,420,7,13 15,1 1,
10,166,6,420,7,13 17,1 1,
10,167,9,420,20,100,1,
4,9999,0,0,0,9999,1,43
4,9999,1,0,0,9999,1,57
4,9999,4,0,0,9999,1,58
4,9999,180,0,0,9999,1,60
4,9999,185,0,0,9999,1,61
4,9999,360,0,0,9999,1,60
4,9999,365,0,0,9999,1,61
4,9999,520,640,60,9999,1,62
4,9999,523,0,0,9999,1,63
4,9999,526,0,0,9999,1,72
4,9999,800,0,0,9999,1,43
4,64,2,160,2,2,1,
4,65,5,160,2,2,1,
4,66,8,160,4,14,1,
4,67,11,160,4,15,1,
4,68,2,160,1,2,1,
4,69,5,160,1,2,1,
4,70,8,160,2,14,1,
