id,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem,exp
1,zombi_host,4,60,4,70,50,250,100,0,0,255 255 255,0,101,3,0,1,70
2,zombi_origin,6,60,4,80,50,250,200,0,1,255 255 255,0,101,0,0,1,140
3,zombi_host,10,70,3,70,50,250,500,0,0,128 128 64 ,0,101,0,0,1,350
4,zombi_origin,15,70,3,80,50,250,750,0,1,128 128 64,0,101,0,0,1,525
5,zombi_host,20,75,3,250,200,250,1000,0,0,255 255 255,0,101,0,0,1,700
6,zombi_origin,25,75,3,300,250,250,1250,0,1,255 255 255,0,101,0,0,1,875
7,zombi_host,30,75,3,350,250,250,1500,0,0,128 128 64 ,0,101,0,0,1,1050
8,zombi_host,5,1200,5,100,50,-40,825,0,6,80 228 91,0,102,0,0,1,577.5
9,speed_zombi_host,9,60,3,100,80,280,175,0,0,255 255 255,0,110,0,0,1,122.5
10,speed_zombi_origin,7,70,3,150,125,280,225,0,2,255 255 255,0,111,3,0,1,157.5
11,speed_zombi_host,11,80,3,135,125,280,400,0,0,255 255 255,0,110,0,0,1,280
12,speed_zombi_origin,14,80,3,150,125,280,575,0,2,130 128 64,0,111,0,0,1,103
13,speed_zombi_host,16,85,3,165,125,280,750,0,0,130 128 64,0,110,0,0,1,525
14,speed_zombi_origin,20,85,3,180,125,280,925,0,0,255 255 255,0,111,0,0,1,648
15,speed_zombi_host,20,85,3,175,125,260,1100,0,0,255 255 255,0,111,0,0,1,770
16,speed_zombi_origin,24,85,3,225,125,260,1275,0,0,255 255 255,0,111,0,0,1,893
17,heavy_zombi_host,5,40,5,275,200,220,250,0,0,255 255 255,0,121,3,0,1,175
18,heavy_zombi_origin,7,50,5,350,275,230,275,0,3,255 255 255,0,121,0,0,1,193
19,heavy_zombi_host,10,50,5,350,150,240,500,0,0,128 128 64 ,0,121,0,0,1,350
20,heavy_zombi_origin,13,60,5,400,300,250,725,0,0,128 128 64,0,121,0,0,1,508
21,heavy_zombi_host,16,60,4,450,800,260,950,0,0,255 255 255,0,121,0,0,1,665
22,heavy_zombi_origin,19,70,4,500,900,260,1175,0,0,255 255 255,0,121,0,0,1,823
23,heavy_zombi_host,19,60,4,600,500,245,1400,0,0,255 255 255,0,121,0,0,1,980
24,heavy_zombi_origin,22,60,4,750,550,245,1625,0,0,255 255 255,0,121,0,0,1,1138
25,pc_zombi_host,8,60,4,75,55,250,400,0,0,255 255 255,0,130,0,0,1,280
26,pc_zombi_origin,12,65,4,85,65,250,450,0,0,255 255 255,0,130,0,0,1,315
27,pc_zombi_host,20,70,4,110,90,250,600,0,0,128 128 64,0,130,0,0,1,420
28,pc_zombi_origin,30,75,4,125,100,260,650,0,4,128 128 64,0,130,0,0,1,455
29,pc_zombi_host,14,75,3,110,175,270,800,0,0,255 255 255,0,130,0,0,1,560
30,pc_zombi_origin,40,80,3,250,200,270,1500,0,4,255 255 255,0,130,0,0,1,1050
31,pc_zombi_origin,23,80,3,220,200,270,900,0,0,255 255 255,0,130,0,0,1,630
32,pc_zombi_origin,40,80,3,250,200,270,1500,0,4,255 255 255,0,130,0,0,1,1050
33,heal_zombi_origin,10,60,4,90,130,230,600,0,0,255 255 255,0,141,0,0,1,420
34,heal_zombi_host,15,70,4,110,240,250,650,0,0,255 255 255,0,141,0,0,1,455
35,heal_zombi_origin,30,80,4,175,300,240,900,0,0,128 128 64,0,141,0,0,1,630
36,heal_zombi_host,9,80,4,200,300,260,1000,0,0,128 128 64,0,141,0,0,1,700
37,heal_zombi_origin,45,90,4,400,300,270,1200,0,0,255 255 255,0,141,0,0,1,840
38,heal_zombi_host,50,90,4,500,400,270,1500,0,5,255 255 255,0,141,0,0,1,1050
39,heal_zombi_host,50,90,4,500,400,270,1700,0,5,255 255 255,0,141,0,0,1,1190
40,heal_zombi_host,50,90,4,500,400,270,2000,0,5,255 255 255,0,141,0,0,1,1400
41,zombiedog,10,55,3,25,10,310,250,0,12,255 255 255,0,144,0,0,1,175
42,zombiedog,13,55,3,35,15,310,300,0,12,255 255 255,0,144,0,0,1,210
43,zombiedog,16,55,3,40,25,310,350,0,12,255 255 255,0,144,0,0,1,245
44,zombiedog,19,55,3,50,25,310,400,0,12,255 255 255,0,144,0,0,1,280
45,zombiedog,22,55,3,70,25,310,450,0,12,255 255 255,0,144,0,0,1,315
46,zombiedog,25,55,3,80,25,310,500,0,12,255 255 255,0,144,0,0,1,350
47,zombiedog,28,55,3,100,25,310,550,0,12,255 255 255,0,144,0,0,1,385
48,zombiedog,31,55,3,125,25,310,600,0,12,255 255 255,0,144,0,0,1,420
49,resident_zombi_origin,15,45,4,60,40,270,450,0,10,255 255 255,0,145,0,0,1,315
50,resident_zombi_host,20,45,4,75,40,270,550,0,10,255 255 255,0,145,0,0,1,385
51,resident_zombi_origin,33,45,4,85,45,280,650,0,10,255 255 255,0,145,0,0,1,455
52,resident_zombi_host,38,50,4,95,45,280,700,0,10,255 255 255,0,145,0,0,1,490
53,resident_zombi_origin,23,50,3,100,50,290,800,0,10,255 255 255,0,145,0,0,1,560
54,resident_zombi_host,48,50,3,120,60,290,900,0,10,255 255 255,0,145,0,0,1,630
55,resident_zombi_origin,55,55,3,160,70,300,1000,0,10,255 255 255,0,145,0,0,1,700
56,resident_zombi_host,40,55,3,200,80,300,1200,0,10,255 255 255,0,145,0,0,1,840
57,boomer_zombi_origin,20,40,6,30,30,100,350,0,11,255 255 255,0,146,0,0,1,245
58,boomer_zombi_host,25,30,6,20,20,100,450,0,11,255 255 255,0,146,0,0,1,315
59,boomer_zombi_origin,40,60,5,125,150,260,500,0,11,255 255 255,0,146,0,0,1,350
60,boomer_zombi_host,45,60,5,150,150,260,550,0,11,255 255 255,0,146,0,0,1,385
61,boomer_zombi_origin,50,70,4,200,200,270,650,0,11,255 255 255,0,146,0,0,1,455
62,boomer_zombi_host,20,70,4,250,200,270,750,0,11,255 255 255,0,146,0,0,1,525
63,boomer_zombi_origin,60,30,4,800,300,275,1050,0,11,255 255 255,0,146,0,0,1,735
64,boomer_zombi_host,35,30,4,300,200,275,1250,0,11,255 255 255,0,146,0,0,1,875
65,zombi_origin,10,80,3,50,50,240,1000,0,1,255 255 255,0,101,0,0,1,700
66,speed_zombi_origin,15,90,2,80,80,280,1100,0,2,255 255 255,0,111,0,0,1,770
67,heavy_zombi_origin,10,70,4,150,100,260,1200,0,0,255 255 255,0,121,0,0,1,840
68,pc_zombi_origin,10,75,3,100,100,270,1500,0,0,255 255 255,0,130,0,0,1,1050
69,heal_zombi_host,10,70,4,100,100,270,1500,0,0,255 255 255,0,141,0,0,1,1050
71,resident_zombi_origin,80,60,3,1500,4500,290,2500,0,0,129 74 63,0,145,0,0,1,1750
72,boomer_zombi_origin,60,50,4,2000,6500,285,2500,0,11,129 74 63,0,146,0,0,1,1750
100,zombi_host,10,60,4,100,100,250,200,0,0,255 255 255,0,101,0,0,1,140
101,zombi_origin,15,60,4,125,100,250,250,0,0,255 255 255,0,101,0,0,1,175
102,speed_zombi_host,20,60,3,95,100,250,250,0,0,255 255 255,0,110,0,0,1,175
103,speed_zombi_origin,25,60,3,110,100,250,300,0,1,255 255 255,0,111,0,0,1,210
104,heavy_zombi_host,75,60,4,2500,7500,275,2750,0,0,129 74 63,0,121,0,0,1,1925
105,heavy_zombi_origin,75,60,4,3000,8000,285,2900,0,1,129 74 63,0,121,0,0,1,2030
106,pc_zombi_host,15,60,4,100,100,250,350,0,0,255 255 255,0,130,0,0,1,245
107,pc_zombi_origin,20,60,4,110,100,250,400,0,1,255 255 255,0,130,0,0,1,280
108,heal_zombi_origin,15,60,5,100,100,250,450,0,0,255 255 255,0,141,0,0,1,315
109,heal_zombi_host,15,60,5,130,100,250,525,0,1,255 255 255,0,141,0,0,1,368
110,zombiedog,15,60,5,80,80,350,475,0,0,255 255 255,0,144,0,0,1,333
