waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
1,11,0,0,6,1,1,
1,12,1,0,6,1,1,
1,13,2,0,6,1,1,
1,15,0,0,6,1,1,
1,16,1,0,6,1,1,
1,17,2,0,6,1,1,
1,21,0,0,6,1,1,
1,22,1,0,6,1,1,
1,23,2,0,6,1,1,
1,25,0,0,6,1,1,
1,26,1,0,6,1,1,
1,27,2,0,6,1,1,
2,11,0,0,5,1 2,2 1,
2,12,1,0,5,1 2,2 1,
2,13,2,0,5,1 2,2 1,
2,15,0,0,5,1 2,2 1,
2,16,1,0,5,1 2,2 1,
2,17,2,0,5,1 2,2 1,
2,21,0,0,5,1 2,2 1,
2,22,1,0,5,1 2,2 1,
2,23,2,0,5,1 2,2 1,
2,25,0,0,5,1 2,2 1,
2,26,1,0,5,1 2,2 1,
2,27,2,0,5,1 2,2 1,
3,11,0,0,4.5,1 2,2 1,
3,12,1,0,4.5,1 2,2 1,
3,13,2,0,4.5,1 2,2 1,
3,14,3,0,4.5,5,1,
3,15,0,0,4.5,1 2,2 1,
3,16,1,0,4.5,1 2,2 1,
3,17,2,0,4.5,1 2,2 1,
3,18,3,0,4.5,5,1,
3,21,0,0,4.5,1 2,2 1,
3,22,1,0,4.5,1 2,2 1,
3,23,2,0,4.5,1 2,2 1,
3,24,3,0,4.5,5,1,
3,25,0,0,4.5,1 2,2 1,
3,26,1,0,4.5,1 2,2 1,
3,27,2,0,4.5,1 2,2 1,
3,28,3,0,4.5,5,1,
3,31,0,0,5,11,1,
4,11,0,0,4,2,1,
4,12,1,0,4,2,1,
4,13,2,0,4,2,1,
4,14,3,0,4,5 6,2 1,
4,15,0,0,4,2,1,
4,16,1,0,4,2,1,
4,17,2,0,4,2,1,
4,18,3,0,4,5 6,2 1,
4,21,0,0,4,2,1,
4,22,1,0,4,2,1,
4,23,2,0,4,2,1,
4,24,3,0,4,5 6,2 1,
4,25,0,0,4,2,1,
4,26,1,0,4,2,1,
4,27,2,0,4,2,1,
4,28,3,0,4,5 6,2 1,
4,31,0,0,5,11,1,
5,11,0,0,3.5,2 3,1 1,
5,12,1,0,3.5,2 3,1 1,
5,13,2,0,3.5,2 3,1 1,
5,14,3,0,3.5,5 6,2 1,
5,15,0,0,3.5,2 3,1 1,
5,16,1,0,3.5,2 3,1 1,
5,17,2,0,3.5,5 6,1 1,
5,18,3,0,3.5,5 6,2 1,
5,21,0,0,3.5,2 3,1 1,
5,22,1,0,3.5,2 3,1 1,
5,23,2,0,3.5,5 6,1 1,
5,24,3,0,3.5,5 6,2 1,
5,25,0,0,3.5,2 3,1 1,
5,26,1,0,3.5,2 3,1 1,
5,27,2,0,3.5,2 3,1 1,
5,28,3,0,3.5,5 6,2 1,
5,31,0,0,5,11,1,
6,11,0,0,3,2,1,
6,12,1,0,3,2,1,
6,13,2,0,3,2,1,
6,14,3,0,3,3 4,2 1,
6,15,0,0,3,2 6,1 1,
6,16,1,0,3,2 6,1 1,
6,17,2,0,3,3 4,2 1,
6,18,3,0,3,3 4,2 1,
6,21,0,0,3,2 6,1 1,
6,22,1,0,3,2 6,1 1,
6,23,2,0,3,2 6,1 1,
6,24,3,0,3,3 4,2 1,
6,25,0,0,3,6,1,
6,26,1,0,3,6,1,
6,27,2,0,3,3 4,2 1,
6,28,3,0,3,3 4,2 1,
