waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
1,1,10,180,7,1,1,
1,2,11,180,8,1,1,
1,3,12,180,7,1,1,
1,41,13,180,8,1,1,
1,42,10,180,7,1,1,
1,11,31,180,8,1,1,
1,12,32,180,7,1,1,
1,51,31,180,8,1,1,
1,52,32,180,7,1,1,
1,53,41,180,8,1,1, 
1,21,10,180,8,1,1,
1,22,12,180,7,1,1,
1,61,13,180,8,1,1,
1,62,14,180,7,1,1,
1,31,15,180,8,1,1,
1,32,16,180,7,1,1,
1,71,17,180,8,1,1,
1,72,18,180,7,1,1,
2,23,1,180,8,21,1,
2,24,2,180,7,21,1,
2,25,10,180,8,21,1,
2,63,3,180,7,21,1,
2,64,4,180,8,21,1,
2,65,12,180,7,21,1,
2,33,61,180,8,21,1,
2,34,62,180,7,21,1,
2,73,63,180,8,21,1,
2,74,64,180,7,21,1,
3,5,1,180,8,61,1,
3,6,2,180,7,61,1,
3,7,10,180,8,61,1,
3,48,3,180,7,61,1,
3,49,4,180,8,61,1,
3,50,12,180,7,61,1,
3,66,61,180,8,61,1,
3,67,62,180,7,61,1,
3,26,63,180,8,61,1,
3,27,64,180,7,61,1,
4,8,1,180,8,81,1,
4,9,2,180,7,81,1,
4,10,10,180,8,81,1,
4,45,3,180,7,81,1,
4,46,4,180,8,81,1,
4,47,12,180,7,81,1,
5,81,15,180,12,101,1,
5,91,15,180,15,101,1,
6,68,1,180,6,41,1,
6,69,2,180,7,41,1,
6,70,10,180,6,41,1,
6,28,3,180,7,41,1,
6,29,4,180,6,41,1,
6,30,12,180,7,41,1,
7,4,10,180,150,1000,1,
8,1,1,180,3,2000,1,
8,2,2,180,5,2000,1,
8,3,3,180,3,2000,1,
8,4,4,180,5,2000,1,
8,5,5,180,3,2000,1,
8,6,6,180,5,2000,1,
8,7,7,180,3,2000,1,
8,21,11,180,5,2000,1,
8,22,12,180,3,2000,1,
8,23,13,180,5,2000,1,
8,24,14,180,3,2000,1,
8,25,15,180,5,2000,1,
8,26,16,180,3,2000,1,
8,27,17,180,5,2000,1,
8,41,1,180,3,2000,1,
8,42,2,180,5,2000,1,
8,43,3,180,3,2000,1,
8,44,4,180,5,2000,1,
8,45,5,180,3,2000,1,
8,46,6,180,5,2000,1,
8,47,7,180,3,2000,1,
8,61,11,180,5,2000,1,
8,62,12,180,3,2000,1,
8,63,13,180,5,2000,1,
8,64,14,180,3,2000,1,
8,65,15,180,5,2000,1,
8,66,16,180,3,2000,1,
8,67,17,180,5,2000,1,
8,9999,1,180,0,9999,1,25
9,3,1,180,6,1 2 21,1 2 2,
9,4,2,180,7,1 2 21,1 2 2,
9,5,3,180,6,1 2 21,1 2 2,
9,50,1,180,7,1 2 21,1 2 2,
9,51,2,180,6,1 2 21,1 2 2,
9,52,3,180,7,1 2 21,1 2 2,
9,63,1,180,6,1 2 21,1 2 2,
9,64,2,180,7,1 2 21,1 2 2,
9,65,3,180,6,1 2 21,1 2 2,
9,23,1,180,7,1 2 21,1 2 2,
9,24,2,180,6,1 2 21,1 2 2,
9,25,3,180,7,1 2 21,1 2 2,
10,1,1,180,6,61 81,1 1,
10,2,2,180,7,61 81,1 1,
10,6,3,180,6,61 81,1 1,
10,7,4,180,7,61 81,1 1,
10,48,1,180,6,61 81,1 1,
10,49,2,180,7,61 81,1 1,
10,53,3,180,6,61 81,1 1,
10,54,4,180,7,61 81,1 1,
11,61,1,180,6,61 71 81,2 1 2,
11,62,2,180,7,61 71 81,2 1 2,
11,66,3,180,6,61 71 81,2 1 2,
11,67,4,180,7,61 71 81,2 1 2,
11,21,1,180,6,61 71 81,2 1 2,
11,22,2,180,7,61 71 81,2 1 2,
11,26,3,180,6,61 71 81,2 1 2,
11,27,4,180,7,61 71 81,2 1 2,
12,8,1,180,6,41,1,
12,9,2,180,7,41,1,
12,10,3,180,6,41,1,
12,11,4,180,7,41,1,
12,41,1,180,6,41,1,
12,42,2,180,7,41,1,
12,43,3,180,6,41,1,
12,44,4,180,7,41,1,
13,68,1,180,6,41 91,2 1,
13,69,2,180,7,41 91,2 1,
13,70,3,180,6,41 91,2 1,
13,71,4,180,7,41 91,2 1,
13,28,1,180,6,41 91,2 1,
13,29,2,180,7,41 91,2 1,
13,30,3,180,6,41 91,2 1,
13,31,4,180,7,41 91,2 1,
14,81,10,180,16,101,1,
14,82,10,180,15,101,1,
14,91,10,180,12,101,1,
15,3,1,180,6,1 2 31,1 2 2,
15,4,2,180,7,1 2 31,1 2 2,
15,5,3,180,6,1 2 31,1 2 2,
15,50,1,180,7,1 2 31,1 2 2,
15,51,2,180,6,1 2 31,1 2 2,
15,52,3,180,7,1 2 31,1 2 2,
15,63,1,180,6,1 2 31,1 2 2,
15,64,2,180,7,1 2 31,1 2 2,
15,65,3,180,6,1 2 31,1 2 2,
15,23,1,180,7,1 2 31,1 2 2,
15,24,2,180,6,1 2 31,1 2 2,
15,25,3,180,7,1 2 31,1 2 2,
15,12,1,180,6,1 2 31,1 2 2,
15,13,2,180,7,1 2 31,1 2 2,
15,14,3,180,6,1 2 31,1 2 2,
16,1,1,180,6,71 81,2 1,
16,2,2,180,7,71 81,2 1,
16,6,3,180,6,71 81,2 1,
16,7,4,180,7,71 81,2 1,
16,48,1,180,6,71 81,2 1,
16,49,2,180,7,71 81,2 1,
16,53,3,180,6,71 81,2 1,
16,54,4,180,7,71 81,2 1,
16,45,1,180,6,71 81,2 1,
16,46,2,180,7,71 81,2 1,
16,47,3,180,6,71 81,2 1,
17,61,1,180,7,71 91,2 1,
17,62,2,180,6,71 91,2 1,
