id,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem
1,zombi_host,4,60,3,30,20,240,350,0,0,255 255 255,0,101,0,0,1
2,zombi_origin,10,60,3,60,40,240,400,0,1,255 255 255,0,101,0,0,1
3,zombi_host,15,70,2,90,70,245,500,0,0,128 128 64 ,0,101,0,0,1
4,zombi_origin,25,70,2,100,80,245,600,0,1,128 128 64,0,101,0,0,1
5,zombi_host,30,75,2,250,200,250,850,0,0,255 255 255,0,101,0,0,1
6,zombi_origin,35,75,2,300,250,250,900,0,1,255 255 255,0,101,0,0,1
7,zombi_host,35,75,2,350,250,250,1000,0,0,128 128 64 ,0,101,0,0,1
8,zombi_origin,40,75,2,400,250,255,1200,0,1,128 128 64,0,101,0,0,1
9,speed_zombi_host,5,60,2,30,15,260,350,0,0,255 255 255,0,110,0,0,1
10,speed_zombi_origin,13,70,2,40,20,280,450,0,2,255 255 255,0,111,0,0,1
11,speed_zombi_host,16,80,2,50,50,260,500,0,0,255 255 255,0,110,0,0,1
12,speed_zombi_origin,22,80,2,80,60,280,550,0,2,130 128 64,0,111,0,0,1
13,speed_zombi_host,26,85,2,125,100,280,750,0,0,130 128 64,0,110,0,0,1
14,speed_zombi_origin,30,85,2,150,125,280,1000,0,2,255 255 255,0,111,0,0,1
15,speed_zombi_origin,35,85,2,170,125,280,1100,0,2,255 255 255,0,111,0,0,1
16,speed_zombi_origin,40,85,2,200,125,280,1350,0,2,255 255 255,0,111,0,0,1
17,heavy_zombi_host,10,40,4,150,100,220,1000,0,0,255 255 255,0,121,0,0,1
18,heavy_zombi_origin,15,50,4,200,100,230,1250,0,3,255 255 255,0,121,0,0,1
19,heavy_zombi_host,20,50,4,500,150,240,1500,0,0,128 128 64 ,0,121,0,0,1
20,heavy_zombi_origin,25,60,4,600,300,250,1750,0,3,128 128 64,0,121,0,0,1
21,heavy_zombi_host,30,60,3,800,800,260,2250,0,0,255 255 255,0,121,0,0,1
22,heavy_zombi_origin,35,70,3,1000,900,260,2500,0,3,255 255 255,0,121,0,0,1
23,heavy_zombi_origin,40,70,3,1200,900,260,2870,0,3,255 255 255,0,121,0,0,1
24,heavy_zombi_origin,42,70,3,1350,950,260,3320,0,3,255 255 255,0,121,0,0,1
25,pc_zombi_host,8,60,3,50,30,250,400,0,0,255 255 255,0,130,0,0,1
26,pc_zombi_origin,12,65,3,85,65,250,500,0,0,255 255 255,0,130,0,0,1
27,pc_zombi_host,20,70,3,110,90,250,600,0,0,128 128 64,0,130,0,0,1
28,pc_zombi_origin,30,75,3,125,100,260,650,0,0,128 128 64,0,130,0,0,1
29,pc_zombi_host,35,75,2,160,150,270,1000,0,0,255 255 255,0,130,0,0,1
30,pc_zombi_origin,40,80,2,200,200,270,1320,0,4,255 255 255,0,130,0,0,1
31,pc_zombi_origin,40,80,2,220,200,270,1500,0,0,255 255 255,0,130,0,0,1
32,pc_zombi_origin,40,80,2,250,200,270,1750,0,4,255 255 255,0,130,0,0,1
33,heal_zombi_origin,10,60,3,100,80,230,600,0,0,255 255 255,0,141,0,0,1
34,heal_zombi_host,15,70,3,120,100,250,650,0,0,255 255 255,0,141,0,0,1
35,heal_zombi_origin,20,70,3,175,100,240,900,0,0,128 128 64,0,141,0,0,1
36,heal_zombi_host,25,70,3,200,100,260,1000,0,5,128 128 64,0,141,0,0,1
37,heal_zombi_origin,30,80,3,400,150,270,1500,0,0,255 255 255,0,141,0,0,1
38,heal_zombi_host,30,80,3,500,200,270,1750,0,5,255 255 255,0,141,0,0,1
39,heal_zombi_host,35,80,3,500,200,270,2000,0,5,255 255 255,0,141,0,0,1
40,heal_zombi_host,35,80,3,500,200,270,2100,0,5,255 255 255,0,141,0,0,1
41,zombi_origin,10,80,2,50,50,240,1000,0,1,255 255 255,0,101,0,0,1
42,speed_zombi_origin,15,90,1,80,80,280,1100,0,0,255 255 255,0,111,0,0,1
43,heavy_zombi_origin,10,70,3,150,100,260,1200,0,0,255 255 255,0,121,0,0,1
44,pc_zombi_origin,10,75,2,100,100,270,1500,0,0,255 255 255,0,130,0,0,1
45,heal_zombi_host,10,70,3,100,100,270,1500,0,0,255 255 255,0,141,0,0,1
46,zombi_origin,45,75,2,1200,1000,255,2500,0,1,255 128 46,0,101,0,0,1
100,zombi_host,10,60,3,100,100,220,220,0,0,255 255 255,0,101,0,0,1
101,zombi_origin,15,60,3,125,100,250,250,0,0,255 255 255,0,101,0,0,1
102,speed_zombi_host,20,60,2,95,100,245,250,0,0,255 255 255,0,110,0,0,1
103,speed_zombi_origin,25,60,2,110,100,250,300,0,1,255 255 255,0,111,0,0,1
104,heavy_zombi_host,10,60,4,200,100,200,550,0,0,255 255 255,0,121,0,0,1
105,heavy_zombi_origin,15,60,4,300,120,220,650,0,1,255 255 255,0,121,0,0,1
106,pc_zombi_host,15,60,3,100,100,210,350,0,0,255 255 255,0,130,0,0,1
107,pc_zombi_origin,20,60,3,110,100,250,400,0,1,255 255 255,0,130,0,0,1
108,heal_zombi_origin,15,60,4,100,100,250,450,0,0,255 255 255,0,141,0,0,1
109,heal_zombi_host,15,60,4,130,100,250,525,0,1,255 255 255,0,141,0,0,1
500,deimos_zombi_host,100,70,3,15000,12500,250,8000,1,8,255 255 255,0,181,0,0,1
501,deimos_zombi_origin,200,80,3,20000,15000,230,15000,1,8,255 255 255,0,182,0,0,1
502,zbs_bossS_jun01,220,80,3,30000,25000,225,20000,1,9,128 128 64,0,182,0,0,2
503,zbs_bossS_jun01,150,80,3,25000,25000,180,17000,1,3,255 255 255,0,182,0,0,2
504,zbs_bossS_jun00,100,80,4,45000,35000,145,20000,1,3,255 255 255,0,150,0,0,2
30600,zbs_bossL_big05,1,300,2,1300000,1250000,250,32000,2,1003,255 255 255,0,170,2,100,3
