ds,id,type,ratio,cooltime,aniTime,aniSeq,damageDelay,damage,damageDegree,damageHeight,damageDist,forceAttackTime,startDistMin,startDistMax,startHealthMin,startHealthMax,approachDist,startMsg,kickSide,kickUp,rushPower
등장,1002,96,255,999999,3.34,zbs_jump_end,0.5,10000,0,5,6,0,0,1000,100,100,1000,-1,0,0,1
휘두르기1-1,1002,97,5,10,4,zbs_attack1,0.93,200,25,5,8,2,0,10,60,100,5,-1,0,500,500
휘두르기1-2,1002,98,0,0,4,zbs_attack1,0.93,200,90,5,8,0,0,10,60,100,1000,-1,0,500,500
휘두르기2-1,1002,99,5,10,4,zbs_attack2,0.93,200,25,5,8,2,0,10,60,90,5,-1,0,500,500
휘두르기2-2,1002,100,0,0,4,zbs_attack2,0.93,200,25,5,8,0,0,10,60,90,1000,-1,0,500,500
휘두르기1-1,1002,97,5,10,4,zbs_attack1,0.93,250,25,5,8,2,0,10,0,60,5,-1,0,500,500
휘두르기1-2,1002,98,0,0,4,zbs_attack1,0.93,250,90,5,8,0,0,10,0,60,1000,-1,0,500,500
휘두르기2-1,1002,99,5,10,4,zbs_attack2,0.93,250,25,5,8,2,0,10,0,60,5,-1,0,500,500
휘두르기2-2,1002,100,0,0,4,zbs_attack2,0.93,250,25,5,8,0,0,10,0,60,1000,-1,0,500,500
휠윈드대쉬,1002,101,15,10,3,zbs_rush_start,1.4,100,90,5,0,1,0,1000,60,80,1000,-1,100,150,300
휠윈드,1002,102,0,0,3,zbs_skill_whirlwind_start,0.93,100,0,5,0,0,0,1000,60,80,1000,-1,0,300,300
휠윈드대쉬,1002,101,15,10,3,zbs_rush_start,1.4,150,90,5,0,1,0,1000,0,60,1000,-1,100,150,300
휠윈드,1002,102,0,0,3,zbs_skill_whirlwind_start,0.93,150,0,5,0,0,0,1000,0,60,1000,-1,0,300,300
홈런대쉬,1002,103,20,25,10,zbs_rush_start,1.4,100,90,5,0,1,0,1000,60,90,1000,-1,100,150,500
홈런1,1002,104,0,0,4.5,zbs_skill_swing,0.66,200,120,5,8,0,0,1000,60,90,1000,-1,0,880,0
홈런2,1002,105,0,0,3.63,zbs_skill_swing,0.33,200,120,5,8,0,0,1000,60,90,1000,-1,2000,800,0
홈런대쉬,1002,103,20,25,10,zbs_rush_start,1.4,150,90,5,0,1,0,1000,0,60,1000,-1,100,150,500
홈런1,1002,104,0,0,4.5,zbs_skill_swing,0.66,250,120,5,8,0,0,1000,0,60,1000,-1,0,880,0
홈런2,1002,105,0,0,3.63,zbs_skill_swing,0.33,250,120,5,8,0,0,1000,0,60,1000,-1,2000,800,0
왼손부터 쓸기1,1002,106,10,10,1.24,zbs_skill_bigarm_leftstart,0.5,200,120,5,6,2,0,10,60,100,5,-1,1000,0,600
왼손부터 쓸기2,1002,107,0,0,1.24,zbs_skill_bigarm_right,0.5,200,120,5,6,0,0,1000,60,100,1000,-1,1000,0,600
왼손부터 쓸기3,1002,108,0,0,2.42,zbs_skill_bigarm_leftend,0.5,200,120,5,6,0,0,1000,60,100,1000,-1,1000,0,600
오른손부터 쓸기1,1002,109,10,10,1.24,zbs_skill_bigarm_rightstart,0.5,200,120,5,6,2,0,10,60,100,5,-1,1000,0,600
오른손부터 쓸기2,1002,110,0,0,1.24,zbs_skill_bigarm_left,0.5,200,120,5,6,0,0,1000,60,100,1000,-1,1000,0,600
오른손부터 쓸기3,1002,111,0,0,2.42,zbs_skill_bigarm_rightend,0.5,200,120,5,6,0,0,1000,60,100,1000,-1,1000,0,600
왼손부터 쓸기1,1002,106,10,10,1.24,zbs_skill_bigarm_leftstart,0.5,250,120,5,6,2,0,10,0,60,5,-1,1000,0,600
왼손부터 쓸기2,1002,107,0,0,1.24,zbs_skill_bigarm_right,0.5,250,120,5,6,0,0,1000,0,60,1000,-1,1000,0,600
왼손부터 쓸기3,1002,108,0,0,2.42,zbs_skill_bigarm_leftend,0.5,250,120,5,6,0,0,1000,0,60,1000,-1,1000,0,600
오른손부터 쓸기1,1002,109,10,10,1.24,zbs_skill_bigarm_rightstart,0.5,250,120,5,6,2,0,10,0,60,5,-1,1000,0,600
오른손부터 쓸기2,1002,110,0,0,1.24,zbs_skill_bigarm_left,0.5,250,120,5,6,0,0,1000,0,60,1000,-1,1000,0,600
오른손부터 쓸기3,1002,111,0,0,2.42,zbs_skill_bigarm_rightend,0.5,250,120,5,6,0,0,1000,0,60,1000,-1,1000,0,600
